Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),TC loss (%)
91.0,0.0,4,13.0,0.25,12,3,60.0,1.67,2,0.0,0.0,7.55385,30.0,0.111427,0.0,50.1,0.0,0.0,0.0,0.976888,0.805674,65.3036
91.0,12.5,4,13.0,0.25,0,2,60.0,1.63,2,0.0,0.0,7.5035,30.0,0.0471383,0.0,48.9,0.0,0.0,0.0,0.977398,0.703537,58.9643
91.0,12.5,4,13.0,0.25,4,0,60.0,1.7,2,0.0,0.0,7.15105,30.0,0.104995,0.0,51.0,0.0,0.0,0.0,0.976701,2.23546,57.625
91.0,25.0,4,13.0,0.25,0,1,60.0,1.52,2,0.0,0.0,7.12587,30.0,0.149999,0.0,45.6,0.0,0.0,0.0,0.976724,2.08227,51.1071
100.0,0.0,8,1.0,0.00025,12,3,50.0,1.52,0,100.0,0.0,8.3,23.45394737,0.0,0.224,35.65,17.85714286,0.056,0.028,0.0,0.0,67.8621
100.0,9.321847827567307,8,1.0,0.00025,8,0,50.0,1.04,0,100.0,0.0,7.2,22.89423077,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,68.5241
100.0,9.321847827567307,8,1.0,0.00025,10,2,50.0,1.02,0,100.0,0.0,8.3,23.34313725,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,65.7655
100.0,9.321847827567307,8,1.0,0.00025,8,1,50.0,1.03,0,100.0,0.0,7.5,23.11650485,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,68.0828
100.0,0.0,2,1.0,0.00025,12,3,50.0,1.0,0,100.0,0.0,8.2,37.16,0.0,0.448,37.16,8.928571429,0.112,0.056,0.0,0.0,64.5517
100.0,25.0,2,1.0,0.00025,8,0,50.0,0.82,0,100.0,0.0,7.0,36.25609756,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,59.3655
100.0,25.0,2,1.0,0.00025,10,2,50.0,0.8,0,100.0,0.0,8.0,37.1625,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,55.7241
100.0,25.0,2,1.0,0.00025,8,1,50.0,0.81,0,100.0,0.0,7.3,36.7037037,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,59.3655
100.0,0.0,3,1.0,0.00025,12,3,50.0,0.85,0,100.0,0.0,7.7,22.10379619096271,0.0,0.448,40.41,8.928571429,0.112,0.056,0.0,0.0,61.6828
100.0,25.0,3,1.0,0.00025,8,0,50.0,0.7,0,100.0,0.0,6.7,46.18571429,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,43.9172
100.0,25.0,3,1.0,0.00025,10,2,50.0,0.68,0,100.0,0.0,7.6,22.10379619096271,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,53.0759
100.0,25.0,3,1.0,0.00025,8,1,50.0,0.69,0,100.0,0.0,6.9,46.85507246,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,51.6414
