Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),TN loss (%)
70.0,16.5,1,10.0,1.2,37,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5
42.0,0.0,5,0.0,0.4,44,4,71.68,0.83,0,21.0,0.0,0.0,32.89156627,0.0,0.5,27.3,0.0,0.0,200.0,0.0,0.0,40.7
42.0,3.5,5,0.0,0.4,3,3,0.0,0.821,0,21.0,0.0,0.0,33.86114495,0.0,0.505,27.8,0.0,0.0,202.0,0.0,0.0,38.3
42.0,10.6,5,0.0,0.4,3,3,0.0,0.807,0,21.0,0.0,0.0,35.5638166,0.0,0.515,28.7,0.0,0.0,206.0,0.0,0.0,32.2
42.0,17.7,5,0.0,0.4,3,3,0.0,0.794,0,21.0,0.0,0.0,37.15365239,0.0,0.525,29.5,0.0,0.0,210.0,0.0,0.0,26.7
42.0,24.7,5,0.0,0.4,3,3,0.0,0.782,0,21.0,0.0,0.0,38.61892583,0.0,0.535,30.2,0.0,0.0,214.0,0.0,0.0,20.4
42.0,31.8,5,0.0,0.4,3,3,0.0,0.723,0,21.0,0.0,0.0,42.46196404,0.0,0.545,30.7,0.0,0.0,218.0,0.0,0.0,14.6
47.40596330275229,0.0,0,11.0,4.5,44,4,65.9341,3.2,2,0.0,0.0,5.94937,9.21875,8.04075,0.666666667,29.5,0.0,3000.0,1021.977,0.0132118,9.93563,73.7
47.40596330275229,3.0,0,11.0,4.5,3,3,66.989,3.2,2,0.0,0.0,6.54776,9.71875,8.50255,0.666666667,31.1,0.0,3000.0,990.33,0.00683371,7.69195,74.9
22.0,0.0,8,11.0,0.0035,13,1,57.9,2.13,0,22.0,0.0,7.455058422818793,0.0,1.80688,0.0,0.0,0.0,0.0,0.0,0.0137143,0.0,3.76
22.0,0.0,8,11.0,0.0035,13,1,58.2,2.05,0,22.0,0.0,4.45,0.0,2.22533,0.0,0.0,0.0,0.0,0.0,0.0329008,0.0,4.01
22.0,0.0,8,11.0,0.0035,13,1,59.4,2.14,0,22.0,0.0,5.51,0.0,2.41845,0.0,0.0,0.0,0.0,0.0,0.0219379,0.0,24.8
22.0,0.0,8,11.0,0.0035,13,1,57.5,2.15,0,22.0,0.0,6.48,0.0,2.83692,0.0,0.0,0.0,0.0,0.0,0.0383833,0.0,28.1
22.0,0.0,8,11.0,0.0035,44,4,58.2,2.13,0,22.0,0.0,7.56,0.0,2.96569,0.0,0.0,0.0,0.0,0.0,0.0383853,0.0,44.7
16.0,0.0,8,3.0,0.045,44,4,70.9,2.1,0,16.0,0.0,7.04,20.0,0.0,0.444444444,42.0,0.515463918,20.0,5.82,0.0,0.0,24.4
16.0,14.0,8,3.0,0.045,3,3,71.7,2.0,0,16.0,0.0,7.28,21.0,0.0,0.444444444,42.0,0.530035336,20.0,5.66,0.0,0.0,9.2
16.0,14.0,8,3.0,0.045,3,3,68.3,1.7,0,16.0,0.0,7.25,25.0,0.0,0.444444444,42.5,0.47318612,20.0,6.34,0.0,0.0,8.5
19.0,0.0,8,9.0,0.0,44,4,70.0,1.73,0,19.0,0.0,6.3,26.38728324,1.74,0.0,45.65,10.0,0.0,0.0,0.08,0.0,49.1
19.0,3.0,8,9.0,0.0,23,0,70.0,1.73,0,19.0,0.0,6.3,26.38728324,1.74,0.0,45.65,10.0,0.0,0.0,0.08,0.0,40.5
19.0,6.9,8,9.0,0.0,21,1,70.0,1.61,0,19.0,0.0,6.2,26.34782609,1.61,0.0,42.42,10.0,0.0,0.0,0.07,0.0,40.5
19.0,9.9,8,9.0,0.0,23,2,70.0,1.61,0,19.0,0.0,6.2,26.34782609,1.61,0.0,42.42,10.0,0.0,0.0,0.07,0.0,18.9
35.0,2.386634845,6,6.0,0.187,23,0,58.1,1.8680998,1,35.0,240.0,8.33957,26.0,2.16383,0.213903743,48.5705948,5.966587112,40.0,16.76,0.308411,0.0,33.01
35.0,14.31980907,6,6.0,0.187,43,2,58.1,1.7369735,1,35.0,240.0,8.33176,26.0,2.07841,0.213903743,45.161311,5.966587112,40.0,16.76,0.26215,0.0,28.94
