Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),NH3-N (g)
15.0,0.0,6,0.0,0.17,37,4,70.0,1.72,0,15.0,0.0,8.4,0.0,0.0,0.297352941,0.0,0.263765249,50.55,15.165,0.0,0.0,28.05525
15.0,13.0971896,6,0.0,0.17,28,3,71.8,1.66,0,15.0,0.0,8.2,0.0,0.0,0.296235294,0.0,0.281659991,50.36,14.20152,0.0,0.0,25.562736
15.0,24.36647173,6,0.0,0.17,28,3,69.6,1.58,0,15.0,0.0,8.3,0.0,0.0,0.295411765,0.0,0.262005072,50.22,15.26688,0.0,0.0,37.403856
15.0,37.59079389,6,0.0,0.17,28,3,70.3,1.47,0,15.0,0.0,8.3,0.0,0.0,0.294,0.0,0.269468057,49.98,14.84406,0.0,0.0,36.367947
15.0,0.0,6,0.0,0.17,37,4,70.6,1.59,0,6.0,0.0,8.6,0.0,0.0,0.276470588,0.0,0.289477493,47.0,13.818,0.0,0.0,35.2359
15.0,3.104791777,6,0.0,0.17,27,1,70.8,1.57,0,6.0,0.0,8.6,0.0,0.0,0.279,0.0,0.28881784,47.43,13.84956,0.0,0.0,32.546466
15.0,3.436883051,6,0.0,0.17,27,1,70.1,1.55,0,6.0,0.0,8.6,0.0,0.0,0.279341176,0.0,0.281711726,47.488,14.198912,0.0,0.0,29.8177152
15.0,3.685446,6,0.0,0.17,27,1,69.8,1.55,0,6.0,0.0,8.9,0.0,0.0,0.279582353,0.0,0.278672665,47.529,14.353758,0.0,0.0,33.7313313
15.0,0.0,6,0.0,0.17,37,4,71.5,1.62,0,15.0,0.0,9.1,0.0,0.0,0.297352941,0.0,0.27764763,50.55,14.40675,0.0,0.0,34.5762
15.0,3.668852355,6,0.0,0.17,27,1,72.3,1.35,0,15.0,0.0,9.0,0.0,0.0,0.300405882,0.0,0.282763187,51.069,14.146113,0.0,0.0,31.82875425
15.0,7.017404988,6,0.0,0.17,27,1,71.3,1.31,0,15.0,0.0,8.7,0.0,0.0,0.303464706,0.0,0.270159961,51.589,14.806043,0.0,0.0,25.1702731
15.0,10.35226864,6,0.0,0.17,27,1,71.1,1.25,0,15.0,0.0,8.7,0.0,0.0,0.306523529,0.0,0.265613051,52.109,15.059501,0.0,0.0,24.84817665
16.0,0.0,4,3.0,0.045,37,4,70.9,2.1,0,16.0,0.0,7.04,20.0,0.0,0.444444444,42.0,0.515463918,20.0,5.82,0.0,0.0,21.79159747
16.0,14.0,4,3.0,0.045,4,3,71.7,2.0,0,16.0,0.0,7.28,21.0,0.0,0.444444444,42.0,0.530035336,20.0,5.66,0.0,0.0,22.39269884
16.0,14.0,4,3.0,0.045,4,3,68.3,1.7,0,16.0,0.0,7.25,25.0,0.0,0.444444444,42.5,0.47318612,20.0,6.34,0.0,0.0,18.77861558
27.0,0.0,0,1.0,0.77,37,4,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.162298701,0.0,5.941425942,124.97,34.9916,0.0,0.0,8395.925671
27.0,2.1,0,1.0,0.77,34,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.163233766,0.0,5.907391201,125.69,35.1932,0.0,0.0,6331.670718
27.0,4.1,0,1.0,0.77,34,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.164168831,0.0,5.873744166,126.41,35.3948,0.0,0.0,7314.231318
27.0,6.2,0,1.0,0.77,34,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.165090909,0.0,5.840937697,127.12,35.5936,0.0,0.0,6945.986353
27.0,8.2,0,1.0,0.77,34,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.166025974,0.0,5.808041302,127.84,35.7952,0.0,0.0,6306.272
27.0,10.3,0,1.0,0.77,34,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.166961039,0.0,5.775513379,128.56,35.9968,0.0,0.0,7042.668047
112.0,0.0,4,12.0,0.0,37,4,65.4,1.4,0,42.0,0.0,7.1,0.0,3.252,0.0,0.0,0.256904303,1875.0,648.75,0.0,0.0,1840.0
112.0,2.949852507,4,12.0,0.0,24,0,66.1,1.6,0,42.0,0.0,6.8,0.0,3.484,0.0,0.0,0.262209112,1875.0,635.625,0.0,0.0,1780.0
112.0,0.0,4,12.0,0.0,37,4,64.9,3.4,2,0.0,0.0,6.9,0.0,6.093,0.0,0.0,0.0,910.0,319.41,0.0,0.0,1970.0
112.0,2.816901408,4,12.0,0.0,24,0,64.5,3.1,2,0.0,0.0,7.0,0.0,5.606,0.0,0.0,0.0,910.0,323.05,0.0,0.0,1960.0
54.0,0.0,3,7.0,0.0,37,4,65.0,0.0,0,54.0,0.0,0.0,25.0,4.70466,0.0,0.0,0.05,10.0,0.0,1.9945,0.0,4.7667
54.0,5.0,3,7.0,0.0,0,0,65.0,0.0,0,54.0,0.0,0.0,25.0,4.6114,0.0,0.0,0.05,10.0,0.0,1.91167,0.0,2.42842
40.0,0.0,6,6.0,0.0,37,4,64.54545455,2.34,1,30.0,84.95033112582782,6.8098,16.53935897,1.89683,0.0,38.7021,7.692307692,22.0,7.8,0.0304569,3.42006,25.22
40.0,6.0,6,6.0,0.0,34,1,63.55555556,2.31,1,30.0,84.95033112582782,5.99866,16.39658009,2.01587,0.0,37.8761,7.317073171,22.5,8.2,0.0159365,4.91765,8.083
40.0,15.0,6,6.0,0.0,32,1,62.06896552,2.41,1,30.0,84.95033112582782,6.19841,15.97082988,2.39286,0.0,38.4897,6.818181818,23.2,8.8,0.063848,3.88383,21.285
40.0,1.460823373,6,6.0,0.0,35,1,65.17412935,2.34,1,30.0,84.95033112582782,6.11367,16.34773504,2.01587,0.0,38.2537,7.792207792,22.11,7.7,0.0435213,4.21233,15.1096
24.0,2.560491,1,24.0,0.03,26,1,63.5,0.0,0,24.0,0.0,6.08647,20.5,0.0,3.177262320784615,0.0,0.761035008,10.8,3.942,0.0,0.0,8.894117647
24.0,0.0,1,24.0,0.03,37,4,63.5,0.0,0,24.0,0.0,6.00188,20.5,0.0,3.177262320784615,0.0,0.768147484,10.7,3.9055,0.0,0.0,7.082352941
56.0,0.0,6,11.0,0.13,37,4,55.0,1.80435,1,56.0,0.0,7.4,25.02125419,0.0441696,0.5,45.1471,1.111111111,0.0,0.0,0.152866,0.0,0.28
56.0,2.0,6,11.0,0.13,4,3,55.0,1.84239,1,56.0,0.0,7.8,25.08996467,0.0883392,0.5,46.2255,1.111111111,0.0,0.0,0.136943,0.0,2.07
56.0,4.0,6,11.0,0.13,4,3,55.0,1.8587,1,56.0,0.0,7.8,25.00166783,0.132509,0.5,46.4706,1.111111111,0.0,0.0,0.121019,0.0,1.16
56.0,6.0,6,11.0,0.13,4,3,55.0,1.95109,1,56.0,0.0,8.0,23.99361383,0.185512,0.5,46.8137,1.111111111,0.0,0.0,0.10828,0.0,1.1
56.0,8.0,6,11.0,0.13,4,3,55.0,2.11957,1,56.0,0.0,8.0,22.31768708,0.20318,0.5,47.3039,1.111111111,0.0,0.0,0.0987261,0.0,0.67
56.0,12.0,6,11.0,0.13,4,3,55.0,2.27717,1,56.0,0.0,8.1,21.13908931,0.238516,0.5,48.1373,1.111111111,0.0,0.0,0.0859873,0.0,0.43
56.0,18.0,6,11.0,0.13,4,3,55.0,2.42935,1,56.0,0.0,8.2,20.4000247,0.282686,0.5,49.5588,1.111111111,0.0,0.0,0.0700637,0.0,0.22
28.0,0.0,7,4.0,0.06,37,4,62.06,1.95,0,28.0,0.0,7.79826,17.91,0.0,0.740203831,34.9245,0.36,44.41222984,16.85,0.0,2.1116,63.24895294
28.0,10.0,7,4.0,0.06,34,1,58.69,1.96,0,28.0,0.0,7.89913,18.23,0.0,0.780682643,35.7308,0.36,46.84095861,19.35,0.0,2.162,45.08094706
56.0,0.0,6,11.0,0.1,37,4,56.03,1.86,0,56.0,0.0,7.1,25.17,0.45977,0.5,46.82,0.0,0.0,0.0,0.0,2.03,3.10847542
56.0,10.0,6,11.0,0.1,36,3,55.0,1.80701,0,56.0,0.0,7.6,25.17971677,0.373563,0.5,45.5,0.0,0.0,0.0,0.0,0.0,9.90847376
56.0,10.0,6,11.0,0.1,16,3,55.0,1.77226,0,56.0,0.0,8.6,25.67343392,0.306513,0.5,45.5,0.0,0.0,0.0,0.0,0.0,7.8949112
56.0,10.0,6,11.0,0.1,3,1,55.0,1.78861,0,56.0,0.0,8.7,25.43874853,0.335249,0.5,45.5,0.0,0.0,0.0,0.0,0.0,6.48813329
30.0,0.0,0,4.0,0.06,37,4,53.59,1.1,1,30.0,20.0,0.0,32.46,0.0,0.0,35.52,0.0,0.0,12.01,0.0,2.12887,22.37508049
30.0,0.0,0,4.0,0.06,37,4,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0.0,2.1701,13.52102426
30.0,0.0,0,4.0,0.06,31,0,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,0.0,1.97423,12.66137336
30.0,0.0,0,4.0,0.06,22,0,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04,0.0,2.07732,19.48821346
50.0,0.0,6,5.0,0.1,37,4,58.0,1.8,0,50.0,0.0,0.0,25.0,0.0,0.5,45.0,0.0,0.0,0.0,0.0,0.0,9.0104
50.0,10.0,6,5.0,0.1,4,3,0.0,1.669636364,0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.773517647
50.0,10.0,6,5.0,0.1,36,3,0.0,1.621181818,0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.209502353
50.0,20.0,6,5.0,0.1,4,3,0.0,1.53825,0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.316138824
28.0,0.0,0,5.0,0.06,37,4,57.5409262,2.13,0,28.0,0.0,7.08396,19.25,3.00554,0.532666667,38.5,0.48,31.96,13.56992,0.0,0.0,76.32182353
28.0,2.449875,0,5.0,0.06,11,1,0.0,2.14833,0,28.0,0.0,6.59564,0.0,3.03044,0.538207435,0.0,0.48,32.29244608,0.0,0.0,0.0,34.74067059
28.0,2.45195,0,5.0,0.06,12,1,0.0,2.15,0,28.0,0.0,6.76549,0.0,3.11347,0.538212128,0.0,0.48,32.29272765,0.0,0.0,0.0,70.34110588
28.0,4.3543475,0,5.0,0.06,13,1,0.0,2.16833,0,28.0,0.0,8.34723,0.0,1.2869,0.542514691,0.0,0.48,32.55088147,0.0,0.0,0.0,83.44082353
21.0,0.0,2,0.0,0.1,37,4,0.0,3.07,1,21.0,360.0,5.70635,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.0103529,0.0,10.28588235
21.0,0.25,2,0.0,0.1,33,1,0.0,3.15,1,21.0,360.0,5.60317,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.00894118,0.0,5.369411765
21.0,5.25,2,0.0,0.1,33,2,0.0,2.99,1,21.0,360.0,5.64286,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.00470588,0.0,3.771764706
21.0,5.0,2,0.0,0.1,22,0,0.0,2.92,1,21.0,360.0,5.65873,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.00658824,0.0,8.037647059
42.0,0.0,6,2.0,0.165,37,4,53.8,2.89,0,42.0,0.0,7.9,16.6,0.0,0.3,47.9,0.070196856,0.0,0.0,0.0,0.0,49.0
42.0,10.8,6,2.0,0.165,4,3,49.3,2.65,0,42.0,0.0,8.29,18.6,0.0,0.3,49.3,0.065334059,0.0,0.0,0.0,0.0,34.0
42.0,21.6,6,2.0,0.165,4,3,50.2,2.45,0,42.0,0.0,8.04,20.4,0.0,0.3,50.1,0.07022849,0.0,0.0,0.0,0.0,28.0
29.0,0.0,4,0.0,0.0141,37,4,68.2,1.79,1,29.0,84.95033112582782,7.83,14.63687151,0.642857,0.3114,26.2,4.0,0.0,0.0,0.266356,0.0,2.080416471
29.0,0.0,8,0.0,0.0141,4,3,76.4,1.97,1,29.0,84.95033112582782,8.05,10.55837563,3.31677,0.3657,20.8,4.0,0.0,0.0,0.204872,0.0,1.752882353
29.0,0.0,4,0.0,0.0141,4,3,70.6,2.09,1,29.0,84.95033112582782,8.22,12.24880383,2.10559,0.3359,25.6,4.0,0.0,0.0,0.438994,0.0,1.317358824
50.0,0.0,6,9.0,0.1,37,4,60.0,0.0,2,0.0,0.0,6.53,31.0074,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14.8405047
50.0,2.0,6,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.85,30.0553,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7947313
50.0,4.0,6,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.46,30.3317,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.2219127
50.0,6.0,6,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.52,30.5467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.3585359
50.0,8.0,6,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.5,31.0381,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.9264947
50.0,10.0,6,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.55,30.7924,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.4306484
50.0,0.0,6,9.0,0.1,37,4,55.0,2.084,0,50.0,0.0,7.74382,25.0,1.94737,0.0,52.1,0.3,0.0,0.0,0.0360493,0.0,8.998294118
50.0,10.0,6,9.0,0.1,4,3,0.0,0.0,0,50.0,0.0,8.21499,0.0,2.38947,0.0,0.0,0.3,0.0,0.0,0.00672348,0.0,5.777857647
50.0,20.0,6,9.0,0.1,4,3,0.0,0.0,0,50.0,0.0,8.13921,0.0,1.68421,0.0,0.0,0.3,0.0,0.0,0.040558,0.0,3.29938
50.0,20.5,6,9.0,0.1,4,2,0.0,0.0,0,50.0,0.0,8.0173,0.0,1.86316,0.0,0.0,0.3,0.0,0.0,0.0360416,0.0,3.188870588
