Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),NH3-N loss (%)
15.0,0.0,9,0.0,0.17,41,4,70.6,1.59,0,6.0,0.0,8.6,0.0,0.0,0.276470588,0.0,0.289477493,47.0,13.818,0.0,0.0,16.03773585
15.0,3.104791777,9,0.0,0.17,29,1,70.8,1.57,0,6.0,0.0,8.6,0.0,0.0,0.279,0.0,0.28881784,47.43,13.84956,0.0,0.0,14.96815287
15.0,3.436883051,9,0.0,0.17,29,1,70.1,1.55,0,6.0,0.0,8.6,0.0,0.0,0.279341176,0.0,0.281711726,47.488,14.198912,0.0,0.0,13.5483871
15.0,3.685446,9,0.0,0.17,29,1,69.8,1.55,0,6.0,0.0,8.9,0.0,0.0,0.279582353,0.0,0.278672665,47.529,14.353758,0.0,0.0,15.16129032
15.0,0.0,9,0.0,0.17,41,4,71.5,1.62,0,15.0,0.0,9.1,0.0,0.0,0.297352941,0.0,0.27764763,50.55,14.40675,0.0,0.0,14.81481481
15.0,3.668852355,9,0.0,0.17,29,1,72.3,1.35,0,15.0,0.0,9.0,0.0,0.0,0.300405882,0.0,0.282763187,51.069,14.146113,0.0,0.0,16.66666667
15.0,7.017404988,9,0.0,0.17,29,1,71.3,1.31,0,15.0,0.0,8.7,0.0,0.0,0.303464706,0.0,0.270159961,51.589,14.806043,0.0,0.0,12.97709924
15.0,10.35226864,9,0.0,0.17,29,1,71.1,1.25,0,15.0,0.0,8.7,0.0,0.0,0.306523529,0.0,0.265613051,52.109,15.059501,0.0,0.0,13.2
70.0,0.0,1,10.0,1.2,41,4,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3
70.0,3.3,1,10.0,1.2,36,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
70.0,6.6,1,10.0,1.2,36,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2
70.0,9.9,1,10.0,1.2,36,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8
70.0,13.2,1,10.0,1.2,36,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8
70.0,16.5,1,10.0,1.2,36,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
13.0,0.0,6,6.0,0.06,41,4,55.0,3.2,1,13.0,40.0,8.20028,12.8125,0.0,0.0,41.0,0.72,0.0,0.0,0.0,0.0,12.84
22.0,0.0,6,11.0,0.0035,13,1,59.4,2.14,0,22.0,0.0,5.51,0.0,2.41845,0.0,0.0,0.0,0.0,0.0,0.0219379,0.0,16.2936
22.0,0.0,6,11.0,0.0035,13,1,57.5,2.15,0,22.0,0.0,6.48,0.0,2.83692,0.0,0.0,0.0,0.0,0.0,0.0383833,0.0,18.7427
22.0,0.0,6,11.0,0.0035,41,4,58.2,2.13,0,22.0,0.0,7.56,0.0,2.96569,0.0,0.0,0.0,0.0,0.0,0.0383853,0.0,33.8826
45.0,0.0,4,8.625,2.4,41,4,55.0,1.094658467,1,45.0,30.0,7.87459,30.4875,2.90787,0.416666667,33.3734,6.67,1000.0,450.0,0.683382,2.33818,17.965
45.0,0.444444444,4,8.625,2.4,1,3,55.0,1.126532432,1,45.0,30.0,7.73601,29.153,2.86062,0.416666667,32.8418,6.67,1000.0,450.0,0.703876,2.30636,3.22179
45.0,0.444444444,4,8.625,2.4,32,3,55.0,1.03963782,1,45.0,30.0,7.7218,31.2883,2.52991,0.416666667,32.5285,6.67,1000.0,450.0,0.642379,2.28727,5.63813
112.0,0.0,6,12.0,0.026,41,4,61.9,2.36,0,39.57377049180328,0.0,7.5,0.0,2.1,0.5,0.0,2.024,13.0,0.0,0.1,0.0,10.351
112.0,0.0,6,12.0,0.026,26,0,0.0,0.0,0,39.57377049180328,0.0,0.0,0.0,0.0,0.5,0.0,2.024,13.0,0.0,0.0,0.0,2.046
112.0,0.0,6,12.0,0.026,26,0,0.0,0.0,0,39.57377049180328,0.0,0.0,0.0,0.0,0.5,0.0,2.024,13.0,0.0,0.0,0.0,2.362
30.0,0.0,1,4.0,0.06,41,4,60.59701493,1.9,0,30.0,0.0,6.1837,20.0,0.0,0.0,38.0,0.2,0.0,0.0,0.0,1.7447,24.9
30.0,2.138298952,1,4.0,0.06,20,1,0.0,0.0,0,30.0,0.0,4.77333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.12121,12.6
30.0,3.200882515,1,4.0,0.06,36,3,0.0,0.0,0,30.0,0.0,4.41037,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.26439,15.3
30.0,2.215995587,1,4.0,0.06,9,1,0.0,0.0,0,30.0,0.0,5.00148,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.75,8.9
30.0,2.536149595,1,4.0,0.06,3,1,0.0,0.0,0,30.0,0.0,5.58222,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.62008,8.9
19.0,0.0,6,9.0,0.0,41,4,70.0,1.73,0,19.0,0.0,6.3,26.38728324,1.74,0.0,45.65,10.0,0.0,0.0,0.08,0.0,16.5467
19.0,3.0,6,9.0,0.0,24,0,70.0,1.73,0,19.0,0.0,6.3,26.38728324,1.74,0.0,45.65,10.0,0.0,0.0,0.08,0.0,12.879
19.0,6.9,6,9.0,0.0,22,1,70.0,1.61,0,19.0,0.0,6.2,26.34782609,1.61,0.0,42.42,10.0,0.0,0.0,0.07,0.0,12.879
19.0,9.9,6,9.0,0.0,24,2,70.0,1.61,0,19.0,0.0,6.2,26.34782609,1.61,0.0,42.42,10.0,0.0,0.0,0.07,0.0,2.9862
112.0,0.0,6,12.0,0.0,41,4,65.4,1.4,0,42.0,0.0,7.1,0.0,3.252,0.0,0.0,0.256904303,1875.0,648.75,0.0,0.0,21.4
112.0,2.949852507,6,12.0,0.0,26,0,66.1,1.6,0,42.0,0.0,6.8,0.0,3.484,0.0,0.0,0.262209112,1875.0,635.625,0.0,0.0,20.7
112.0,0.0,6,12.0,0.0,41,4,64.9,3.4,2,0.0,0.0,6.9,0.0,6.093,0.0,0.0,0.0,910.0,319.41,0.0,0.0,18.4
112.0,2.816901408,6,12.0,0.0,26,0,64.5,3.1,2,0.0,0.0,7.0,0.0,5.606,0.0,0.0,0.0,910.0,323.05,0.0,0.0,19.7
35.0,2.25,6,9.0,0.02,18,3,0.0,0.0,0,35.0,0.0,7.455058422818793,29.0076,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.3884,27.1027988
35.0,1.8209,6,9.0,0.02,18,1,0.0,0.0,0,35.0,0.0,6.47344,32.0229,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.86385,0.4672898
35.0,2.5709,6,9.0,0.02,18,1,0.0,0.0,0,35.0,0.0,8.34411,30.3435,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.65179,10.42990646
35.0,3.3209,6,9.0,0.02,18,1,0.0,0.0,0,35.0,0.0,7.455058422818793,26.9466,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.95312,17.37382469
35.0,4.0709,6,9.0,0.02,18,1,0.0,0.0,0,35.0,0.0,7.455058422818793,29.0458,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.41072,29.17756499
40.0,0.0,9,6.0,0.0,41,4,64.54545455,2.34,1,30.0,84.95033112582782,6.8098,16.53935897,1.89683,0.0,38.7021,7.692307692,22.0,7.8,0.0304569,3.42006,26.0
40.0,6.0,9,6.0,0.0,36,1,63.55555556,2.31,1,30.0,84.95033112582782,5.99866,16.39658009,2.01587,0.0,37.8761,7.317073171,22.5,8.2,0.0159365,4.91765,11.8
40.0,15.0,9,6.0,0.0,35,1,62.06896552,2.41,1,30.0,84.95033112582782,6.19841,15.97082988,2.39286,0.0,38.4897,6.818181818,23.2,8.8,0.063848,3.88383,21.5
40.0,1.460823373,9,6.0,0.0,38,1,65.17412935,2.34,1,30.0,84.95033112582782,6.11367,16.34773504,2.01587,0.0,38.2537,7.792207792,22.11,7.7,0.0435213,4.21233,20.2
24.0,2.560491,3,24.0,0.03,28,1,63.5,0.0,0,24.0,0.0,6.08647,20.5,0.0,3.177262320784615,0.0,0.761035008,10.8,3.942,0.0,0.0,12.86
24.0,0.0,3,24.0,0.03,41,4,63.5,0.0,0,24.0,0.0,6.00188,20.5,0.0,3.177262320784615,0.0,0.768147484,10.7,3.9055,0.0,0.0,10.23
68.0,0.0,0,54.0,0.005,41,4,43.61,2.33,1,68.0,5.0,4.92,28.8,0.0,0.295,49.43,4.29,0.0,0.0,0.0,0.0,50.4386
68.0,9.321847827567307,0,54.0,0.005,39,3,0.0,0.0,1,68.0,5.0,0.0,0.0,0.0,0.295,0.0,4.29,0.0,0.0,0.0,0.0,9.64912
68.0,35.7,0,54.0,0.005,19,0,0.0,0.0,1,68.0,5.0,0.0,0.0,0.0,0.295,0.0,4.29,0.0,0.0,0.0,0.0,13.4503
56.0,0.0,9,11.0,0.13,41,4,55.0,1.80435,1,56.0,0.0,7.4,25.02125419,0.0441696,0.5,45.1471,1.111111111,0.0,0.0,0.152866,0.0,1.02
56.0,2.0,9,11.0,0.13,4,3,55.0,1.84239,1,56.0,0.0,7.8,25.08996467,0.0883392,0.5,46.2255,1.111111111,0.0,0.0,0.136943,0.0,0.2
56.0,4.0,9,11.0,0.13,4,3,55.0,1.8587,1,56.0,0.0,7.8,25.00166783,0.132509,0.5,46.4706,1.111111111,0.0,0.0,0.121019,0.0,0.11
56.0,6.0,9,11.0,0.13,4,3,55.0,1.95109,1,56.0,0.0,8.0,23.99361383,0.185512,0.5,46.8137,1.111111111,0.0,0.0,0.10828,0.0,0.11
56.0,8.0,9,11.0,0.13,4,3,55.0,2.11957,1,56.0,0.0,8.0,22.31768708,0.20318,0.5,47.3039,1.111111111,0.0,0.0,0.0987261,0.0,0.06
56.0,12.0,9,11.0,0.13,4,3,55.0,2.27717,1,56.0,0.0,8.1,21.13908931,0.238516,0.5,48.1373,1.111111111,0.0,0.0,0.0859873,0.0,0.04
56.0,18.0,9,11.0,0.13,4,3,55.0,2.42935,1,56.0,0.0,8.2,20.4000247,0.282686,0.5,49.5588,1.111111111,0.0,0.0,0.0700637,0.0,0.02
25.0,0.0,11,25.0,0.03,41,4,66.0,3.164705882,0,25.0,0.0,5.8,17.0,0.0,0.357,53.8,0.823858955,10.71,3.6414,0.0,0.0,21.2
25.0,2.220354809,11,25.0,0.03,23,1,66.0,0.0,0,25.0,0.0,0.0,0.0,0.0,0.364926667,0.0,0.805963702,10.9478,3.722252,0.0,0.0,32.8
25.0,1.821661998,11,25.0,0.03,23,1,66.0,0.0,0,25.0,0.0,0.0,0.0,0.0,0.363503333,0.0,0.809119532,10.9051,3.707734,0.0,0.0,12.6
25.0,1.422969188,11,25.0,0.03,23,1,66.0,0.0,0,25.0,0.0,0.0,0.0,0.0,0.36208,0.0,0.812300174,10.8624,3.693216,0.0,0.0,3.5
69.0,0.0,2,37.0,0.08,41,4,80.7,0.82,2,0.0,0.0,0.0,20.37804878,0.0,0.0,16.71,0.0,0.0,0.0,0.0,0.0,11.4
69.0,3.0,2,37.0,0.08,4,3,80.7,0.9,2,0.0,0.0,0.0,22.76666667,0.0,0.0,20.49,0.0,0.0,0.0,0.0,0.0,8.137931034
69.0,4.0,2,37.0,0.08,37,1,80.7,0.95,2,0.0,0.0,0.0,19.47368421,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,4.225081967
69.0,3.0,2,37.0,0.08,37,2,80.7,0.83,2,0.0,0.0,0.0,22.13253012,0.0,0.0,18.37,0.0,0.0,0.0,0.0,0.0,7.9278
35.0,0.0,1,4.0,0.06,41,4,69.2,2.04,0,35.0,0.0,8.23053,18.4,4.04848,0.0,37.48,0.3,0.0,0.0,0.270275,0.0,32.5
35.0,15.0,1,4.0,0.06,12,1,69.2,2.04,0,35.0,0.0,8.02421,18.4,1.22424,0.0,37.48,0.3,0.0,0.0,0.186606,0.0,14.5
35.0,15.0,1,4.0,0.06,16,1,69.2,2.04,0,35.0,0.0,7.96947,18.4,2.03636,0.0,37.48,0.3,0.0,0.0,0.242752,0.0,16.0
35.0,15.0,1,4.0,0.06,5,1,69.2,2.04,0,35.0,0.0,8.16316,18.4,1.73333,0.0,37.48,0.3,0.0,0.0,0.203119,0.0,13.3
35.0,15.0,1,4.0,0.06,12,1,69.2,2.04,0,35.0,0.0,6.85368,18.4,2.98182,0.0,37.48,0.3,0.0,0.0,0.211927,0.0,5.9
30.0,0.0,9,6.0,0.12,41,4,66.11478261,1.94767,0,30.0,0.0,7.25571,17.57894737,0.344459,0.575,33.4,2.566208171,69.0,23.3808,0.0630603,1.28861,1.6
30.0,5.0,9,6.0,0.12,0,0,0.0,1.94767,0,30.0,0.0,6.60761,0.0,0.357216,0.584742,0.0,2.566208171,70.16904,0.0,0.0438949,1.49753,1.184
30.0,10.0,9,6.0,0.12,0,0,0.0,1.94767,0,30.0,0.0,6.57182,0.0,0.39433,0.594484,0.0,2.566208171,71.33808,0.0,0.0599691,1.53514,0.864
30.0,20.0,9,6.0,0.12,0,0,0.0,1.94767,0,30.0,0.0,6.38097,0.0,0.327062,0.613968,0.0,2.566208171,73.67616,0.0,0.0550232,1.45157,0.688
30.0,1.0,9,6.0,0.12,7,1,0.0,1.94767,0,30.0,0.0,7.07281,0.0,0.385052,0.5769484,0.0,2.566208171,69.233808,0.0,0.051932,1.50589,0.848
28.0,0.0,10,4.0,0.06,41,4,62.06,1.95,0,28.0,0.0,7.79826,17.91,0.0,0.740203831,34.9245,0.36,44.41222984,16.85,0.0,2.1116,13.18
28.0,10.0,10,4.0,0.06,36,1,58.69,1.96,0,28.0,0.0,7.89913,18.23,0.0,0.780682643,35.7308,0.36,46.84095861,19.35,0.0,2.162,11.36
30.0,0.0,1,4.0,0.06,41,4,53.59,1.1,1,30.0,20.0,0.0,32.46,0.0,0.0,35.52,0.0,0.0,12.01,0.0,2.12887,23.17
30.0,0.0,1,4.0,0.06,41,4,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0.0,2.1701,14.5
30.0,0.0,1,4.0,0.06,34,0,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,0.0,1.97423,12.31
30.0,0.0,1,4.0,0.06,24,0,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04,0.0,2.07732,20.84
