Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
7,5.55556,0,1,0,50.0,49.0,7.05,4.0,11,0.1,4.50975,60.0,31.45
7,5.55556,0,1,0,50.0,39.2,7.05,6.0,11,0.1,4.37775,60.0,25.78
7,5.55556,0,1,0,50.0,33.4,3.0,8.0,11,0.1,1.93775,60.0,18.48
7,5.55556,0,1,0,50.0,33.4,3.0,10.0,11,0.1,1.93775,60.0,12.39
10,5.55556,0,1,0,50.0,50.0,0.0,0.0,11,0.1,0.3,55.0,3.27626
10,5.55556,0,1,0,50.0,50.0,0.0,10.0,11,0.1,0.3,59.866,1.86454
10,5.55556,0,1,0,50.0,50.0,0.0,20.0,11,0.1,0.3,60.907,1.06012
10,5.55556,0,1,0,50.0,50.0,0.0,20.5,11,0.1,0.3,60.907,1.0175
10,5.55556,0,1,0,50.0,50.0,0.0,21.0,11,0.1,0.3,60.907,0.84703
10,5.55556,0,1,0,50.0,50.0,0.0,22.0,11,0.1,0.3,60.907,0.75114
8,4.85714,0,1,0,34.0,34.0,0.0,0.0,7,0.005,0.03367,67.6,20.9
8,4.85714,0,1,0,34.0,34.0,0.0,7.73359,7,0.005,0.03367,67.3,14.7
8,4.85714,0,1,0,34.0,34.0,0.0,7.12828,7,0.005,0.03367,66.8,17.3
8,4.85714,0,1,0,34.0,34.0,0.0,6.05043,7,0.005,0.03367,66.0,5.7
10,4.0,2,0,0,52.0,0.0,0.0,0.0,11,2.364,0.0,65.0,22.64
10,4.0,2,0,0,52.0,0.0,0.0,23.0,11,4.732,0.0,65.0,15.38
10,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,8.88
10,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,11.28
7,7.0,0,1,0,91.0,10.0,0.0,0.0,11,0.25,0.01275,60.0,38.7288
7,7.0,0,1,0,91.0,27.6,0.0,12.5,11,0.25,0.01275,60.0,30.5921
7,7.0,0,1,0,91.0,27.6,0.0,12.5,11,0.25,0.01275,60.0,28.3129
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,20.4619
7,7.0,0,1,0,91.0,10.0,0.0,0.0,11,0.25,0.01275,60.0,31.9196
7,7.0,0,1,0,91.0,27.6,0.0,12.5,11,0.25,0.01275,60.0,21.7826
7,7.0,0,1,0,91.0,27.6,0.0,12.5,11,0.25,0.01275,60.0,19.0748
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,8.79526
7,7.0,0,1,0,91.0,10.0,0.0,0.0,11,0.25,0.01275,60.0,26.1098
7,7.0,0,1,0,91.0,27.6,0.0,12.5,11,0.25,0.01275,60.0,19.9734
7,7.0,0,1,0,91.0,27.6,0.0,12.5,11,0.25,0.01275,60.0,13.265
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,9.98574
8,0.0,0,1,0,32.0,32.0,0.0,0.0,11,0.1,1.17937,75.32,17.06
8,0.0,0,1,0,32.0,32.0,0.0,0.0,11,0.1,0.58699,69.37,37.71
8,0.0,0,1,0,32.0,32.0,0.0,0.0,11,0.1,0.80324,66.06,33.42
0,0.0,0,1,0,32.0,32.0,0.0,0.0,11,0.1,1.17937,76.28,23.26
0,0.0,0,1,0,32.0,32.0,0.0,0.0,11,0.1,0.60935,72.85,31.6
0,0.0,0,1,0,32.0,32.0,0.0,0.0,11,0.1,0.61862,63.45,34.13
8,0.0,0,1,0,32.0,32.0,0.0,0.0,11,0.1,0.59399,67.86,52.0
0,0.0,0,1,0,32.0,32.0,0.0,0.0,11,0.1,1.17937,76.28,26.68
5,0.0,0,1,0,28.0,28.0,0.0,0.0,11,0.1,0.88598,58.4,23.29
5,0.0,0,1,0,28.0,28.0,0.0,0.0,11,0.1,0.81624,56.2,28.36
5,0.0,0,1,0,28.0,28.0,0.0,0.0,11,0.1,0.88598,58.8,25.55
5,0.0,0,1,0,28.0,28.0,0.0,0.0,11,0.1,0.89479,60.9,27.35
5,0.0,0,1,0,28.0,28.0,0.0,0.0,11,0.1,0.9029,61.9,32.02
7,0.0,0,1,0,28.0,28.0,0.0,0.0,0,0.1,0.9029,61.9,42.17
7,0.0,0,1,0,28.0,28.0,0.0,0.0,0,0.1,0.54194,64.5,44.85
7,0.0,0,1,0,28.0,28.0,0.0,0.0,11,0.1,0.49312,65.3,55.92
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,47.069
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,50.0
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,46.7241
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,49.3103
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,46.5517
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,48.4483
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,44.3103
