Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
0,5.33333,1,0,0,64.0,0.0,0.0,0.0,5,1.0,0.0,74.0,0.1
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,5,1.0,0.0,74.0,0.11
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,5,1.0,0.0,74.0,0.06
0,5.33333,1,1,0,64.0,64.0,0.0,0.0,5,1.0,1.157,74.0,0.06
6,0.0,0,1,5,25.0,25.0,30.0,0.0,5,0.06,0.08242,60.0,0.69491
6,0.0,0,1,5,25.0,25.0,30.0,0.0,5,0.06,0.82645,60.0,0.26553
6,0.0,0,1,5,25.0,25.0,30.0,0.0,5,0.06,1.64384,60.0,0.16811
8,0.0,1,0,0,109.6,0.0,0.0,0.0,5,0.4,0.0,77.53,0.02
8,0.0,1,0,0,109.6,0.0,0.0,0.0,0,0.4,0.0,66.71,1.1
8,0.0,1,0,0,109.6,0.0,0.0,0.0,0,0.4,0.0,66.36,1.2
8,0.0,1,0,0,58.1,0.0,0.0,0.0,0,0.15121,0.0,67.68,0.004
8,0.0,1,0,0,58.1,0.0,0.0,0.0,0,0.15121,0.0,66.26,0.033
7,0.0,0,1,0,50.0,50.0,0.0,0.0,4,0.03,0.22286,72.13,0.05951
7,0.0,0,1,0,50.0,50.0,0.0,0.0,5,0.03,0.20526,69.74,0.04235
7,0.0,0,1,0,50.0,50.0,0.0,0.0,2,0.03,0.21455,71.05,0.0336
8,14.0,0,1,5,28.0,28.0,30.0,0.0,5,0.07122,0.8589,60.0,0.136
8,14.0,0,1,5,28.0,28.0,30.0,0.0,5,0.07122,0.92562,60.0,0.214
8,14.0,0,1,5,28.0,28.0,30.0,0.0,5,0.07122,0.90323,60.0,0.279
8,14.0,0,1,5,28.0,28.0,30.0,0.0,5,0.07122,0.90909,60.0,0.315
2,7.0,0,1,6,28.0,28.0,30.0,0.0,5,0.06,1.20727,66.9,1.68
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.96434,58.6,0.69
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.85547,53.1,1.34
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.76023,47.5,2.36
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.9
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,1.1
8,0.0,2,1,0,56.0,56.0,0.0,0.0,5,1.37,0.108,69.4,1.13
8,0.0,2,1,0,56.0,56.0,0.0,1.7301,5,1.37,0.108,71.1,1.06
8,0.0,2,1,0,56.0,56.0,0.0,1.38889,5,1.37,0.108,71.2,1.02
8,0.0,2,1,0,56.0,56.0,0.0,3.7037,5,1.37,0.108,67.6,0.71
8,0.0,2,1,0,56.0,56.0,0.0,0.32468,5,1.37,0.108,69.2,0.81
8,0.0,2,1,0,56.0,56.0,0.0,2.06897,4,1.37,0.108,71.0,0.77
8,0.0,2,1,0,56.0,56.0,0.0,0.0,5,1.37,0.108,70.3,1.2
8,0.0,2,1,0,56.0,56.0,0.0,2.83688,4,1.18,0.108,71.8,1.03
0,0.0,1,0,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.11274
0,0.0,1,1,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.11492
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.06709
0,5.07702,1,1,9,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.06553
6,7.5,0,1,8,30.0,30.0,10.0,0.0,5,0.1,0.00833,60.0,0.024
6,7.5,0,1,8,30.0,30.0,10.0,10.0,5,0.1,0.00833,60.0,0.016
6,7.5,0,1,8,30.0,30.0,10.0,10.0,5,0.1,0.00833,60.0,0.006
0,0.0,0,1,0,20.0,20.0,0.0,0.0,5,0.06,0.21,60.22,0.4004
0,0.0,0,1,2,20.0,20.0,10.0,0.0,5,0.06,0.42,60.22,0.534
0,0.0,0,1,3,20.0,20.0,5.0,0.0,5,0.06,0.84,60.22,0.6341
8,6.22222,0,1,0,56.0,0.0,0.0,0.0,5,0.1,0.0,67.70741,0.72
8,6.22222,0,1,0,56.0,0.0,0.0,15.0,5,0.1,0.0,63.32171,0.73
8,6.22222,0,1,0,56.0,0.0,0.0,10.0,5,0.1,0.0,63.24,0.45
8,6.22222,0,1,0,56.0,0.0,0.0,25.0,5,0.1,0.0,61.88594,0.55
0,0.0,0,1,0,21.0,21.0,0.0,0.0,5,0.06,0.21,55.0,0.00623
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.00162
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.00224
0,15.5,0,1,0,31.0,31.0,0.0,0.0,5,0.06,0.09384,65.4,0.74
0,15.5,0,1,0,31.0,31.0,0.0,0.0,5,0.06,0.15639,65.4,0.83
0,15.5,0,1,4,31.0,31.0,10.0,0.0,5,0.06,0.28151,65.4,0.93
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.2,72.1,0.88
7,7.0,0,1,0,35.0,35.0,0.0,10.0,5,0.06,0.2,72.1,1.11
7,7.0,0,1,0,35.0,35.0,0.0,10.0,5,0.06,0.2,72.1,0.6
7,7.0,0,1,0,35.0,35.0,0.0,12.5,5,0.06,0.2,72.1,0.24
