Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
8,7.5,0,1,1,30.0,30.0,25.0,0.0,8,0.06,0.48,65.9,58.4
8,7.5,0,1,1,30.0,30.0,25.0,10.0,8,0.06,0.48,66.629,56.6
8,7.5,0,1,1,30.0,30.0,25.0,10.2,8,0.06,0.48,66.629,56.3
8,7.5,0,1,1,30.0,30.0,25.0,5.2,8,0.06,0.48,57.47311,58.0
5,12.5,0,1,5,25.0,25.0,30.0,0.0,8,0.06,0.08242,65.0,24.3
5,12.5,0,1,5,25.0,25.0,30.0,0.0,8,0.06,0.82645,65.0,54.47
5,12.5,0,1,5,25.0,25.0,30.0,0.0,8,0.06,1.64384,65.0,45.7
8,7.71429,1,0,0,54.0,0.0,0.0,0.0,8,0.13,0.0,66.28,58.0
8,7.71429,1,0,0,54.0,0.0,0.0,15.0,8,0.13,0.0,62.82171,54.2
8,7.71429,1,0,0,54.0,0.0,0.0,15.0,8,0.13,0.0,62.82171,53.8
8,7.71429,1,0,0,54.0,0.0,0.0,0.0,8,0.13,0.0,66.28,55.4
8,7.71429,1,0,0,54.0,0.0,0.0,6.0,8,0.13,0.0,63.24,52.1
8,7.71429,1,0,0,54.0,0.0,0.0,6.0,8,0.13,0.0,63.24,51.8
6,5.0,0,1,7,45.0,45.0,20.0,0.0,8,0.12,0.97145,65.0,16.32
6,5.0,0,1,7,45.0,45.0,20.0,5.0,8,0.12,1.71576,65.0,17.17
6,5.0,0,1,7,45.0,45.0,20.0,1.0,8,0.12,0.92403,65.0,18.95
6,5.0,0,1,7,45.0,45.0,20.0,1.0,8,0.12,0.92403,65.0,15.14
6,5.0,0,1,7,45.0,45.0,20.0,3.0,8,0.12,0.93795,65.0,16.54
6,5.0,0,1,7,45.0,45.0,20.0,3.0,8,0.12,0.93795,65.0,17.15
6,5.0,0,1,7,45.0,45.0,20.0,5.0,8,0.12,1.71576,65.0,22.42
6,7.0,0,1,0,35.0,35.0,0.0,0.0,8,0.06,0.1,72.86,49.9
6,7.0,0,1,0,35.0,35.0,0.0,0.0,8,0.06,0.2,72.86,47.7
6,7.0,0,1,0,35.0,35.0,0.0,0.0,8,0.06,0.3,72.86,43.8
