Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
70.0,0.0,0.0,0.0,10.0,13.2,1.2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8
70.0,0.0,0.0,0.0,10.0,16.5,1.2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
13.0,13.0,20.0,40.0,6.0,0.0,0.06,55.0,0.72,3.2,12.8125,8.20028,41.0,0.0,0.0,0.0,0.0,0.0,12.84
22.0,22.0,0.0,0.0,11.0,0.0,0.0035,59.4,0.0,2.14,0.0,5.51,0.0,2.41845,0.0,0.0,0.0,0.0219379,16.2936
22.0,22.0,0.0,0.0,11.0,0.0,0.0035,57.5,0.0,2.15,0.0,6.48,0.0,2.83692,0.0,0.0,0.0,0.0383833,18.7427
22.0,22.0,0.0,0.0,11.0,0.0,0.0035,58.2,0.0,2.13,0.0,7.56,0.0,2.96569,0.0,0.0,0.0,0.0383853,33.8826
45.0,45.0,17.0,30.0,6.888888888888889,0.0,2.4,55.0,6.67,1.094658467,30.4875,7.87459,33.3734,2.90787,0.416666667,1000.0,450.0,0.683382,17.965
45.0,45.0,17.0,30.0,6.888888888888889,0.444444444,2.4,55.0,6.67,1.126532432,29.153,7.73601,32.8418,2.86062,0.416666667,1000.0,450.0,0.703876,3.22179
45.0,45.0,17.0,30.0,6.888888888888889,0.444444444,2.4,55.0,6.67,1.03963782,31.2883,7.7218,32.5285,2.52991,0.416666667,1000.0,450.0,0.642379,5.63813
112.0,25.828282828282827,0.0,0.0,12.0,0.0,0.026,61.9,2.024,2.36,0.0,7.5,0.0,2.1,0.5,13.0,0.0,0.1,10.351
112.0,25.828282828282827,0.0,0.0,12.0,0.0,0.026,0.0,2.024,0.0,0.0,0.0,0.0,0.0,0.5,13.0,0.0,0.0,2.046
