Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,20.4619
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,21.7826
70.0,0.0,0.0,0.0,0.0,20.0,0.7178,65.7,0.0,19.0748
70.0,0.0,0.0,0.0,0.0,20.0,0.7178,65.7,0.0,8.79526
70.0,0.0,0.0,0.0,0.0,10.0,9.56,65.7,0.0,26.1098
70.0,0.0,0.0,0.0,0.0,10.0,9.56,65.7,0.0,19.9734
70.0,0.0,0.0,0.0,0.0,0.0,7.332000000000001,65.7,0.0,13.265
70.0,0.0,0.0,0.0,0.0,0.0,7.332000000000001,65.7,0.0,9.98574
31.0,30.000000000000004,0.0,0.0,3.1207243533000004,1.0,0.95,69.47,0.31200000000000006,17.06
35.0,35.0,0.0,0.0,0.0,9.0,0.1559,66.03,0.817819522,37.71
35.0,35.0,0.0,0.0,0.0,9.0,0.2984,65.69,0.817819522,33.42
35.0,35.0,0.0,0.0,0.0,9.0,0.5697,66.14,0.817819522,23.26
70.0,0.0,0.0,0.0,0.0,10.0,1.2,64.0,0.0,31.6
70.0,0.0,0.0,0.0,0.0,10.0,1.2,64.0,0.0,34.13
70.0,0.0,0.0,0.0,0.0,5.0,1.2,64.0,0.0,52.0
70.0,0.0,0.0,0.0,0.0,5.0,1.2,64.0,0.0,26.68
56.0,0.0,0.0,0.0,9.899999999999999,7.000000000000001,1.2,67.6,0.0,23.29
56.0,0.0,0.0,0.0,13.2,7.000000000000001,1.2,67.6,0.0,28.36
28.0,0.0,0.0,0.0,0.0,9.0,0.13,61.4561,0.0,25.55
28.0,0.0,0.0,0.0,2.0,9.0,0.13,60.661,0.0,27.35
28.0,0.0,0.0,0.0,4.0,9.0,0.13,59.710899999999995,0.0,32.02
28.0,0.0,0.0,0.0,6.0,9.0,0.13,60.4548,0.0,42.17
28.0,0.0,0.0,0.0,8.0,9.0,0.13,60.0684,0.0,44.85
28.0,0.0,0.0,0.0,10.0,9.0,0.13,59.45459999999999,0.0,55.92
50.0,50.0,0.0,0.0,0.0,0.0,0.030000000000000002,71.05,0.214548536,39.9
30.0,30.000000000000004,0.0,0.0,8.968501546,0.0,0.030000000000000002,71.6522,0.149475026,30.9
30.0,30.000000000000004,0.0,0.0,6.709270849,0.0,0.030000000000000002,72.646,0.156029555,27.1
30.0,30.000000000000004,0.0,0.0,0.0,0.0,0.030000000000000002,73.0435,0.161290453,30.3
60.0,60.00000000000001,0.0,0.0,1.8887505189999998,0.0,0.030000000000000002,71.6013,0.217484278,31.8
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.858895706,39.3
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.925619835,31.2
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.903225806,29.4
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.909090909,22.0
28.0,28.0,30.0,60.0,0.0,4.0,0.060000000000000005,66.9,1.207272727,28.0
28.0,28.0,30.0,60.0,0.0,4.0,0.060000000000000005,58.6,0.964341085,32.0
28.0,28.0,30.0,60.0,0.0,4.0,0.060000000000000005,53.1,0.855474453,23.0
28.0,28.0,30.0,60.0,0.0,4.0,0.060000000000000005,47.5,0.760233918,29.0
20.999999999999996,21.0,1.0,20.0,0.0,4.0,0.0474,49.21000000000001,0.5832874838000001,45.0
20.999999999999996,21.0,1.0,20.0,2.0,4.0,0.0474,49.21000000000001,0.3856666667,19.0
20.999999999999996,21.0,1.0,20.0,3.50659096,4.0,0.0474,49.21000000000001,0.47233333339999994,40.0
50.0,50.0,0.0,0.0,0.0,0.0,0.02,73.67,0.2,36.0
65.0,0.0,0.0,0.0,0.0,18.0,0.622,80.3,0.0,17.7
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.4,0.0,13.5
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,71.6,0.0,10.2
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.1,0.0,3.1
90.0,0.0,0.0,0.0,0.0,0.0,10.0,69.2,0.0,13.1
90.0,0.0,0.0,0.0,0.0,1.0,10.0,69.2,0.0,12.8
90.0,0.0,0.0,0.0,0.0,3.0,10.0,69.2,0.0,14.0
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,13.2
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,8.7
88.0,0.0,0.0,0.0,0.0,3.0,10.0,72.5,0.0,21.0
88.0,0.0,0.0,0.0,0.0,3.0,10.0,72.5,0.0,27.0
85.0,0.0,0.0,0.0,0.0,0.0,10.0,74.8,0.0,31.0
85.0,0.0,0.0,0.0,0.0,1.0,10.0,74.8,0.0,22.0
85.0,0.0,0.0,0.0,0.0,3.0,10.0,74.8,0.0,28.0
13.0,12.999999999999998,0.0,0.0,6.1301738575,0.0,0.005,81.53,0.32678018030000006,46.0
6.0,6.0,0.0,0.0,9.249999999999998,0.0,0.005,84.74,0.0,18.0
17.0,17.0,0.0,0.0,3.7157258662000006,0.0,0.005,83.18,0.4656096521,40.0
15.0,15.000000000000002,0.0,0.0,5.6950779955,0.0,0.005,83.21,0.38560965210000003,35.0
15.0,15.000000000000002,0.0,0.0,5.6950779955,0.0,0.005,83.21,0.38560965210000003,21.3
15.0,15.000000000000002,0.0,0.0,5.090803607500001,0.0,0.005,82.62,0.4977961764,26.6
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.155433972,30.6
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.310867943,22.0
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.155433972,28.4
37.0,37.0,20.0,40.0,0.0,5.0,1.0,65.0,0.46300800000000003,45.9
37.0,37.0,20.0,40.0,5.0,5.0,1.0,65.0,0.4701138824,18.4
37.0,37.0,20.0,40.0,10.0,5.0,1.0,65.0,0.4423523439,40.3
35.0,0.0,0.0,0.0,0.0,5.0,0.004,59.99999999999999,0.0,35.3
35.0,0.0,0.0,0.0,12.5,5.0,0.004,59.99999999999999,0.0,88.17
35.0,0.0,0.0,0.0,12.5,5.0,0.004,59.99999999999999,0.0,82.72
35.0,0.0,0.0,0.0,7.5,5.0,0.004,59.99999999999999,0.0,86.8
35.0,0.0,0.0,0.0,12.5,5.0,0.004,59.99999999999999,0.0,82.85
35.0,0.0,0.0,0.0,20.0,5.0,0.004,59.99999999999999,0.0,70.73
35.0,0.0,0.0,0.0,20.0,5.0,0.004,59.99999999999999,0.0,87.42
35.0,0.0,0.0,0.0,20.0,5.0,0.004,59.99999999999999,0.0,87.12
51.0,0.0,0.0,0.0,3.3000000000000003,14.000000000000002,1.2960000000000003,65.0,0.0,83.93
51.0,0.0,0.0,0.0,0.0,14.000000000000002,3.5400000000000005,65.0,0.0,81.34
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,63.1761,0.43638828090000004,42.26402957
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,57.5744,0.4060918662,44.08915924
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.183,0.43638828090000004,43.13520486
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,60.587799999999994,0.44438828090000004,32.15
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,59.9182,0.43434985149999994,31.59
