Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TC loss (%)
10,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.82,36.25609756,0,7.0,29.73,1,0.0,0.56,0.14,0.07,0.0,59.3655
12,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.8,37.1625,0,8.0,29.73,3,0.0,0.56,0.14,0.07,0.0,55.7241
10,8,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.81,36.7037037,0,7.3,29.73,2,0.0,0.56,0.14,0.07,0.0,59.3655
0,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,0.85,21.015545935490564,0,7.7,40.41,4,0.0,0.448,0.112,0.056,0.0,61.6828
10,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.7,21.015545935490564,0,6.7,32.33,1,0.0,0.56,0.14,0.07,0.0,43.9172
12,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.68,21.015545935490564,0,7.6,32.33,3,0.0,0.56,0.14,0.07,0.0,53.0759
10,8,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.69,21.015545935490564,0,6.9,32.33,2,0.0,0.56,0.14,0.07,0.0,51.6414
0,0,0,8,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,81.0,-1.0,3.86,12.2,2,7.0,46.9,4,0.0,0.357894737,42.94736842,8.16,0.0,24.9
0,0,0,8,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,75.8,-1.0,3.18,15.3,2,7.1,48.8,4,0.0,0.372589532,44.7107438,10.82,0.0,31.4
0,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,77.3,-1.0,2.16,22.3,2,8.7,48.2,4,0.0,0.343612335,41.23348018,9.36,0.0,31.6
0,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,77.0,-1.0,2.25,20.1,2,8.8,45.3,4,0.0,0.358333333,43.0,9.89,0.0,40.8
0,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,80.0,-1.0,1.82,29.9,2,6.7,54.5,4,0.0,0.35875,43.05,8.61,0.0,35.0
