Additive_3,Turning times,V2_Ventilation Interval (min), Composting Method,V1_Ventilation Type,Initial Moisture Content (%),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Additive_1,Initial pH,Material_2,V3_Ventilation Duration (min),Initial C/N (%),M1_is Enclosed,V4_Ventilation Day,Additive_2,Additive_4,Compost volume (m3),Initial GI (%),Material_3,Material_Main,Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,7.0,1165.0,Trough,Intermittent ,70.60751305523948,4.03452982092957,1.1901065288259376,None,8.99588928429214,Byproduct,20.59555524181271,21.618279705281,0.0,3.0,None,None,0.314,27.32884658064516,Straw,Green waste,43.0,1.4280600332415827,30.87220123454941,96.79360266666669,5.914921143381702,0.9240157604217528,0.1743791105730376,23.79973027734483
None,31.0,1058.0,Reactor,Intermittent ,46.53341972439105,5.640440121690555,2.763994282147727,Inorganic acid,9.753783175010897,Soil,58.000535666249846,31.38454999920769,1.0,2.0,Ca-superphosphate,None,0.314,27.32884658064516,Straw,Green waste,22.0,1.4280600332415827,44.81902151514065,93.837352,8.031780253019274,0.922730565071106,0.1633458468649739,27.26241835673473
None,3.0,0.0,Windrow,None,52.90492276852984,3.414876836241453,0.0,Urea,10.901361027917243,None,0.0,15.1663903597824,1.0,0.0,Calcium magnesium phosphate fertilizer,None,0.314,27.32884658064516,Mature compost,Green waste,32.0,1.4280600332415827,25.33841101894373,93.02974600000005,11.264118777559592,0.6609847545623779,0.1246764368230031,1000000.0
None,16.0,305.0,Reactor,Intermittent ,65.92249635338855,5.217648165130569,0.3662387275085876,Urea,7.14738341168707,Plastic tube pieces,36.33362394870912,44.27536846204335,1.0,7.0,Organic acid,None,0.314,27.32884658064516,Straw,Green waste,20.0,1.4280600332415827,63.22788415768896,93.91019099999998,6.536653826427975,0.9454965591430664,0.1751437831999251,25.59317015380504
None,2.0,0.0,Trough,None,78.10293083896593,9.560084125358678,0.0,MgSO₄,5.551332275483546,None,0.0,13.17895860251419,0.0,0.0,Potassium phosphate,None,0.314,27.32884658064516,None,Green waste,38.0,1.4280600332415827,18.84919202853233,93.15367100000007,8.724011921917523,0.6864590048789978,0.1297594306319667,1000000.0
None,6.0,0.0,Trough,None,71.16120105596642,8.33379644029478,0.0,Urea,5.831025239010433,Soil,0.429994237024791,35.93819821557538,0.0,0.0,MgSO₄,None,0.314,27.32884658064517,Byproduct,Green waste,58.0,1.4280600332415827,51.32190453837717,95.43923400000004,5.836266816397009,1.1901463270187378,0.1579168751887457,20.958174669708622
None,3.0,0.0,Trough,None,49.46831776481447,3.974001601751179,0.0,Mg(OH)₂,5.926027490938133,Green Waste,0.0,8.141927910378127,0.0,0.0,Gypsum,None,0.314,27.32884658064516,Straw,Green waste,109.0,1.4280600332415827,11.627161842345158,93.059337,9.924162909921456,0.5159739851951599,0.1871171439689012,15.086719711655476
None,5.0,0.0,Trough,None,76.34401735023147,9.751557446121058,0.0,Sand,7.317167275149623,Green waste,0.0,10.202739073173408,0.0,0.0,Biochar,None,0.314,27.32884658064516,Straw,Green waste,48.0,1.4280600332415827,14.570123899991213,96.34944800000004,9.249607399133298,0.6945346593856812,0.1874921994058484,17.638987719219756
None,8.0,918.0,Trough,Intermittent ,48.7748409053094,9.707168423063996,0.8255235354379279,Labile carbon source,9.361369705262828,Husk,6.222142395930927,19.623221124060876,0.0,34.0,MgSO₄,None,0.314,27.32884658064516,Straw,Green waste,112.0,1.4280600332415827,28.0231378107333,95.47536366666664,7.522775690012419,0.9114957451820374,0.1573459896827989,25.94252160722612
None,6.0,0.0,Windrow,None,62.450096503099005,2.110563537892906,0.0,MgSO₄,9.700199324563297,Straw,0.0,37.91549673383719,1.0,0.0,Potassium phosphate,None,0.314,27.32884658064516,Straw,Green waste,18.0,1.4280600332415827,53.90197740881995,92.53282400000002,8.180405837377192,0.7285696268081665,0.1910775343244676,1000000.0
