Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Straw,1.0,43.82115794213707,Continuous,Windrow,7.401148684578098,22.0,5.0,None,10.464081813755747,20.0,Ca-superphosphate,2.147162565177521,0.0,None,79.3513243657492,27.328846580645163,None,MgO,Cattle manure,58.5004034371546,1.4371889157542213,1.596639959668374,69.96661184935517,115.87903600000006,8.352759047963474,0.88141268491745,0.1958963660187897,29.18517325688948
Plastic tube pieces,1.0,15.71797936346626,Continuous,Trough,7.410677553649222,1.0,2.0,Mature compost,10.812962269535438,24.0,K₂SO₄,2.147162565177521,0.0,None,52.8827456119552,27.32884658064516,None,Organic acid,Cattle manure,43.854238756890965,6.415156791139152,1.596639959668374,25.095953936953105,114.95991400000008,8.342514648622059,0.9141475558280944,0.2078702135542931,26.923615991676137
Straw,1.0,17.149576962083344,Continuous,Trough,8.21985786402055,18.0,8.0,Mature compost,7.934456968159659,19.0,Gypsum,2.147162565177521,0.0,None,75.71685012198628,27.32884658064516,None,MgO,Cattle manure,43.832192232597386,1.9190781927551013,1.596639959668374,27.381699869070427,114.16392700000006,8.335159545422256,0.8310317993164062,0.233651365581164,29.683121805613496
Byproduct,0.0,41.48077425275204,Continuous,Windrow,2.68062562321566,31.0,2.0,Mature compost,10.817187315682864,17.0,Clay,2.147162565177521,0.0,None,69.78465346719776,27.32884658064516,None,Gypsum,Cattle manure,31.04830744040392,7.657602164315832,1.596639959668374,66.22986172992695,115.43947000000006,5.386902989350176,0.6090852618217468,0.190025139822748,27.60099391662486
Sawdust,0.0,40.10112902903308,Intermittent ,Trough,1.144377752033695,30.0,5.0,Mature compost,9.147266822173789,57.0,Urea,2.147162565177521,640.0,None,54.30159931566892,27.32884658064516,None,Microbiological agent,Cattle manure,32.89041436952134,7.7219254674838735,1.596639959668374,64.02706503557162,115.48962100000004,7.594371647392726,0.962989628314972,0.1534202701564341,25.58486097011511
Plastic tube pieces,0.0,21.944216715946062,Continuous,Trough,8.814855962724288,14.0,2.0,Green waste,6.7244754747803706,101.0,Sodium salt,2.147162565177521,0.0,None,54.40946525456512,27.32884658064516,None,Inorganic acid,Cattle manure,39.79343126924138,9.986653743249205,1.596639959668374,35.03701329230218,115.69830000000007,7.199188795596601,0.8242403864860535,0.2047600488958217,24.394208316416258
Green waste,0.0,7.588555735528639,Continuous,Trough,7.002948895511362,7.0,2.0,Byproduct,6.306772549564885,66.0,Sulfur,2.147162565177521,0.0,None,79.46023723744224,27.32884658064516,None,Microbiological agent,Cattle manure,41.94342149466529,6.522893954925424,1.596639959668374,12.116191323515654,115.46718100000008,6.276548406434826,0.8810543417930603,0.1763042260917914,1000000.0
Byproduct,1.0,36.15399452436425,Continuous,Trough,8.374737148712846,20.0,4.0,Byproduct,8.198575382446558,42.0,K₂SO₄,2.147162565177521,0.0,None,67.2155605299358,27.32884658064516,None,Mg(OH)₂,Cattle manure,30.2306171905529,8.472474293938031,1.596639959668374,57.72491235923155,115.28602600000008,8.176918726891024,0.5949981212615967,0.2369359726465534,25.562566606534897
None,1.0,18.623177550374045,Continuous,Windrow,0.729290602963728,10.0,6.0,None,7.1775189749957615,22.0,MgHPO₄,2.147162565177521,0.0,None,78.01454786059492,27.32884658064516,None,Mg(OH)₂,Cattle manure,41.852350091209296,9.895608069841956,1.596639959668374,29.734509452926183,116.27152400000006,9.529957272872773,0.9398220181465148,0.2274608845602383,27.713992801252832
Sawdust,0.0,42.39779460627764,Continuous,Trough,2.710383296867438,19.0,1.0,Mature compost,6.434642747324903,41.0,Biochar,2.147162565177521,0.0,None,47.60454634967338,27.32884658064516,None,MgO,Cattle manure,48.72924512130158,2.1290837733981025,1.596639959668374,67.69401307019513,116.61000300000003,5.87192692998009,0.8418145775794983,0.2342759936744255,24.45080564898678
Green waste,0.0,36.76376457371178,Continuous,Trough,0.0109469960969998,17.0,8.0,Byproduct,4.469059018458636,121.0,Phosphogypsum,2.147162565177521,0.0,None,55.95309586506316,27.32884658064516,None,Inorganic acid,Cattle manure,40.45483071019522,4.912347668777278,1.596639959668374,58.69849558622878,116.72198700000004,7.0235790084087,0.9023452401161194,0.1900104198982796,22.43054584607326
Green waste,0.0,5.40930975645369,Continuous,Windrow,8.415369863970346,8.0,0.0,Byproduct,6.691738329559858,18.0,Phosphogypsum,2.147162565177521,0.0,None,82.82990000157535,27.32884658064516,None,DCD,Cattle manure,42.993397894519546,4.46698569007637,1.596639959668374,8.636720111377961,115.05692400000008,6.396225805860616,1.1424880027770996,0.162397045167812,26.888943874037388
Plastic tube pieces,1.0,40.12842969833473,Continuous,Windrow,1.597663665367003,9.0,2.0,Mature compost,5.509556870170061,102.0,Carbonatite,2.147162565177521,0.0,None,49.214797333343455,27.532027953767265,None,Biochar,Cattle manure,56.80122271750656,1.4596855883247444,1.596639959668374,64.01162701044359,116.71134800000004,6.565735466042444,1.0225964784622192,0.2300268298829753,1000000.0
None,0.0,43.769261293503504,Continuous,Windrow,0.4504289737803169,10.0,8.0,Poultry manure,7.627882537611752,46.0,Ca-superphosphate,2.147162565177521,0.0,None,48.72814835797457,27.32884658064516,None,Ca-superphosphate,Cattle manure,52.78617737036302,3.5347713808689263,1.596639959668374,69.88375158637396,116.15906000000004,5.620459347688184,1.0999926328659058,0.2124343248030393,22.537216746402265
