V2_Ventilation Interval (min),Additive_2,V3_Ventilation Duration (min),Initial GI (%),M1_is Enclosed, Composting Method,V1_Ventilation Type,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Material_Main,V4_Ventilation Day,Application Rate (%DW),Turning times,Material_3,Additive_1,Additive_4,Initial Moisture Content (%),Compost volume (m3),Period (d),Additive_3,Initial pH,Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
74.0,Ca-superphosphate,53.704729645521766,27.32884658064516,1.0,Trough,Intermittent ,29.853126416331342,0.2279014235434894,Poultry manure,52.0,3.3376607217955256,23.0,Byproduct,MgSO₄,None,51.95156109871904,0.6292491869918699,106.0,None,10.22384623637599,None,2.4967368849582217,74.53540185497512,108.351839,7.155552304118436,0.470818817615509,0.1861032361558959,20.780947652535243
0.0,Biochar,9.695397045653833,27.32884658064516,1.0,Trough,Continuous,17.83486715705209,1.526118158512339,Poultry manure,48.0,9.131717912665769,23.0,Byproduct,LB Culture,None,62.35483877336237,0.6292491869918699,133.0,None,7.024080113138551,Woody peat,2.4967368849582217,44.52897066934193,107.82570200000004,4.750273477279072,0.2390694320201873,0.1805385159222596,25.42607816008571
1337.0,Inorganic acid,33.09823872880776,27.328846580645163,1.0,Reactor,Intermittent ,6.202815787358155,0.0308162052827909,Poultry manure,79.0,1.0212388883681056,6.0,Byproduct,Lime,None,75.5493179577552,0.6292491869918699,111.0,None,10.141508794002291,None,2.4967368849582217,15.48679896689828,109.11945900000002,6.170566557867572,0.4557931423187256,0.1795886338318299,23.27815014047796
0.0,DCD,0.0,27.32884658064516,1.0,Reactor,None,45.125123947751234,0.0,Poultry manure,0.0,0.1291756430336388,29.0,Byproduct,Urea,None,62.7341025455838,0.6292491869918699,66.0,None,9.513211602731683,Straw,2.4967368849582217,112.66556139866206,107.84973300000009,2.3699039159812303,0.4266334474086761,0.1980549679534123,24.199314267416604
241.0,DCD,56.83553260648049,27.32884658064516,1.0,Trough,Intermittent ,5.456406119188957,4.98532076608285,Poultry manure,19.0,9.89836363565186,0.0,Byproduct,MgHPO₄,None,83.80620164276024,0.6292491869918699,63.0,None,10.372488127674124,Soil,2.4967368849582217,14.1425080803888,110.54673799999996,5.462682258021252,0.6734223365783691,0.1437083448041599,1000000.0
0.0,Gypsum,0.0,27.32884658064516,1.0,Reactor,None,26.50028339867668,0.0,Poultry manure,0.0,1.0656428717886857,14.0,Byproduct,Sand,None,61.807294562503614,0.6292491869918699,78.0,None,7.327410475554734,Straw,2.4967368849582217,66.16423502332209,107.86718300000004,-1.2380521020727746,0.2079214751720428,0.2475469203181241,20.44025497175159
0.0,Calcium magnesium phosphate fertilizer,0.0,27.32884658064516,1.0,Reactor,None,43.876419761777385,0.0,Poultry manure,0.0,1.6238884123098818,21.0,Byproduct,Sulfur,None,53.01108247860439,0.6292491869918699,86.0,None,11.102168912699764,Woody peat,2.4967368849582217,109.54787559913945,108.03903000000004,2.3517996789308317,0.4549717903137207,0.1992815365924597,22.69760831493197
630.0,Ca-superphosphate,41.88252654695124,27.32884658064516,1.0,Reactor,Intermittent ,6.471518116336734,1.7786809396470349,Poultry manure,43.0,0.5761763974798051,4.0,Mature compost,Inorganic acid,None,80.9073993007751,0.6292491869918699,81.0,None,12.050242836583456,Plastic tube pieces,2.4967368849582217,16.157677982733276,104.51406800000002,6.088513143634064,0.5344640016555786,0.1805400151932549,22.461938894250807
0.0,Biochar,0.1463070125386644,27.32884658064516,1.0,Reactor,None,6.993944409056257,0.0,Poultry manure,0.0,8.72266166760619,3.0,Byproduct,Lignite,None,73.98153565627477,0.6292491869918699,73.0,None,8.725511453380292,Byproduct,2.4967368849582217,17.46203897743809,108.61153900000004,4.285773121658166,0.2883797883987427,0.2337042337819185,17.371429729085992
0.0,Mg(OH)₂,0.0,27.32884658064516,1.0,Windrow,None,4.949056648013707,0.0,Poultry manure,0.0,2.2770359549958394,17.0,Byproduct,LB Culture,None,47.45128057611564,0.6292491869918699,85.0,None,8.80352321757659,Woody peat,2.4967368849582217,12.356492278843522,108.74217800000004,2.043855707667073,0.2293471246957779,0.1148596120833916,26.54146925515459
