Material_2,Initial pH,Additive_1,Initial GI (%),Material_Main,Additive_2,V5_Ventilation rate (L/min/kg iniDW),V4_Ventilation Day,Application Rate (%DW),Turning times,Additive_4, Composting Method,Compost volume (m3),V1_Ventilation Type,Period (d),Additive_3,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),V3_Ventilation Duration (min),M1_is Enclosed,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Byproduct,7.638102050035662,Lignite,27.328846580645163,Swine manure,Zeolite,6.395179689710025,3.0,5.974353199225138,28.0,None,Windrow,0.6277154746460176,Intermittent ,117.0,None,71.6052308735448,21.11020704134277,1408.0,44.20213415749748,1.0,Poultry manure,2.0952942734506244,44.23209592508256,100.43010099999996,8.056957210001622,0.2823072075843811,0.1694518756022645,23.87691450150588
Green Waste,5.161186593849812,LB Culture,27.32884658064516,Swine manure,None,6.838668980392534,24.0,1.87339320721374,4.0,None,Reactor,0.6277154746460176,Intermittent ,24.0,None,52.616135723914816,24.71418219193691,380.0,0.5071236058468553,1.0,Green waste,2.0952942734506244,51.783484419780805,100.787359,6.18679273233784,1.2096763849258425,0.182013758233399,24.775545559182216
Husk,7.393815212876813,Potassium phosphate,27.32884658064516,Swine manure,Gypsum,5.862242441900817,3.0,1.3738774442716206,30.0,None,Trough,0.6277154746460176,Intermittent ,15.0,None,54.18479316221452,15.58647104548779,116.0,24.16157319680154,0.0,Mature compost,2.0952942734506244,32.65824352491453,101.63817299999994,7.178714562541336,0.5288140773773193,0.2065456989775409,30.250736554872205
Husk,5.778600179957465,Gypsum,27.32884658064516,Swine manure,MgO,8.461960122141019,29.0,6.356855301221741,12.0,None,Trough,0.6277154746460176,Intermittent ,55.0,None,47.32840399223185,31.26401641124073,60.0,38.583196621313725,0.0,Straw,2.0952942734506244,65.50731455153904,99.65755199999994,8.035266450635783,0.5586607456207275,0.2027160691203298,22.90879353529333
Byproduct,5.7983171221503325,Forsterite,27.32884658064516,Swine manure,Calcium magnesium phosphate fertilizer,9.524266944958514,3.0,1.538397718695251,15.0,None,Reactor,0.6277154746460176,Intermittent ,30.0,None,44.50087324804363,44.95469589997331,184.0,57.01973599389349,1.0,Straw,2.0952942734506244,94.19331688392832,103.32079299999997,8.629608180832664,0.3023347556591034,0.1850558379362838,25.066421572336058
None,5.464267241676888,Lignite,27.32884658064516,Swine manure,Biochar,3.2171512789610457,0.0,1.0973548664764132,28.0,None,Trough,0.6277154746460176,Intermittent ,28.0,None,49.45686166932727,31.64995894332541,572.0,51.59381013964343,1.0,Green waste,2.0952942734506244,66.3159777288971,104.03081299999997,5.842648756513089,0.5136238932609558,0.1884271620773398,25.205105698020414
Husk,6.183138356412391,Sulfur,27.32884658064516,Swine manure,MgSO₄,4.487973863906024,5.0,6.927915296778435,27.0,None,Reactor,0.6277154746460176,Intermittent ,19.0,None,54.28587977097489,12.58693094445218,1350.0,16.91912154713969,1.0,None,2.0952942734506244,26.37332432822911,102.80911199999998,6.647657300077666,0.5182414054870605,0.1765681857148104,1000000.0
None,4.742722935250455,Inorganic acid,27.32884658064516,Swine manure,Inorganic acid,3.456394507439089,16.0,4.6049198418067,19.0,None,Reactor,0.6277154746460176,Intermittent ,27.0,None,84.02914743479988,29.05899800712129,818.0,54.48829406062158,1.0,Byproduct,2.0952942734506244,60.887152116534345,101.28034799999996,6.060175327505335,0.5601482391357422,0.1776330672283125,24.0140490661752
Husk,5.397064182561251,K₂SO₄,27.32884658064516,Swine manure,None,4.831351993716638,2.0,6.359508868834356,27.0,None,Trough,0.6277154746460176,Intermittent ,87.0,None,78.05629910651126,23.27340470626581,1314.0,4.246306485265179,1.0,Straw,2.0952942734506244,48.764631604737566,102.709761,6.510820726342766,0.5455551147460938,0.1719436991100457,21.00763768269968
None,5.266363566854043,MgHPO₄,27.32884658064516,Swine manure,Microbiological agent,4.059981648430703,3.0,1.206957736815686,22.0,None,Reactor,0.6277154746460176,Intermittent ,26.0,None,68.74585524107701,9.713053008463808,1253.0,0.247880881912299,1.0,Mature compost,2.0952942734506244,20.351704346356577,102.53889599999998,5.274497112412261,1.2277615070343018,0.1841029165304262,29.652946052839024
Byproduct,5.236512978572661,Carbonatite,27.32884658064516,Swine manure,Potassium phosphate,1.9457517462746976,29.0,6.543954681340081,6.0,None,Trough,0.6277154746460176,Intermittent ,49.0,None,65.4859125049918,28.68996350238824,252.0,19.9291603545498,0.0,Straw,2.0952942734506244,60.1139162320615,99.74767799999998,4.7779862880117845,0.3301888704299927,0.1796599648366943,21.783441033364944
Green Waste,4.490375454745482,Biochar,27.32884658064516,Swine manure,Mg(OH)₂,7.290006735501972,0.0,9.194237977768273,16.0,None,Reactor,0.6277154746460176,Intermittent ,81.0,None,68.81908929269535,15.008641612070562,1267.0,36.75791557470062,1.0,Poultry manure,2.0952942734506244,31.4475208220442,101.85378,6.441047031723098,0.5584745407104492,0.1926041962224531,22.03644613550788
Sawdust,5.1650017435762745,MgCl₂,27.32884658064516,Swine manure,Ca-superphosphate,8.131502035548886,4.0,5.972762008174206,11.0,None,Windrow,0.6277154746460176,Intermittent ,77.0,None,81.24301395987837,43.69382895985276,213.0,3.8551367727718056,1.0,Byproduct,2.0952942734506244,91.55142960471052,102.96094,6.4402882466232425,0.5548521280288696,0.1542244269390165,23.009906799075925
Husk,6.324250350184119,Phosphogypsum,27.32884658064516,Swine manure,Calcium magnesium phosphate fertilizer,6.195683434365141,17.0,1.6538881115886206,7.0,None,Reactor,0.6277154746460176,Intermittent ,17.0,None,57.58436284436591,36.85299349941293,1070.0,53.80567557217092,1.0,Mature compost,2.0952942734506244,77.217866238833,102.06602299999994,7.730341522617742,0.5687671899795532,0.1725881541458296,24.40727552568177
Woody peat,6.790264566599301,Lime,27.32884658064516,Swine manure,MgO,5.578310052676133,1.0,5.1438624867128695,27.0,None,Reactor,0.6277154746460176,Intermittent ,21.0,None,61.56173605442909,6.985447590430466,1336.0,44.45555325460855,1.0,Straw,2.7658689591143126,14.63656833371842,103.28310499999998,1000000.0,1000000.0,1000000.0,1000000.0
Woody peat,5.385430935150972,MgCl₂,27.32884658064516,Swine manure,DCD,2.008192421721394,38.0,9.973467410579028,2.0,None,Windrow,0.6277154746460176,Intermittent ,65.0,None,59.00690669147781,4.927357930578202,1162.0,48.75435257987412,1.0,Mature compost,2.0952942734506244,10.324264855182026,101.62224999999997,7.085139074533045,0.5828825831413269,0.1382438200029922,23.612319088980698
