Period (d),Initial GI (%),Initial pH, Composting Method,Compost volume (m3),Application Rate (%DW),Additive_2,V2_Ventilation Interval (min),Material_3,Initial Moisture Content (%),M1_is Enclosed,V5_Ventilation rate (L/min/kg iniDW),Turning times,Material_Main,Initial C/N (%),Additive_4,V1_Ventilation Type,V3_Ventilation Duration (min),V4_Ventilation Day,Additive_3,Material_2,Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
68.0,27.32884658064516,5.466702536126091,Windrow,4.210797122302158,6.702649076744043,Inorganic acid,0.0,Straw,76.15956496774672,0.0,2.2423476474371737,7.0,Sewage sludge,12.649526963356715,None,Continuous,2.058661419932497,54.0,None,Soil,Biochar,2.1457865217391303,27.14318446434655,96.530597,5.508566052385064,0.1688232421875,0.1531326315393838,24.004322792867814
133.0,27.32884658064516,11.288089755853516,Reactor,4.210797122302158,1.7661057875107022,Biochar,1139.0,Mature compost,83.18328202044395,1.0,0.3357857633899097,22.0,Sewage sludge,12.86173680558355,None,Intermittent ,4.821797174931688,75.0,None,Byproduct,Potassium phosphate,2.1457865217391303,27.59854148357728,96.874015,9.132973550527144,0.8629145622253418,0.164808549426841,25.52592178089444
28.0,27.32884658064516,10.842703046786632,Windrow,4.210797122302158,1.1409034355796086,DCD,0.0,Mature compost,71.91755842282222,0.0,0.0,10.0,Sewage sludge,7.021313338677325,None,None,0.0,0.0,None,Green Waste,Ca-superphosphate,2.1457865217391303,15.06623952704098,96.674649,0.2310370091903131,1.008090257644653,0.2154059332924932,27.44684715250525
79.0,27.32884658064516,10.501180072036036,Reactor,4.210797122302158,3.373541826753113,Mg(OH)₂,0.0,Byproduct,52.30035731940972,1.0,7.244173118440573,29.0,Sewage sludge,14.27354703260118,None,Continuous,0.3940239551883029,71.0,None,Green Waste,LB Culture,2.1457865217391303,30.9816600063916,98.66216200000002,0.8863203214156034,0.9413947463035583,0.2025610655820272,1000000.0
41.0,27.32884658064516,7.602658089968343,Reactor,4.210797122302158,0.7051700733354426,Organic acid,0.0,Mature compost,58.94359501635373,1.0,0.1575607568952829,10.0,Sewage sludge,17.726625803659893,None,None,0.0935473215272837,0.0,None,Woody peat,Labile carbon source,2.1457865217391303,38.03755472540648,96.51704399999998,1.2825751475096323,0.3222850859165191,0.2087679704806442,33.465513259202815
35.0,27.32884658064516,11.854317487562342,Trough,4.210797122302158,0.0071105519466285,MgO,0.0,Byproduct,75.96697295625681,0.0,0.0,15.0,Sewage sludge,13.209370146062714,None,None,0.0,0.0,None,Byproduct,Mature compost,2.1457865217391303,28.34448842008462,96.640953,3.6985877659087696,1.0095195770263672,0.2422172756988516,27.032846923094127
122.0,27.32884658064516,9.808525976853891,Reactor,4.210797122302158,0.9931927154952892,Inorganic acid,0.0,Byproduct,62.477444927055416,1.0,0.0,19.0,Sewage sludge,10.062227692340322,None,None,0.0,0.0,None,Sawdust,Carbonatite,2.1457865217391303,21.591392560894096,96.674649,1.9410377334162612,0.2391028702259063,0.1922882661777306,28.109517641979718
97.0,27.32884658064517,6.789587135084672,Trough,4.210797122302158,5.058818157486752,Zeolite,0.0,Poultry manure,69.25970355273802,0.0,3.4025568831061426,22.0,Sewage sludge,39.00455545969797,None,Continuous,3.670621555225766,81.0,None,None,Sulfur,2.1457865217391303,83.69544939184632,96.54729800000004,4.997186689854982,0.5170568227767944,0.1942557583443617,1000000.0
112.0,27.32884658064516,7.316894593836759,Windrow,4.210797122302158,4.633748006242152,Zeolite,0.0,None,76.05728180935898,1.0,2.589584211513217,9.0,Sewage sludge,6.798687481631967,None,Continuous,2.5267873520592388,84.0,None,Green waste,Phosphogypsum,2.1457865217391303,14.588531963602426,98.08917900000002,7.527209057558189,0.5421826243400574,0.2056314549812538,24.531129293682863
131.0,27.32884658064516,6.250678756937201,Windrow,4.210797122302158,0.7822655339034478,DCD,0.0,Poultry manure,53.35453881473844,0.0,5.150209793054852,29.0,Sewage sludge,29.781211929801657,None,Continuous,42.61159205580521,61.0,None,Straw,Forsterite,2.1457865217391303,63.90412316002499,95.54601999999998,6.777352556438413,0.4451868832111358,0.1861629478684507,27.429814155921232
54.0,27.32884658064516,10.864625744765885,Reactor,4.210797122302158,0.6773847367467951,None,0.0,Mature compost,68.2143075866153,1.0,0.0,17.0,Sewage sludge,11.726535785104492,None,None,0.0,0.0,None,Green waste,Labile carbon source,2.1457865217391303,25.16264243436881,96.674649,2.447654625671724,1.008090257644653,0.2312081397477854,29.59749179764575
67.0,27.32884658064516,5.1977856849705,Windrow,4.210797122302158,0.4501451731062928,Biochar,0.0,Byproduct,67.90052458744958,0.0,0.0,1.0,Sewage sludge,9.452476214461567,None,None,0.0,0.0,None,Byproduct,Organic acid,2.1457865217391303,20.28299605805135,95.468578,6.72183160000168,0.695666491985321,0.2296791379776797,22.34561025435444
21.0,27.32884658064516,11.85364906341053,Reactor,4.210797122302158,1.3784427016886909,MgSO₄,0.0,Mature compost,56.16918219371303,1.0,0.0,6.0,Sewage sludge,11.099227083284037,None,None,0.0,0.0,None,None,Lime,2.1457865217391303,23.8165718770328,96.674649,2.717160338397566,1.008090257644653,0.2067153914456759,30.62054057811022
71.0,27.32884658064516,10.003129666401009,Reactor,4.210797122302158,0.6079602358779967,None,0.0,Mature compost,82.61779949762209,1.0,0.0,9.0,Sewage sludge,25.54078108813038,None,None,0.0,0.0,None,Green Waste,None,2.1457865217391303,54.80506381359985,96.566739,3.4049687909147104,1.0148104429244995,0.256044721457309,23.74888250296984
66.0,27.32884658064516,6.289127574329131,Reactor,4.210797122302158,1.3138385550834408,Gypsum,0.0,Byproduct,66.54220420430254,1.0,0.0,10.0,Sewage sludge,8.775774014688743,None,None,0.0,0.0,None,Byproduct,Organic acid,2.1457865217391303,18.8309375985476,96.674649,6.371350211170366,0.6977300047874451,0.2505900542818467,26.596386503765537
65.0,27.32884658064516,5.635435527119194,Windrow,4.210797122302158,0.3652791716025416,Potassium phosphate,0.0,Byproduct,75.35185885968735,1.0,0.0,30.0,Sewage sludge,23.015395978142745,None,None,0.0,0.0,None,Plastic tube pieces,Gypsum,2.1457865217391303,49.38612648238769,96.076078,1.9098386337781403,0.1088441833853721,0.2141441131504879,22.99391835998996
111.0,27.32884658064516,8.70446637457927,Trough,4.210797122302158,6.110770619406342,None,0.0,Mature compost,74.31729999271965,0.0,8.997056143235852,25.0,Sewage sludge,14.482363015907756,None,Continuous,22.981393970708165,71.0,None,Green waste,Ca-superphosphate,2.1457865217391303,31.805046463558934,96.077855,7.6358314065129615,0.870778501033783,0.2077732901781646,1000000.0
88.0,27.32884658064516,6.302541462562054,Windrow,4.210797122302158,3.71083085396412,Zeolite,0.0,Green waste,78.02122851598492,1.0,6.377823679694311,24.0,Sewage sludge,17.681202646580584,None,Continuous,5.050279989607763,82.0,None,Straw,Urea,2.1457865217391303,37.94008632717085,98.85707400000004,5.9767769925081184,0.4784024357795715,0.1925184427560483,27.845047217643536
118.0,27.32884658064516,7.883697309874945,Reactor,4.210797122302158,3.397642171380414,Microbiological agent,0.0,None,67.02387112937406,1.0,7.379673771541821,13.0,Sewage sludge,30.07928158499274,None,Continuous,0.730914019287463,66.0,None,None,MgCl₂,2.1457865217391303,62.50554112102955,97.53655000000002,6.222320008097609,0.5988742709159851,0.2392545881566631,1000000.0
50.0,27.32884658064516,8.386474113957622,Reactor,4.210797122302158,1.0467877056883468,Mg(OH)₂,0.0,Mature compost,45.0075762003188,1.0,0.0,16.0,Sewage sludge,16.701149792999963,None,None,0.0,0.0,None,Byproduct,Calcium magnesium phosphate fertilizer,2.1457865217391303,35.83710212336559,96.566739,2.0078597018721744,1.0148104429244995,0.2181400782495583,28.840017042857177
64.0,27.32884658064516,11.74215619155584,Reactor,4.210797122302158,8.397757197454629,Potassium phosphate,0.0,Straw,59.36704098072019,1.0,5.268954302980985,6.0,Sewage sludge,22.444215960961664,None,Continuous,5.173434644885207,62.0,None,Soil,MgCl₂,2.1457865217391303,48.16049610003381,96.99023800000003,6.003319420479227,1.01921808719635,0.2051279379706026,30.46188588106589
108.0,27.32884658064516,6.748455249169221,Windrow,4.210797122302158,0.5346686940648564,Zeolite,0.0,Green waste,48.91001164519288,0.0,5.51032111166324,0.0,Sewage sludge,6.98339924451934,None,Continuous,3.3996564629902597,59.0,None,Soil,LB Culture,2.1457865217391303,15.636899707880517,97.90539800000003,5.617844417746381,0.4915918111801147,0.1237689180940255,1000000.0
117.0,27.32884658064516,6.060319794839591,Windrow,4.210797122302158,6.621101245601093,Organic acid,0.0,None,46.08203626706023,1.0,3.3679990783479443,4.0,Sewage sludge,8.8498562470241,None,Continuous,1.5958865094225416,68.0,None,Plastic tube pieces,Potassium phosphate,2.1457865217391303,19.020903272270864,97.75032100000004,5.367464659641197,0.035815455019474,0.1566129070000134,1000000.0
109.0,27.32884658064516,8.584983752487439,Trough,4.210797122302158,1.2871368954481743,None,0.0,Green waste,52.24533438692335,1.0,0.0,31.0,Sewage sludge,9.301494824516672,None,None,0.0,0.0,None,Plastic tube pieces,Biochar,2.1457865217391303,19.95902222647415,96.217684,2.212980426603966,0.5011674165725708,0.1955913500026275,25.32119861669454
124.0,27.32884658064516,11.838755999615742,Reactor,4.210797122302158,2.669897283016697,Mg(OH)₂,0.0,Green waste,69.59242219815228,1.0,0.1398624091440814,23.0,Sewage sludge,27.62471942814572,None,Continuous,54.23504186582933,83.0,None,None,Ca-superphosphate,2.1457865217391303,59.27675061574018,95.587326,6.49913203246049,0.8281615376472473,0.1804843821558359,24.844498153169457
