V4_Ventilation Day,V1_Ventilation Type,M1_is Enclosed,Material_Main,Additive_4, Composting Method,V3_Ventilation Duration (min),Additive_2,Period (d),V2_Ventilation Interval (min),Material_2,V5_Ventilation rate (L/min/kg iniDW),Initial pH,Turning times,Initial Moisture Content (%),Additive_1,Compost volume (m3),Additive_3,Application Rate (%DW),Initial GI (%),Initial C/N (%),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
77.0,Intermittent ,1.0,Sheep manure,None,Trough,18.96548308448922,Inorganic acid,126.0,830.0,Husk,2.5828468911816893,6.379396540364884,5.0,44.26690231996199,Clay,0.045,None,1.8679121279679207,27.32884658064516,44.39971657199715,Mature compost,1.97,87.46744164683439,104.381732,6.169147813515826,1.009943962097168,0.119162591928859,22.560894866857065
7.0,Continuous,0.0,Sheep manure,None,Windrow,14.926526877781663,Calcium magnesium phosphate fertilizer,37.0,0.0,Woody peat,6.093030443365707,10.749528174322306,28.0,44.07239357829518,Sulfur,0.045,None,2.2623063422142566,27.32884658064516,31.116882373034755,Straw,1.97,61.30025827487847,105.08865899999996,3.925827179404173,0.1572991609573364,0.1949707342859046,28.998409259218622
52.0,Intermittent ,0.0,Sheep manure,None,Windrow,47.86477457199542,Biochar,62.0,1054.0,Byproduct,9.485814992234468,10.935854740187104,31.0,45.37957385413172,MgO,0.045,None,4.685445820533846,27.32884658064516,36.49595706083243,None,1.97,71.89703540983989,104.34846199999998,7.074779352295493,0.4872042536735534,0.1433401849799014,26.07161305651117
7.0,Continuous,1.0,Sheep manure,None,Trough,21.059635704299613,Ca-superphosphate,132.0,0.0,Straw,3.801966456847393,9.408938366376884,5.0,45.35875562221258,Zeolite,0.045,None,9.94144633105496,27.32884658064516,41.88533463957471,Mature compost,1.97,82.51410923996217,104.62616599999996,3.327039461582173,0.1985309571027755,0.2036913657414369,24.674997095914343
7.0,Continuous,1.0,Sheep manure,None,Reactor,59.47948627057864,Biochar,49.0,0.0,Soil,0.1865454251529941,4.659429716892073,10.0,44.66317815411374,Mature compost,0.045,None,3.873361534882256,27.32884658064516,34.02028572925307,None,1.97,67.01996288662855,104.75196799999996,3.327039461582173,0.1103279069066047,0.2077928815194381,28.72464717258485
79.0,Continuous,1.0,Sheep manure,None,Reactor,40.39719375295744,MgO,126.0,0.0,Byproduct,8.101948724364359,4.463971042979141,30.0,44.90314472173075,Organic acid,0.045,None,7.155692790416623,27.32884658064516,42.775051776721405,Mature compost,1.97,84.26685200014117,103.40399899999996,3.3586457803725778,0.0795854702591896,0.1826840578681355,26.21600850886428
58.0,Intermittent ,1.0,Sheep manure,None,Trough,5.011715873307974,Biochar,82.0,270.0,Husk,6.891053230109049,4.825523916053096,8.0,46.68530354532172,K₂SO₄,0.045,None,1.393878406270166,27.32884658064516,38.50088123405335,Poultry manure,1.97,75.84673603108509,105.145171,6.11336586555742,0.9316070079803468,0.1808491841494653,26.43671510809686
56.0,Continuous,1.0,Sheep manure,None,Trough,14.375754428257236,Gypsum,105.0,0.0,None,8.628668806057822,9.39063609395373,20.0,44.86452190996173,Microbiological agent,0.045,None,0.7907222304100064,27.32884658064516,32.75402872612631,Byproduct,1.97,64.52543659046883,104.69520299999996,2.9917290470590907,0.9243059158325196,0.2100026530014234,27.280458499722386
9.0,Intermittent ,1.0,Sheep manure,None,Trough,42.007926787996354,Ca-superphosphate,89.0,418.0,Green Waste,3.2299334316102826,11.358383726244291,20.0,47.18624916693621,Labile carbon source,0.045,None,3.8264950964858975,27.32884658064516,34.424711440444675,Byproduct,1.97,67.816681537676,104.736568,6.672072137831805,0.3536990284919739,0.1653900450784476,24.52141556959226
71.0,Continuous,1.0,Sheep manure,None,Windrow,15.88163651173839,MgO,89.0,0.0,Woody peat,7.704788287046407,9.898920637964556,19.0,48.8814440512219,Sulfur,0.045,None,4.046619594599525,27.32884658064516,33.73604842374056,Poultry manure,1.97,68.44894957070093,102.47897599999996,2.958903169429075,0.1878833174705505,0.1822542266887593,1000000.0
0.0,None,1.0,Sheep manure,None,Reactor,0.0,DCD,26.0,0.0,Plastic tube pieces,0.0,11.202001833133371,29.0,45.47743342786779,LB Culture,0.045,None,1.6053487411148966,27.32884658064516,41.752795758088624,Byproduct,1.97,82.25300764343459,105.16032,6.041178071060997,0.1708553582429886,0.2218518824052376,28.709257505836955
0.0,None,1.0,Sheep manure,None,Reactor,0.0,Potassium phosphate,108.0,0.0,Green Waste,0.0,5.195424349641352,22.0,45.82909131758295,Lignite,0.045,None,0.3761433700981111,27.32884658064516,34.52160428127209,Straw,1.97,68.00756043410601,104.38311299999994,6.093612478879862,0.1997889280319214,0.2322613918318052,22.711600218438846
51.0,Intermittent ,1.0,Sheep manure,None,Reactor,54.97003379512641,Ca-superphosphate,102.0,471.0,Byproduct,9.190831900034356,7.712846682039046,0.0,48.60125200365904,LB Culture,0.045,None,8.552730936385133,27.328846580645163,28.625510808369043,Green waste,-0.0724444747503259,52.67435445141434,106.17377100000002,1000000.0,1000000.0,1000000.0,1000000.0
