M1_is Enclosed,Initial GI (%),Turning times,V1_Ventilation Type,V4_Ventilation Day,Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW), Composting Method,V3_Ventilation Duration (min),Initial C/N (%),Material_2,Additive_2,Additive_3,Application Rate (%DW),V2_Ventilation Interval (min),Compost volume (m3),Material_3,Material_Main,Period (d),Additive_4,Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,27.32884658064516,4.0,Continuous,24.0,73.50797786904876,Microbiological agent,0.4547630919845691,Trough,41.28604725738382,9.116501057093526,Husk,MgSO₄,None,4.170688281063026,0.0,0.15181,None,OFMSW,119.0,None,10.376084079228963,1.411,12.863382991558966,93.621775,13.10674194319493,0.3897241652011871,0.194982120144745,19.60581177360094
1.0,27.32884658064516,23.0,Continuous,21.0,54.20673125763057,Lignite,4.924469854147088,Windrow,52.87558827225687,7.836293179540294,Woody peat,Zeolite,None,3.7268640468985295,0.0,0.15181,Mature compost,OFMSW,65.0,None,10.501905135844616,1.411,11.057009676331356,93.653095,13.180264157959918,0.2777626812458038,0.153867147383664,25.812109436841794
1.0,27.32884658064516,27.0,Continuous,40.0,67.51050319427935,Mg(OH)₂,1.3218022075724778,Reactor,21.61557708632364,12.717463091357384,Green waste,Inorganic acid,None,4.668824572322067,0.0,0.15181,None,OFMSW,85.0,None,6.271519402345221,1.411,17.944340421905267,93.667775,14.25782472760596,0.2794857323169708,0.1968720581603654,26.34389467155245
0.0,27.328846580645163,27.0,Continuous,18.0,44.08973176933834,Zeolite,0.5084758825724145,Trough,18.552832819181063,26.316587706149967,Green waste,Potassium phosphate,None,9.09691397094263,0.0,0.15181,None,OFMSW,80.0,None,9.592948836546078,1.411,38.16976461409006,93.667775,14.25782472760596,0.1633785516023636,0.1709051163619491,1000000.0
1.0,27.32884658064516,27.0,Continuous,6.0,51.01831794936093,Organic acid,5.347882897848586,Windrow,27.871141030636164,28.73196534506314,None,None,None,6.503342664124229,0.0,0.15181,Mature compost,OFMSW,70.0,None,4.545675671707146,1.411,40.540803101884094,93.653095,13.25053709878398,0.164712592959404,0.1953074947948113,21.30441530864444
1.0,27.32884658064516,15.0,Continuous,35.0,50.22814745818367,Clay,0.3745407492979868,Reactor,8.806622967091908,6.457053761255376,Sawdust,Calcium magnesium phosphate fertilizer,None,7.659879949674408,0.0,0.15181,Mature compost,OFMSW,64.0,None,5.543356683550648,1.411,9.110902857131336,93.035699,12.63285520591971,0.6030732989311218,0.1827445361268489,24.345954989780857
0.0,27.32884658064516,11.0,Continuous,63.0,70.54333190856369,Organic acid,0.9031541622694594,Trough,57.92649192885597,42.33258084743289,Green Waste,Gypsum,None,0.5131450043164187,0.0,0.15181,Green waste,OFMSW,100.0,None,7.624465809480261,1.411,59.7312715757278,93.46077,15.063372513773484,0.3234865963459015,0.1900267719390286,25.544617972893043
0.0,27.32884658064516,23.0,Continuous,9.0,74.6262390327937,Clay,5.390455151914178,Trough,43.28107422380777,32.52994496956273,Husk,Gypsum,None,0.9450252523588,0.0,0.15181,None,OFMSW,22.0,None,11.480399640317811,1.411,45.89975235205301,93.667775,8.5850261060518,0.1618086546659469,0.1965229183882522,27.115420641052754
0.0,27.32884658064516,5.0,Continuous,55.0,51.97433405532912,Potassium phosphate,0.9948243526379408,Windrow,27.10331697070661,27.23053448268625,Green Waste,Zeolite,None,8.73863939740048,0.0,0.15181,Mature compost,OFMSW,59.0,None,8.012074959586208,1.411,38.4222841550703,93.60709500000002,10.646518928169307,0.3002136349678039,0.1697566813729876,23.450644051192302
0.0,27.32884658064516,10.0,Continuous,27.0,55.67724824912571,Sulfur,2.6564440135309724,Trough,53.741480936732735,40.15109040980933,None,Gypsum,None,9.660255234185868,0.0,0.15181,None,OFMSW,47.0,None,8.417675866015866,1.411,56.65318856824096,93.621775,9.56209812658636,0.3321461975574493,0.1818038799270567,23.72516013343521
