M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),NH3-N loss (%)
1.0,1,0,1,8,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,37,0.26,2,11.37,14.88
1.0,1,0,3,9,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,30,0.25,13,18.43,32.5
1.0,1,0,1,9,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,13,0.25,10,18.43,14.5
1.0,1,0,4,9,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,37,0.25,13,18.43,20.3
1.0,1,0,1,9,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,13,0.25,13,18.43,12.4
1.0,18,0,3,7,50.0,34.9,0,2.05,50.0,9.0,0.0,0.1,60.0,30,1.37,13,31.01,36.3
1.0,18,0,4,7,50.0,29.8,0,2.02,49.0,9.0,2.0,0.1,60.0,8,1.42,13,30.06,33.2
1.0,18,0,4,7,50.0,31.3,0,2.02,49.0,9.0,4.0,0.1,60.0,8,1.4,13,30.33,26.6
1.0,18,0,4,7,50.0,30.6,0,2.0,48.0,9.0,6.0,0.1,60.0,8,1.35,13,30.55,20.4
1.0,18,0,4,7,50.0,35.7,0,2.02,49.0,9.0,8.0,0.1,60.0,8,1.34,13,31.04,14.9
1.0,18,0,4,7,50.0,34.2,0,1.02,25.0,9.0,10.0,0.1,60.0,8,1.29,13,30.79,10.7
1.0,18,0,3,9,50.0,50.0,0,0.0,0.0,9.0,0.0,0.1,55.0,30,0.3,13,25.0,2.49
1.0,18,0,4,9,50.0,50.0,0,0.0,0.0,9.0,10.0,0.1,60.23,4,0.3,13,25.94,1.57
1.0,18,0,4,9,50.0,50.0,0,0.0,0.0,9.0,20.0,0.1,59.72,4,0.3,15,17.95,0.86
1.0,18,0,2,9,50.0,50.0,0,0.0,0.0,9.0,20.5,0.1,59.72,4,0.3,15,17.95,0.83
1.0,18,0,2,9,50.0,50.0,0,0.0,0.0,9.0,21.0,0.1,59.72,4,0.3,15,17.95,0.68
1.0,18,0,2,9,50.0,50.0,0,0.0,0.0,9.0,22.0,0.1,59.97,4,0.3,15,18.43,0.58
1.0,13,0,3,8,34.0,34.0,0,0.0,0.0,7.0,0.0,0.01,67.6,30,0.03,13,33.5,8.7
1.0,13,0,1,8,34.0,34.0,0,0.0,0.0,7.0,7.73,0.01,67.3,23,0.03,8,33.52,7.87
1.0,13,0,1,8,34.0,34.0,0,0.0,0.0,7.0,7.13,0.01,66.8,16,0.03,6,33.11,6.6
1.0,13,0,1,8,34.0,34.0,0,0.0,0.0,7.0,6.05,0.01,66.0,23,0.03,6,31.53,3.5
1.0,15,0,3,7,91.0,64.2,0,0.0,0.0,13.0,0.0,0.25,60.0,30,0.91,13,20.0,12.93
1.0,15,0,4,7,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,4,0.93,13,20.0,9.07
1.0,15,0,1,7,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,11,0.93,13,20.0,4.31
1.0,15,0,2,7,91.0,71.8,0,0.0,0.0,13.0,25.0,0.25,60.0,4,0.89,3,20.0,2.61
1.0,15,0,3,7,91.0,76.8,0,0.0,0.0,13.0,0.0,0.25,60.0,30,1.05,13,25.0,10.74
0.75,15,0,4,7,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,4,0.49,13,20.51,7.73
0.75,15,0,1,7,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,11,0.49,13,20.51,3.65
0.75,15,0,2,7,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,4,0.49,3,20.51,2.33
1.0,15,0,3,7,91.0,80.8,0,0.0,0.0,13.0,0.0,0.25,60.0,30,0.99,13,30.0,7.82
1.0,15,0,4,7,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,4,0.81,13,30.0,4.11
1.0,15,0,1,7,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,11,0.81,13,30.0,3.05
0.75,15,0,2,7,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,4,0.49,3,20.51,2.05
0.75,8,0,3,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,23.37
0.75,8,0,1,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,32,0.49,13,20.51,14.49
0.75,8,0,4,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,41,0.49,13,20.51,16.26
0.75,8,0,2,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,32,0.49,15,20.51,19.37
0.75,12,0,3,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,9.98
0.75,12,0,1,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,32,0.49,13,20.51,13.02
0.75,12,0,4,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,41,0.49,13,20.51,11.79
0.75,12,0,2,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,32,0.49,15,20.51,10.95
0.75,13,0,3,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,6.04
0.75,13,0,1,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,32,0.49,13,20.51,14.49
0.75,13,0,4,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,41,0.49,13,20.51,10.19
0.75,13,0,2,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,32,0.49,15,20.51,16.33
1.0,8,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,69.0,30,0.28,13,11.0,12.68
1.0,9,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,63.0,30,0.28,13,11.0,12.09
1.0,9,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,66.0,30,0.28,13,11.0,12.98
1.0,13,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,30,0.28,13,14.7,10.27
1.0,13,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,67.0,30,0.28,13,12.9,10.56
1.0,8,0,4,1,28.0,28.0,0,0.0,0.0,0.0,25.0,0.01,65.0,4,0.28,13,16.7,9.09
