M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TN loss (%)
1.0,16,0,4,4,35.0,35.0,0,0.0,0.0,9.0,2.25,0.02,64.71,18,0.5,13,29.01,44.28
1.0,16,0,1,4,35.0,35.0,0,0.0,0.0,9.0,2.57,0.02,64.07,18,0.5,9,30.34,19.09
1.0,16,0,1,4,35.0,35.0,0,0.0,0.0,9.0,3.32,0.02,60.53,18,0.5,9,26.95,27.33
1.0,16,0,1,4,35.0,35.0,0,0.0,0.0,9.0,4.07,0.02,65.74,18,0.5,9,29.05,47.97
1.0,26,0,3,11,40.0,30.0,1,30.0,690.0,6.0,0.0,0.24,64.55,28,7.69,13,16.54,53.1
1.0,26,0,1,11,40.0,30.0,1,30.0,690.0,6.0,6.0,0.14,63.56,38,7.32,13,16.4,36.2
1.0,26,0,1,11,40.0,30.0,1,30.0,690.0,6.0,15.0,0.12,62.07,35,6.82,13,15.97,46.5
1.0,26,0,1,11,40.0,30.0,1,30.0,690.0,6.0,1.46,0.31,65.17,44,7.79,13,16.35,41.5
0.0,15,1,3,2,28.0,0.0,2,0.0,0.0,4.0,0.0,1.0,65.0,28,0.0,13,26.71,19.53
0.0,15,1,4,2,28.0,0.0,2,0.0,0.0,4.0,6.0,1.0,66.65,3,0.0,13,16.44,22.53
0.0,15,1,4,2,28.0,0.0,2,0.0,0.0,4.0,18.0,1.0,61.75,3,0.0,13,25.71,20.85
0.0,15,1,4,2,28.0,0.0,2,0.0,0.0,4.0,30.0,1.0,60.51,3,0.0,13,24.71,19.4
0.0,15,1,4,2,28.0,0.0,2,0.0,0.0,4.0,42.0,1.0,61.5,3,0.0,13,25.36,16.26
0.75,15,1,4,2,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,13,20.51,14.85
1.0,16,0,3,11,28.0,28.0,0,0.0,0.0,4.0,0.0,1.8,63.24,28,0.2,13,14.39,19.5
1.0,16,0,0,11,28.0,28.0,0,0.0,0.0,4.0,0.69,1.8,64.05,40,0.21,13,13.54,18.5
