Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),N2O-N loss (%)
7,6,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,18.98,0.68
7,6,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,18.98,0.86
5,6,2,15,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,0.0,0.13,61.46,0.0,30.88,2.05
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,30.04,2.01
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,30.35,1.53
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,30.57,1.42
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,8.0,0.13,60.07,0.0,30.88,1.24
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,10.0,0.13,59.45,0.0,31.04,0.75
0,6,2,15,7,0,0,1,0.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,21.56,0.1
0,6,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,18.21,0.11
0,6,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,18.21,0.06
0,6,2,15,7,0,0,1,1.0,64.0,0,64.0,0.0,0.0,12.0,0.0,1.0,74.0,1.16,19.65,0.06
5,6,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.08,19.77,0.69
5,6,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.83,20.12,0.27
5,6,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,1.64,20.02,0.17
7,3,2,15,7,0,0,1,0.0,54.1,2,0.0,0.0,0.0,1.6,0.0,0.4,77.53,0.0,6.53,0.02
