Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TC loss (%)
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,53.0
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,41.0
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,55.0
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,50.0
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,46.0
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,34.0
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,49.0
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,14.7,42.7
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,18.3,51.0
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,63.7,0.72,20.7,50.7
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,18.4,41.6
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,21.1,54.0
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,15.0,50.3
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,21.2,45.6
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,14.9,33.8
7,5,1,9,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,18.0,48.9
5,4,1,9,7,0,0,2,0.0,87.0,2,0.0,0.0,0.0,14.0,0.0,0.14,69.24,0.0,20.0,63.12
5,4,1,9,7,0,0,2,0.0,87.0,2,0.0,0.0,0.0,14.0,0.0,0.14,70.39,0.0,25.0,69.28
0,4,1,9,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.16,66.03,0.81,21.96,52.9
0,4,1,9,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.3,65.69,0.81,21.51,55.63
0,4,1,9,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.57,66.14,0.81,21.64,55.11
7,5,1,9,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,63.64
7,5,1,9,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,63.16
7,5,1,9,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,63.33
7,5,1,9,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,62.73
7,5,1,9,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,17.4,52.88
7,5,1,9,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,17.4,51.81
6,5,1,9,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,11.37,50.26
7,5,1,9,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,18.98,66.0
7,5,1,11,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,18.98,59.5
7,5,1,11,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,18.98,60.5
7,5,1,11,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,18.98,55.3
7,5,1,11,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,18.98,44.3
5,5,1,9,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,0.0,0.13,61.46,0.0,30.88,41.19
5,5,1,3,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,30.04,38.64
5,5,1,3,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,30.35,31.45
5,5,1,3,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,30.57,25.78
5,5,1,3,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,8.0,0.13,60.07,0.0,30.88,18.48
7,5,1,9,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.86,15.04,46.9
7,5,1,9,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.93,19.96,53.94
7,5,1,9,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.9,24.99,67.74
2,2,1,9,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,25.0,52.8
2,0,1,9,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,20.9,59.4
2,0,1,9,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,18.7,62.5
2,0,1,9,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,47.5,0.76,16.8,60.1
1,5,1,9,7,0,0,1,1.0,40.0,2,0.0,0.0,0.0,9.0,0.0,0.2,65.0,0.0,29.71,55.81
1,5,1,8,7,0,0,1,1.0,40.0,2,0.0,0.0,0.0,9.0,1.0,0.2,65.0,0.0,29.85,54.13
1,5,1,0,7,0,0,1,1.0,40.0,2,0.0,0.0,0.0,9.0,5.0,0.2,65.0,0.0,33.08,52.5
1,5,1,0,6,0,0,1,1.0,40.0,2,0.0,0.0,0.0,9.0,6.0,0.2,65.0,0.0,33.44,48.48
