Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TN loss (%)
0,3,3,37,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,15.04
0,3,3,37,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,21.34
8,5,3,29,13,2,1,0,1.0,16.0,0,16.0,0.0,0.0,0.0,0.0,0.1,61.7,0.23,16.64,22.5
8,5,3,8,13,2,1,0,1.0,14.0,0,14.0,0.0,0.0,0.0,10.0,0.1,64.2,0.23,18.2,10.31
9,5,3,29,13,2,1,0,1.0,18.0,0,18.0,0.0,0.0,2.0,0.0,0.01,63.74,0.31,12.3,22.8
9,5,3,41,13,2,1,0,1.0,18.0,0,18.0,0.0,0.0,2.0,1.0,0.01,63.74,0.31,12.92,17.6
0,6,3,29,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,70.5,0.29,26.0,24.58
0,6,3,25,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,3.63,0.17,71.0,0.29,21.49,15.09
0,6,3,25,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,7.31,0.17,71.5,0.29,19.28,15.49
0,6,3,25,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,9.98,0.17,69.0,0.27,30.0,12.09
0,6,3,29,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,70.0,0.26,21.03,15.92
0,6,3,30,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,13.1,0.17,71.8,0.28,21.56,16.08
0,6,3,30,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,24.37,0.17,69.6,0.26,22.23,17.38
0,6,3,30,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,37.59,0.17,70.3,0.27,20.16,21.43
0,6,3,29,13,2,1,0,1.0,15.0,0,6.0,0.0,0.0,0.0,0.0,0.17,70.6,0.29,18.04,20.97
0,6,3,28,12,2,1,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.1,0.17,70.8,0.29,15.34,15.5
0,6,3,28,12,2,1,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.44,0.17,70.1,0.28,16.88,16.72
0,6,3,28,12,2,1,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.69,0.17,69.8,0.28,16.88,15.46
0,6,3,29,13,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,71.5,0.28,20.38,20.21
0,6,3,28,12,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,3.67,0.17,72.3,0.28,19.59,17.13
0,6,3,28,12,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,7.02,0.17,71.3,0.27,19.28,14.74
0,6,3,28,12,2,1,0,1.0,15.0,0,15.0,0.0,0.0,0.0,10.35,0.17,71.1,0.27,19.8,16.0
9,6,3,29,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,67.94,0.0,18.89,40.1
9,6,3,40,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,10.0,3.3,1.2,66.61,0.0,18.89,36.4
9,6,3,40,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,10.0,6.6,1.2,68.11,0.0,18.89,34.3
9,6,3,40,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,10.0,9.9,1.2,68.33,0.0,18.89,28.1
9,6,3,40,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,10.0,13.2,1.2,70.34,0.0,18.89,21.7
9,6,3,40,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,10.0,16.5,1.2,68.07,0.0,18.89,11.5
8,0,3,29,13,2,1,0,1.0,42.0,0,21.0,0.0,0.0,3.3,0.0,0.4,71.68,0.48,32.89,40.7
8,0,3,3,13,2,1,0,1.0,42.0,0,21.0,0.0,0.0,13.5,3.5,0.4,63.33,0.52,33.86,38.3
8,0,3,3,13,2,1,0,1.0,42.0,0,21.0,0.0,0.0,8.2,10.6,0.4,63.03,0.37,35.56,32.2
8,0,3,3,13,2,1,0,1.0,42.0,0,21.0,0.0,0.0,7.6,17.7,0.4,63.99,0.56,37.15,26.7
8,0,3,3,13,2,1,0,1.0,42.0,0,21.0,0.0,0.0,7.2,24.7,0.4,59.91,0.61,38.62,20.4
8,0,3,3,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,14.6
8,5,3,13,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,11.0,2.93,0.0,57.9,0.49,14.97,3.76
8,5,3,13,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,11.0,3.44,0.0,58.2,0.49,14.97,4.01
8,5,3,13,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,11.0,2.0,0.0,59.4,0.46,13.18,24.8
8,5,3,13,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,11.0,5.18,0.0,57.5,1.21,17.31,28.1
8,5,3,29,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,11.0,0.0,0.0,58.2,0.39,15.36,44.7
8,5,3,29,13,2,1,0,1.0,16.0,0,16.0,0.0,0.0,3.0,0.0,0.04,70.9,0.52,20.0,24.4
8,5,3,3,13,2,1,0,1.0,16.0,0,16.0,0.0,0.0,3.0,14.0,0.04,71.7,0.53,21.0,9.2
8,5,3,3,13,2,1,0,1.0,16.0,0,16.0,0.0,0.0,3.0,14.0,0.04,68.3,0.47,25.0,8.5
3,2,3,29,13,2,1,0,1.0,19.0,0,19.0,0.0,0.0,9.0,0.0,0.19,70.0,10.0,26.39,49.1
3,2,3,24,13,2,1,0,1.0,19.0,0,19.0,0.0,0.0,9.0,3.0,0.2,70.0,10.0,26.39,40.5
3,2,3,22,5,2,1,0,1.0,19.0,0,19.0,0.0,0.0,9.0,6.9,0.2,70.0,10.0,26.35,40.5
3,2,3,24,9,0,1,0,1.0,19.0,0,19.0,0.0,0.0,9.0,9.9,0.2,70.0,10.0,26.35,18.9
9,2,3,24,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,33.01
9,2,3,47,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,28.94
9,2,3,47,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,21.28
9,2,3,47,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,17.39
5,3,3,24,13,2,1,1,0.0,35.0,2,0.0,0.0,0.0,7.0,3.02,1.0,66.85,0.0,18.98,15.2
5,3,3,9,14,3,0,1,0.0,35.0,2,0.0,0.0,0.0,7.0,6.06,1.0,67.02,0.0,16.98,10.5
5,3,3,9,14,3,0,1,0.0,35.0,2,0.0,0.0,0.0,7.0,8.87,1.0,66.18,0.0,16.98,9.0
5,3,3,9,14,3,0,1,0.0,35.0,2,0.0,0.0,0.0,7.0,11.88,1.0,66.32,0.0,15.69,4.2
9,5,3,29,13,2,1,1,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,42.8
9,5,3,26,13,2,1,1,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,41.4
