Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
7,8.0,0.0,0,1,56.0,0.0,6.6,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,0.21
7,8.0,0.0,0,1,56.0,0.0,9.9,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,0.31
7,8.0,0.0,0,1,56.0,0.0,13.2,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,0.28
5,3.11111,0.0,0,1,28.0,0.0,0.0,5,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,0,0.5,0.34
5,3.11111,0.0,0,1,28.0,0.0,2.0,5,0.13,0.0,60.661,30.0375,1.668,0,50.10255,3,0.5,0.31
5,3.11111,0.0,0,1,28.0,0.0,4.0,5,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,3,0.5,0.24
5,3.11111,0.0,0,1,28.0,0.0,6.0,5,0.13,0.0,60.4548,30.568,1.562,0,47.74722,3,0.5,0.25
5,3.11111,0.0,0,1,28.0,0.0,8.0,5,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,3,0.5,0.19
5,3.11111,0.0,0,1,28.0,0.0,10.0,5,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,3,0.5,0.17
7,0.0,0.0,1,0,109.6,0.0,0.0,5,0.4,0.0,77.53,6.53,1.6154,0,27.94116,0,1.105,0.13
7,0.0,0.0,1,0,113.1,0.0,0.0,0,0.4,0.0,66.36,9.22,1.535,0,34.18134,0,0.886,0.4
6,0.0,0.0,0,1,50.0,50.0,0.0,4,0.03,0.22286,72.13,19.11,2.21,0,42.22,0,0.26833,0.01872
6,0.0,0.0,0,1,50.0,50.0,0.0,5,0.03,0.20526,69.74,13.27,2.93,0,38.84,0,0.26833,0.20265
6,0.0,0.0,0,1,50.0,50.0,0.0,2,0.03,0.21455,71.05,13.56,3.48,0,38.16,0,0.26833,0.14782
2,7.0,0.5,0,1,28.0,28.0,0.0,5,0.06,1.20727,66.9,25.0,1.5,1,37.5,0,0.55333,0.34
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,0,0.51833,0.27
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,0,0.48833,0.2
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,0,0.54167,0.12
7,0.0,0.0,2,1,56.0,56.0,0.32468,5,1.37,0.108,69.2,19.5,2.33766,0,45.77922,14,0.305,0.06
7,0.0,0.0,2,1,56.0,56.0,2.06897,4,1.37,0.108,71.0,21.2,2.31034,0,48.62069,14,0.305,0.05
7,0.0,0.0,2,1,56.0,56.0,0.0,5,1.37,0.108,70.3,19.6,2.22222,0,44.10774,6,0.305,0.02
7,0.0,0.0,2,1,56.0,56.0,2.83688,4,1.18,0.108,71.8,19.5,2.30496,0,45.03546,14,0.305,0.03
0,0.0,0.0,1,0,64.0,0.0,0.0,5,1.1,0.0,74.27405,24.31619,2.04892,0,45.07488,0,0.15591,0.197
0,0.0,0.0,1,1,64.0,0.0,0.0,5,1.1,0.0,74.27405,24.31619,2.04892,0,45.07488,0,0.15591,0.296
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.1,0.0,74.27405,23.88538,2.04892,0,45.59188,0,0.15591,0.428
0,5.33333,0.02128,1,1,64.0,64.0,0.0,5,1.1,2.5,74.27405,19.65,2.04892,1,37.85355,0,0.15591,0.164
5,7.5,0.01389,0,1,30.0,30.0,0.0,5,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,0,0.5,0.049
5,7.5,0.01389,0,1,30.0,30.0,10.0,5,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,2,0.5,0.05
5,7.5,0.01389,0,1,30.0,30.0,10.0,5,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,0,0.5,0.028
0,0.0,0.0,0,1,20.0,20.0,0.0,5,0.06,0.21,60.22,29.35,1.45,0,42.38,0,0.76586,0.15
0,0.0,1.0,0,1,20.0,20.0,0.0,5,0.06,0.42,60.22,29.35,1.45,1,42.38,0,0.29422,0.13
0,0.0,0.33333,0,1,20.0,20.0,0.0,5,0.06,0.84,60.22,29.35,1.45,1,42.38,0,0.73436,0.21
0,0.0,0.0,0,1,21.0,21.0,0.0,5,0.06,0.21,55.0,11.5,2.34,0,26.8,0,0.25926,0.00012
0,0.0,0.0,0,1,21.0,21.0,20.0,5,0.06,0.21,55.0,14.7,2.52,0,36.1,7,0.25926,4e-05
0,0.0,0.0,0,1,21.0,21.0,20.0,5,0.06,0.21,55.0,14.0,2.52,0,35.3,7,0.25926,4e-05
0,15.5,0.0,0,1,31.0,31.0,0.0,5,0.06,0.09384,65.4,14.2,2.1,0,29.7,0,0.51333,0.05
0,15.5,0.0,0,1,31.0,31.0,0.0,5,0.06,0.15639,65.4,14.2,2.1,0,29.7,0,0.51333,0.04
0,15.5,0.5,0,1,31.0,31.0,0.0,5,0.06,0.28151,65.4,14.2,2.1,1,29.7,0,0.51333,0.05
7,21.0,0.0,0,1,21.0,21.0,0.0,5,1.2096,0.24,59.81,19.9,1.91,0,38.1,0,0.6054,0.38
7,21.0,0.0,0,1,21.0,21.0,0.0,0,1.2096,0.24,60.21,19.9,1.79,0,35.6,0,0.56685,0.43
5,1.0,0.0,0,1,15.0,15.0,0.0,4,0.018,0.9532,65.03,12.88,2.16588,0,27.89653,0,0.44444,0.38776
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.90506,63.17,24.41,1.92582,0,47.00927,0,0.49167,0.2855
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.88629,62.39,27.43,1.84851,0,50.70463,0,0.49167,0.32892
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.89127,62.6,28.06,1.81596,0,50.95584,0,0.49167,0.30074
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.8765,61.97,16.31,2.06009,0,33.60007,0,0.49167,0.34662
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,0.30362
4,6.42857,0.0,0,0,45.0,0.0,0.0,5,0.06,0.0,65.87741,23.8,1.79,0,42.59,0,0.08333,0.22
4,6.42857,0.0,0,0,45.0,0.0,0.0,5,0.06,0.0,64.63467,30.6,1.45,0,44.38,0,0.08333,0.19
7,17.5,0.0,0,1,70.0,0.0,0.0,5,1.2096,0.0,63.6,17.26269,2.12625,0,36.7048,0,0.43648,0.24
7,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.18,63.6,17.26269,2.12625,0,36.7048,0,0.25684,0.32
7,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.36,63.6,17.26269,2.12625,0,36.7048,0,0.25684,0.09
7,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.54,63.6,17.26269,2.12625,0,36.7048,0,0.25684,0.01
7,17.5,2.0,0,1,70.0,70.0,0.0,5,1.2096,0.54,63.6,17.26269,2.12625,1,36.7048,0,0.28386,0.03
0,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.43,83.0,16.5,2.60606,0,43.0,0,0.492,0.08564
0,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.21,83.0,16.5,2.60606,0,43.0,0,0.492,0.17394
5,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.48,71.0,6.1,5.77049,0,35.2,0,0.492,0.03724
5,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.23,71.0,6.1,5.77049,0,35.2,0,0.492,0.03629
