Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
2,7.0,0.5,0,1,28.0,28.0,0.0,8,0.06,1.20727,66.9,25.0,1.5,1,37.5,0,0.55333,52.8
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,0,0.51833,59.4
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,0,0.48833,62.5
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,0,0.54167,60.1
1,4.44444,0.0,1,1,40.0,0.0,0.0,8,0.2,0.0,65.0,29.7094,1.33073,0,39.53519,0,0.25,55.81
1,4.44444,0.0,1,1,40.0,0.0,1.0,8,0.2,0.0,65.0,29.8465,1.34581,0,40.16772,10,0.25,54.13
1,4.44444,0.0,1,1,40.0,0.0,5.0,8,0.2,0.0,65.0,33.0811,1.24777,0,41.2776,0,0.25,52.5
1,4.44444,0.0,1,1,40.0,0.0,6.0,8,0.2,0.0,65.0,33.4375,1.23268,0,41.21774,0,0.25,48.48
5,7.5,0.01389,0,1,30.0,30.0,0.0,8,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,0,0.5,28.4
5,7.5,0.01389,0,1,30.0,30.0,10.0,8,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,3,0.5,29.3
5,7.5,0.01389,0,1,30.0,30.0,10.0,8,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,0,0.5,37.1
0,0.0,0.0,0,1,20.0,20.0,0.0,8,0.06,0.21,60.22,29.35,1.45,0,42.38,0,0.76586,51.26
0,0.0,1.0,0,1,20.0,20.0,0.0,8,0.06,0.42,60.22,29.35,1.45,1,42.38,0,0.29422,47.55
0,0.0,0.33333,0,1,20.0,20.0,0.0,8,0.06,0.84,60.22,29.35,1.45,1,42.38,0,0.73436,49.66
8,0.0,0.0,0,1,42.0,42.0,0.0,5,0.06,0.35,60.0,30.0,2.29187,0,50.14628,0,0.52223,15.15
8,0.0,0.0,0,1,42.0,42.0,2.5,5,0.06,0.35,60.0,30.0,2.2512,0,48.9778,4,0.5,16.12
8,0.0,0.0,0,1,42.0,42.0,5.0,5,0.06,0.35,60.0,30.0,2.2512,0,48.9778,4,0.5,16.94
8,0.0,0.0,0,1,42.0,42.0,10.0,5,0.084,0.35,60.0,30.0,2.26813,0,48.24354,4,0.52573,20.46
8,0.0,0.0,0,1,42.0,42.0,15.0,5,0.1,0.35,60.0,30.0,2.42337,0,44.74752,4,0.54972,19.19
8,0.0,0.0,0,1,42.0,42.0,20.0,5,0.1,0.35,60.0,30.0,2.40304,0,45.06944,4,0.51733,19.79
5,3.0,0.0,1,0,30.0,0.0,0.0,8,0.1458,0.0,62.32164,20.0,1.68196,0,42.8535,0,0.23627,22.39
