Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
5,5.0,0.0,1,0,35.0,0.0,3.01629,11,1.0,0.0,66.8467,26.10745,1.6298,0,39.02896,19,0.2,15.2
5,5.0,0.0,1,0,35.0,0.0,6.06463,11,1.0,0.0,67.0219,26.24405,1.62781,0,39.02896,6,0.2,10.5
5,5.0,0.0,1,0,35.0,0.0,8.86923,11,1.0,0.0,66.1752,26.53278,1.62185,0,39.02896,6,0.2,9.0
5,5.0,0.0,1,0,35.0,0.0,11.87687,11,1.0,0.0,66.3211,26.53278,1.62384,0,39.02896,6,0.2,4.2
10,9.33333,0.0,1,0,112.0,42.0,0.0,7,0.28,0.2569,65.4,25.0,1.4,0,43.93961,0,0.42092,42.8
10,9.33333,0.0,1,0,112.0,42.0,2.94985,7,0.28,0.26221,66.1,25.0,1.6,0,44.09714,19,0.42642,41.4
10,9.33333,0.0,1,0,112.0,0.0,0.0,7,1.0664,0.0,64.9,17.22075,3.4,0,38.19286,0,0.74535,46.54838
10,9.33333,0.0,1,0,112.0,0.0,2.8169,7,1.0664,0.0,64.5,18.53975,3.1,0,37.99286,19,0.7441,34.81425
7,7.71429,0.0,0,1,54.0,54.0,0.0,11,0.077,0.05,65.0,25.0,1.97611,0,42.14256,0,0.53015,53.83
7,7.71429,0.0,0,1,54.0,54.0,5.0,11,0.0785,0.05,65.0,25.0,1.89403,0,43.48908,19,0.57539,47.08
10,5.02503,0.30467,1,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,36.8405
10,7.0,0.0,1,1,56.0,28.0,8.4771,7,0.4,5e-05,65.0,26.88118,1.89588,0,39.58012,0,0.29355,26.4139
10,7.0,0.0,1,1,56.0,28.0,16.95419,7,0.4,5e-05,65.0,22.09348,2.12017,0,40.55008,0,0.3021,16.5561
10,7.0,0.0,1,1,56.0,28.0,25.43129,7,0.4,4e-05,65.0,18.94242,2.2513,0,40.61808,0,0.31065,12.5751
10,7.0,0.0,1,1,56.0,28.0,9.04224,7,0.4,5e-05,65.0,26.88118,1.90042,0,39.58012,0,0.29412,12.7014
10,7.0,0.0,1,1,56.0,28.0,9.60738,7,0.4,5e-05,65.0,25.38042,1.90042,0,39.58012,0,0.29469,9.85783
10,7.0,0.0,1,1,56.0,28.0,10.17252,7,0.4,5e-05,65.0,25.38042,1.90042,0,39.58012,0,0.29526,18.3255
3,3.88889,0.0,0,1,35.0,35.0,2.25,7,0.02,0.5,67.12495,29.0076,1.71327,0,42.83415,14,0.57359,44.2829
3,3.88889,0.0,0,1,35.0,35.0,1.8209,7,0.02,0.5,66.15868,32.0229,1.71327,0,42.03066,14,0.54818,0.2907
3,3.88889,0.0,0,1,35.0,35.0,2.5709,7,0.02,0.5,67.53036,30.3435,1.71327,0,42.83415,14,0.57964,19.0891
3,3.88889,0.0,0,1,35.0,35.0,3.3209,7,0.02,0.5,66.529,26.9466,1.9299,0,46.09553,14,0.57359,27.3256
3,3.88889,0.0,0,1,35.0,35.0,4.0709,7,0.02,0.5,68.29017,29.0458,1.71327,0,46.09553,14,0.56264,47.9651
10,6.66667,0.04348,0,1,40.0,30.0,0.0,11,0.1644,7.69231,64.54545,16.53936,2.34,1,38.7021,0,0.69488,53.1
10,6.66667,0.04348,0,1,40.0,30.0,6.0,11,0.1564,7.31707,63.55556,16.39658,2.31,1,37.8761,2,0.55501,36.2
10,6.66667,0.04348,0,1,40.0,30.0,15.0,11,0.09285,6.81818,62.06897,15.97083,2.41,1,38.4897,21,0.314,46.5
10,6.66667,0.04348,0,1,40.0,30.0,1.46082,11,0.1644,7.79221,65.17413,16.34774,2.34,1,38.2537,21,0.65431,41.5
5,7.0,0.0,1,0,28.0,0.0,0.0,11,1.0,0.0,65.0,26.71429,1.4,0,37.4,0,0.1,19.53
5,7.0,0.0,1,0,28.0,0.0,6.0,11,1.0,0.0,61.15219,25.78943,1.4,0,43.4955,0,0.10575,22.53
5,7.0,0.0,1,0,28.0,0.0,18.0,11,1.0,0.0,61.24963,24.64633,1.4,0,40.33513,0,0.11726,20.85
