V5_Ventilation rate (L/min/kg iniDW),Additive_4,Initial C/N (%),Compost volume (m3),Additive_1,Material_2,Additive_2,Initial pH,Application Rate (%DW),V2_Ventilation Interval (min),Initial GI (%),V4_Ventilation Day,M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,Initial Moisture Content (%),Turning times,Material_3,Additive_3,Period (d),V1_Ventilation Type,Material_Main,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.8236117118475865,None,30.08738255300644,0.08,Potassium phosphate,Green waste,Potassium phosphate,5.216891659253856,2.564882285599727,0,27.32884658064516,39.0,0.0,0,Trough,63.483603803123884,24.0,None,None,53.0,Continuous,Goat manure,0.875,26.32645973388064,104.34281399999996,8.384665202271893,0.3760269582271576,0.20578283885711948,27.5243498664971
0.0,None,11.243731501680786,0.08,MgHPO₄,Byproduct,Microbiological agent,7.211399439609313,6.9292341224191425,0,27.32884658064516,0.0,0.0,0,Trough,57.06583931485924,22.0,Mature compost,None,50.0,None,Goat manure,0.875,9.83826506397069,103.92674599999997,6.757937625768416,0.27252635359764105,0.1542580150041832,23.140714211417087
0.044680370789815786,None,32.643910631615185,0.08,Ferric salt,Woody peat,MgSO₄,5.0,6.1202133993083665,0,27.32884658064516,47.0,0.0,0,Windrow,58.0,30.0,None,None,87.0,Continuous,Goat manure,0.875,28.563421802663285,104.29384899999997,10.287716214551141,0.3725370764732361,0.15102814996182146,26.7716847322903
0.6655804615691925,None,22.800325828773875,0.08,Clay,Sawdust,Zeolite,7.0,4.317389980862193,0,27.32884658064516,28.0,0.0,0,Windrow,62.0,15.0,None,None,44.0,Continuous,Goat manure,0.875,19.95028510017714,103.42748899999997,8.832281534368585,0.33062395453453064,0.1845972107218194,24.888313121757026
0.0,None,39.69659424973819,0.08,Zeolite,Byproduct,Biochar,6.0,2.017834362504316,0,27.32884658064516,0.0,1.0,0,Reactor,59.0,11.0,Mature compost,None,83.0,None,Goat manure,0.875,34.734519968520914,103.119743,8.218919636578487,0.26390135288238525,0.18691372003222567,18.77479952885818
1.1980131749033711,None,36.726121184317705,0.08,Sand,Husk,Mg(OH)₂,6.0,3.3408403835093585,0,27.32884658064516,35.0,0.0,0,Trough,68.73103408523454,23.0,None,None,55.0,Continuous,Goat manure,0.875,32.13535603627798,103.60336899999996,7.0746151072182775,0.3646361529827118,0.1987765517833923,24.91169388084394
0.0,None,36.633214456066774,0.08,Calcium magnesium phosphate fertilizer,Green Waste,MgSO₄,7.250497756058613,2.34208821328599,0,27.32884658064516,0.0,1.0,0,Windrow,51.0,24.0,None,None,62.0,None,Goat manure,0.875,32.05406264905843,103.35120099999996,8.767713555508546,0.3256896734237671,0.17671874067516474,16.370517137849795
1.3695773364297448,None,29.572176422847853,0.08,MgO,Soil,Gypsum,8.0,2.6031855436656985,0,27.32884658064516,49.0,1.0,0,Windrow,69.0,17.0,None,None,109.0,Continuous,Goat manure,0.875,25.87565436999187,102.75931099999997,8.977666119497524,0.3045867383480072,0.22650370401403705,27.583530783490797
0.0,None,19.908616543670828,0.08,Potassium phosphate,Byproduct,None,5.0,2.185333494294622,0,27.32884658064516,0.0,0.0,0,Trough,69.0,30.0,None,None,44.0,None,Goat manure,0.875,17.420039475711974,105.93431599999997,6.923549816379899,0.33648774027824396,0.18380035726297594,23.674064070595726
1.672709135554002,None,32.351575537147816,0.08,Organic acid,Green Waste,Inorganic acid,5.0,6.308329198491956,0,27.32884658064516,58.0,0.0,0,Windrow,63.925026683339404,27.0,None,None,129.0,Continuous,Goat manure,0.875,28.30762859500434,104.20688399999996,8.966157440027981,0.5366678237915039,0.17723197701781587,26.611575582185548
1.0024735078723492,None,37.27387438754603,0.08,Ferric salt,None,DCD,7.758629000542972,3.827053650049706,0,27.32884658064516,37.0,0.0,0,Trough,63.92664592151132,30.0,Mature compost,None,68.0,Continuous,Goat manure,0.875,32.614640089102785,103.46220699999996,8.489368961752183,0.3348580300807953,0.19538111537424,24.584694008224357
0.0,None,38.723316347757155,0.08,Gypsum,Sawdust,MgSO₄,7.581063171595802,5.964405396742585,0,27.32884658064516,0.0,0.0,0,Trough,50.54506863551653,18.0,Mature compost,None,106.0,None,Goat manure,0.875,33.88290180428751,103.09339899999998,8.93578876411219,0.2809321880340576,0.13716814032305388,17.415826932524798
0.0,None,35.38761603088815,0.08,Potassium phosphate,Sawdust,MgSO₄,8.0,6.07770921470987,0,27.32884658064516,0.0,0.0,0,Windrow,50.287279651825145,20.0,Mature compost,None,28.0,None,Goat manure,0.875,30.96416402702713,104.05234899999996,6.923549816379899,0.2931729555130005,0.14663746292888633,24.82400726013412
0.0,None,39.348462017122685,0.08,Inorganic acid,Green waste,Calcium magnesium phosphate fertilizer,5.183810480048638,2.6065945406842643,0,27.32884658064516,0.0,1.0,0,Trough,60.0,21.0,Mature compost,None,70.0,None,Goat manure,0.875,34.429904264982355,103.56923299999997,8.525575354504019,0.2684861719608307,0.1988257316931,20.00530351034732
