V2_Ventilation Interval (min),Additive_2,Turning times,Initial C/N (%),Initial GI (%),V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Initial Moisture Content (%),Material_Main,Material_2,Period (d),Initial pH,Compost volume (m3),Additive_1,Application Rate (%DW),M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,V4_Ventilation Day,Material_3,Additive_4,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
347.0,Mg(OH)₂,28.0,28.88165201082783,27.32884658064516,1.5255242010203172,Intermittent ,63.42672022369078,Poultry manure,Straw,110.0,6.0,0.6292491869918699,Carbonatite,6.461131447632795,1.0,44.37178675622675,Windrow,59.0,Mature compost,None,None,2.4967368849582217,72.10988587396162,100.64062199999998,10.550895306562246,0.8333613276481628,0.14249394980619842,24.321958081736067
595.0,Biochar,25.0,13.821547028901715,27.32884658064516,0.7211482855375615,Intermittent ,56.522379108742534,Poultry manure,Sawdust,92.0,7.0480096147777225,0.6292491869918699,Biochar,3.9948731693326014,1.0,32.489860930279825,Reactor,66.0,Mature compost,None,None,2.4967368849582217,34.508766274243634,103.20372000000002,5.085599644178947,0.9533470273017884,0.1712898274120901,22.579515488932905
1050.0,Inorganic acid,9.0,24.482139836318087,27.32884658064516,1.1763646443080311,Intermittent ,51.0,Poultry manure,Green Waste,107.0,6.0,0.6292491869918699,Ferric salt,5.815358421370193,1.0,20.06705464458763,Reactor,78.0,Green waste,None,None,2.4967368849582217,61.125461552040434,102.128201,8.797240086240757,1.038703680038452,0.16217572519595766,23.558219659170977
684.0,Calcium magnesium phosphate fertilizer,8.0,24.0,27.32884658064516,0.2850756497201823,Intermittent ,53.91322308252902,Poultry manure,Plastic tube pieces,112.0,6.0,0.6292491869918699,Carbonatite,9.687264170848312,1.0,17.251077584757144,Trough,81.0,Poultry manure,None,None,2.4967368849582217,59.92168523899732,101.579923,9.636635068271557,0.8350497484207153,0.1873623519815266,1000000.0
0.0,Inorganic acid,7.0,14.785281638843825,27.32884658064516,1.8848016408641883,Continuous,61.0,Poultry manure,Husk,113.0,7.115761509121728,0.6292491869918699,Carbonatite,4.505810209753443,1.0,0.0,Windrow,71.0,Straw,None,None,2.4967368849582217,36.91495802219692,100.66253499999998,10.890646394578297,0.4104306399822235,0.19733129614551656,23.425127006751488
529.0,Calcium magnesium phosphate fertilizer,10.0,34.909446144610165,27.32884658064516,1.1148819082553691,Intermittent ,68.90069182396384,Poultry manure,Green Waste,82.0,6.259942173411231,0.6292491869918699,Clay,8.681577528051928,1.0,33.96723101615008,Trough,75.0,Byproduct,None,None,2.4967368849582217,87.1597018227108,101.780451,9.636635068271557,0.3751344680786133,0.16198104876361136,23.632175335039268
669.0,Ca-superphosphate,30.0,12.784398569735734,27.32884658064516,0.3505419169211934,Intermittent ,68.63424727054388,Poultry manure,Green waste,110.0,6.874528985283433,0.6292491869918699,Urea,8.123774480392733,0.0,33.62860225993679,Trough,54.0,Straw,None,None,2.4967368849582217,31.919279461066342,101.86403299999999,9.619669145483163,0.4976356327533722,0.15094432646358014,24.233476812104715
571.0,Biochar,8.0,35.0,27.32884658064516,0.7139759759970077,Intermittent ,64.0,Poultry manure,Green Waste,114.0,6.321421606083575,0.6292491869918699,Carbonatite,4.990135260778604,1.0,59.849102500444715,Reactor,68.0,Mature compost,None,None,2.4967368849582217,87.38579097353775,103.36721200000002,5.085599644178947,0.954475164413452,0.14905717456145853,1000000.0
116.0,DCD,7.0,26.932015105251654,27.32884658064516,0.3489766041386177,Intermittent ,58.0,Poultry manure,Straw,96.0,5.566456015272228,0.6292491869918699,Phosphogypsum,3.7527815558914264,1.0,8.665085943562826,Windrow,59.0,Straw,None,None,2.4967368849582217,67.2421554995338,103.00156899999996,8.525935493184965,0.8350497484207153,0.18753799573949909,24.194259322447724
1101.0,Inorganic acid,31.0,11.940055833294261,27.32884658064516,1.085281194702321,Intermittent ,51.0,Poultry manure,Sawdust,114.0,6.0,0.6292491869918699,Mature compost,7.113421886047248,1.0,51.69563765061157,Reactor,61.0,Poultry manure,None,None,2.4967368849582217,29.811177807446352,101.952433,8.797240086240757,0.9488005042076112,0.1585326841110598,26.667832095540714
50.0,Inorganic acid,19.0,26.0,27.32884658064516,0.16339851317099585,Intermittent ,66.15278112900968,Poultry manure,Soil,105.0,6.465480353279582,0.6292491869918699,Sodium salt,5.3642073106124935,1.0,23.981667864536792,Reactor,66.0,Straw,None,None,2.4967368849582217,64.91515900891376,104.18539499999996,8.797240086240757,0.946377456188202,0.1655945242534851,1000000.0
1222.0,DCD,14.0,38.00279971509179,27.32884658064516,1.4191622641953714,Intermittent ,69.0,Poultry manure,Straw,108.0,7.896549795153202,0.6292491869918699,MgO,6.494980116543593,0.0,45.72561050053979,Trough,82.0,Straw,None,None,2.4967368849582217,94.88299178034949,102.91066299999994,9.636635068271557,0.5006768703460693,0.17284478219476232,25.678518057150782
941.0,Mg(OH)₂,28.0,14.143196112934096,27.32884658064516,1.0813330032485942,Intermittent ,62.60464932952218,Poultry manure,Green waste,112.0,5.446976487830822,0.6292491869918699,Clay,7.201018177411821,1.0,0.026203347055537844,Windrow,69.0,Straw,None,None,2.4967368849582217,35.3118394063603,102.79086299999996,14.453687422852314,0.8363844156265259,0.15204266963005614,25.13028258130955
925.0,Calcium magnesium phosphate fertilizer,1.0,27.66264788854943,27.32884658064516,0.27735115680979683,Intermittent ,55.15797178434651,Poultry manure,Soil,128.0,5.0,0.6292491869918699,Forsterite,8.31919718814019,0.0,15.034908121155794,Trough,82.0,Straw,None,None,2.4967368849582217,69.06635331895303,102.21690499999997,9.918639209756767,0.4983115196228027,0.11995120516948812,22.33646902597465
23.0,Biochar,22.0,14.0,27.32884658064516,0.5052152662797011,Intermittent ,54.35208466622598,Poultry manure,None,127.0,8.0,0.6292491869918699,Sulfur,8.279246203703678,1.0,41.53737933585595,Reactor,67.0,None,None,None,2.4967368849582217,34.954316389415105,103.406776,5.085599644178947,0.9502619504928588,0.1857364314354092,1000000.0
