Material_2,Initial pH,Additive_3,Additive_2,Initial Moisture Content (%),V2_Ventilation Interval (min),Material_3,Application Rate (%DW), Composting Method,Additive_4,V1_Ventilation Type,Initial C/N (%),Compost volume (m3),Material_Main,Period (d),V3_Ventilation Duration (min),Additive_1,V4_Ventilation Day,M1_is Enclosed,Initial GI (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Woody peat,5.0,None,Potassium phosphate,60.0,0.0,Byproduct,3.3537781881870097,Trough,None,None,38.0,2.147162565177521,Cattle manure,24.0,0.0,Phosphogypsum,0.0,0.0,27.32884658064516,19.0,0.0,1.596639959668374,60.67231846739821,105.44686099999996,2.8597873375454803,1.028815984725952,0.21437963655462075,1000000.0
Woody peat,8.0,None,Ca-superphosphate,63.0,798.0,Green waste,2.6601729320238903,Windrow,None,Intermittent ,26.43709492640816,2.147162565177521,Cattle manure,41.0,57.118573508016595,Gypsum,37.0,0.0,27.32884658064516,30.0,1.8858336350264828,1.596639959668374,42.210522177049306,107.29504,6.488826614135019,1.039886474609375,0.18990284282760175,27.98214879703395
Husk,6.410025310070437,None,MgO,57.0,0.0,Straw,6.994496122940255,Trough,None,None,20.865836330180898,2.147162565177521,Cattle manure,34.0,0.0,Sodium salt,0.0,0.0,27.32884658064516,26.0,0.0,1.596639959668374,33.315228076666926,107.88874400000003,3.3229813895425204,1.0819621086120603,0.19007038147479852,26.46938012760435
Green waste,7.0,None,Gypsum,55.0,0.0,None,2.2412690116444574,Windrow,None,None,16.58876868752328,2.147162565177521,Cattle manure,132.0,0.0,MgCl₂,0.0,0.0,27.32884658064516,28.0,0.0,1.596639959668374,26.486290968195163,106.69289100000002,3.6738302478426896,1.115851879119873,0.1661545433736969,21.850912907480144
Woody peat,7.0,None,Gypsum,56.0,0.0,Straw,4.974652541497755,Reactor,None,None,36.67485416283839,2.147162565177521,Cattle manure,45.0,0.0,Microbiological agent,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,58.556537671397784,109.44479800000003,3.5735775271963846,1.03912615776062,0.22052751446108465,27.21111698799911
Plastic tube pieces,6.055818815233359,None,MgO,67.0,1373.0,Mature compost,3.3700542387122825,Trough,None,Intermittent ,22.653466738054934,2.147162565177521,Cattle manure,40.0,27.92081861000069,Lignite,22.0,1.0,27.32884658064516,31.0,1.0922431803114327,1.596639959668374,36.169430218996894,109.54376699999999,7.349769412470452,0.9977028965950012,0.19609069200481088,26.452457832164143
Husk,6.595433585791478,None,Microbiological agent,51.0,643.0,Byproduct,7.924142952638978,Reactor,None,Intermittent ,23.0,2.147162565177521,Cattle manure,34.0,52.715452871471214,Mature compost,13.0,1.0,27.32884658064516,28.0,1.0295132487604644,1.596639959668374,36.722719072372605,106.270047,7.316943534840434,0.9868841171264648,0.19085529653179775,1000000.0
Woody peat,6.0,None,Gypsum,57.0,691.0,Straw,5.667259096019125,Trough,None,Intermittent ,15.0,2.147162565177521,Cattle manure,36.0,17.26684437959225,Urea,13.0,0.0,27.32884658064516,30.0,0.10677291349774798,1.596639959668374,23.94959939502561,106.76325599999996,7.181409095717897,0.893184244632721,0.12746204422038054,1000000.0
Plastic tube pieces,7.0,None,Inorganic acid,51.0,0.0,Poultry manure,3.549424185134951,Reactor,None,None,18.863154793182307,2.147162565177521,Cattle manure,120.0,0.0,MgCl₂,0.0,1.0,27.328846580645166,31.0,0.0,1.596639959668374,30.117666708204897,105.47654650000004,3.6738302478426896,1.1139123439788818,0.2170108755911006,22.751124110206966
None,5.7937524542071674,None,MgO,62.96734085250867,0.0,None,4.056716680814733,Trough,None,None,12.525885206899915,2.147162565177521,Cattle manure,51.0,0.0,Sodium salt,0.0,1.0,27.328846580645166,28.0,0.0,1.596639959668374,19.999328851555358,110.27269300000003,3.175598863009036,1.0943846702575684,0.17423011830524485,24.051186423308703
Sawdust,7.0,None,Calcium magnesium phosphate fertilizer,61.28007134207954,0.0,None,6.70771053229807,Windrow,None,None,28.824806607260733,2.147162565177521,Cattle manure,34.0,0.0,Inorganic acid,0.0,0.0,27.32884658064516,29.0,0.0,1.596639959668374,46.02283805886545,109.22139100000004,3.8553811435739798,1.113023281097412,0.19112443096880946,27.178185953974012
None,6.494003906394473,None,Biochar,55.0,0.0,Green waste,4.589973252771171,Trough,None,None,10.818199432714557,2.147162565177521,Cattle manure,99.0,0.0,MgHPO₄,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,17.2727695059338,106.13199500000002,3.1958140002950888,1.070862054824829,0.17119898108022932,22.506182298523026
Green waste,7.0,None,Gypsum,50.35854767104942,1098.0,Green waste,2.1890889827173536,Trough,None,Intermittent ,19.51822531849769,2.147162565177521,Cattle manure,30.0,37.307535610312755,Sodium phosphates,15.0,1.0,27.32884658064516,30.0,0.17122538408828825,1.596639959668374,31.163578485324397,108.50074,7.486693449360937,0.9962106943130492,0.16855570737841716,27.991652825768703
Soil,6.391223991042542,None,Biochar,55.69835331432065,0.0,Mature compost,2.4375075549607232,Reactor,None,None,34.0,2.147162565177521,Cattle manure,34.0,0.0,Zeolite,0.0,1.0,27.32884658064516,30.0,0.0,1.596639959668374,54.28575862872472,111.4662855,3.2780860051077085,1.0067386627197266,0.2552927230407479,1000000.0
