Additive_3,V3_Ventilation Duration (min),Initial GI (%),Initial pH,Additive_4,Additive_1,Additive_2, Composting Method,Application Rate (%DW),Compost volume (m3),Period (d),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,V1_Ventilation Type,Material_2,M1_is Enclosed,Material_3,Material_Main,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,27.32884658064516,5.590029101145941,None,Labile carbon source,Mg(OH)₂,Windrow,4.929337631838703,0.0996875,64.0,0.0,0.0,15.0,None,Woody peat,1.0,Mature compost,Digestate,66.0,38.0,0.0,2.754411318174137,104.6676300906172,107.964949,9.971295472174674,1.1066763401031494,0.1621308215725847,1000000.0
None,0.0,27.32884658064516,5.839268690481581,None,Potassium phosphate,Zeolite,Trough,9.897521282027654,0.0996875,68.0,0.0,0.0,13.0,None,Soil,1.0,None,Digestate,67.0,36.11498086156414,0.0,2.754411318174137,99.4755120407346,108.78801700000004,10.007590746640322,0.98056161403656,0.154438990863111,1000000.0
None,0.0,27.32884658064516,6.7457421642054864,None,Organic acid,Potassium phosphate,Trough,7.9836239517243435,0.0996875,74.0,0.0,0.0,23.0,None,Green waste,0.0,None,Digestate,53.452324143211186,33.11458293118783,0.0,2.754411318174137,91.21118202227986,108.78538700000004,5.9781903121587705,1.0430235862731934,0.13053067187584372,19.703617486488078
None,0.0,27.32884658064516,5.901357890411779,None,Sodium phosphates,DCD,Trough,4.9427673275710315,0.0996875,128.0,62.0,0.051803829112315736,22.0,Continuous,Woody peat,1.0,None,Digestate,62.41433345341843,37.08955555930799,0.0,2.754411318174137,102.15989161860641,108.858137,10.066525335705037,1.133878469467163,0.16243466297845416,24.76491093836649
None,20.230184435941638,27.32884658064516,6.365994536809643,None,Calcium magnesium phosphate fertilizer,Potassium phosphate,Windrow,4.862390045917965,0.0996875,37.0,22.0,0.3188128938334911,25.0,Intermittent ,Straw,1.0,Green waste,Digestate,58.0,33.02999347045915,10.0,2.754411318174137,90.9781878542505,108.13201499999997,13.23335065133702,1.308881402015686,0.1583463213656609,23.014408501517593
None,0.0,27.32884658064516,6.556446875463557,None,Mature compost,Gypsum,Reactor,9.97497636918849,0.0996875,33.0,0.0,0.0,3.0,None,Woody peat,1.0,None,Digestate,55.827327208043705,33.814333553195965,0.0,2.754411318174137,93.13858305543845,108.774459,9.616535245654326,0.98056161403656,0.14576239214719036,20.26472484753928
None,0.0,27.32884658064516,7.0,None,MgO,Microbiological agent,Windrow,6.511398529522393,0.0996875,105.0,0.0,0.0,30.0,None,Husk,1.0,None,Digestate,59.0,32.89618273442771,0.0,2.754411318174137,90.60961804843231,108.73115000000004,9.973051328887738,1.1066763401031494,0.16689397357502592,17.666922743751066
None,0.0,27.32884658064516,7.0,None,Labile carbon source,Organic acid,Reactor,9.293674928123183,0.0996875,124.0,0.0,0.0,30.0,None,Sawdust,1.0,Mature compost,Digestate,69.18590160415401,35.921561722525546,0.0,2.754411318174137,98.94275617501523,108.62127700000003,10.290637743702714,0.98056161403656,0.15995534331709546,20.33686968419163
None,0.0,27.32884658064516,6.0,None,Inorganic acid,Inorganic acid,Reactor,3.0476923340711712,0.0996875,76.0,44.0,0.07526564337847685,7.0,Continuous,Byproduct,1.0,None,Digestate,69.34673077197803,35.542756360216295,0.0,2.754411318174137,97.89937039768557,110.02440400000003,14.126196086972252,0.7851768136024475,0.19361701578333232,16.27756770509655
None,7.567435212881566,27.32884658064516,7.08665923137261,None,Organic acid,None,Windrow,8.918673281839922,0.0996875,22.0,22.0,0.8781082799230184,0.0,Intermittent ,Green Waste,0.0,Green waste,Digestate,67.0,31.0,1387.0,2.754411318174137,85.38675086339825,110.006289,9.70758850478497,0.8504465222358704,0.14076568593319996,1000000.0
