Turning times,V1_Ventilation Type,Period (d),V3_Ventilation Duration (min),Material_2,Compost volume (m3),Initial Moisture Content (%),Additive_3,Material_3, Composting Method,Initial GI (%),Additive_4,Material_Main,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial C/N (%),Additive_1,Initial pH,Additive_2,V4_Ventilation Day,M1_is Enclosed,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
5.0,None,79.0,0,Green Waste,0.6277154746460176,67.0,None,Mature compost,Windrow,27.32884658064516,None,Swine manure,0.0,0,22.0,Zeolite,6.125435335451008,Microbiological agent,0.0,1.0,9.45424222127267,2.0952942734506244,46.09647401591374,104.90973100000002,8.123568617030536,1.2089271545410156,0.1990779209868679,1000000.0
6.0,None,34.0,0,Plastic tube pieces,0.6277154746460176,65.0,None,Byproduct,Windrow,27.32884658064516,None,Swine manure,0.0,0,18.0,Sand,8.0,Potassium phosphate,0.0,0.0,3.7504685578044734,2.0952942734506244,20.952942734506248,108.118034,8.104620044907534,1.2222280502319336,0.17755377626197116,1000000.0
9.0,None,51.0,0,Husk,0.6277154746460176,52.5123921841827,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,38.04325106175992,Zeolite,8.0,None,0.0,1.0,4.592804909952206,2.0952942734506244,79.71180609314996,107.21932300000003,8.123568617030536,1.1565260887145996,0.19837574727533672,26.33872152950944
4.0,None,17.0,0,Straw,0.6277154746460176,59.5288095818602,None,Byproduct,Windrow,27.32884658064516,None,Swine manure,0.0,0,33.44830566772908,Mature compost,8.0,MgSO₄,0.0,0.0,9.370766652957265,2.0952942734506244,70.0840433222188,106.255751,8.123568617030536,1.1647787094116209,0.14744909260724656,24.941812282061033
26.0,None,110.0,0,Byproduct,0.6277154746460176,50.29324786159192,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,29.517006516051737,Sand,7.0,Mg(OH)₂,0.0,1.0,2.9440010838347663,2.0952942734506244,61.84681472248796,106.10906700000004,8.295991985695693,1.158782720565796,0.2337126455230027,23.09370861772189
1.0,None,116.0,0,Sawdust,0.6277154746460176,58.0,None,Green waste,Windrow,27.32884658064516,None,Swine manure,0.0,0,22.935107628888034,MgHPO₄,5.0,Calcium magnesium phosphate fertilizer,0.0,1.0,6.095238169675135,2.0952942734506244,48.05579967578282,106.58352100000002,8.221346339753,0.3053942620754242,0.19447408921054504,18.574109132928765
4.0,None,103.0,0,Woody peat,0.6277154746460176,53.0,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,26.716934939139275,Sand,5.0,Organic acid,0.0,1.0,6.457334494934955,2.0952942734506244,55.97984078213143,107.88885600000003,8.123568617030536,1.198756456375122,0.18865124425737484,19.302395826721725
13.0,None,66.0,0,Husk,0.6277154746460176,52.0,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,38.93857748894156,Phosphogypsum,8.0,Inorganic acid,0.0,1.0,2.008679890592292,2.0952942734506244,81.58777842889266,107.12102600000004,8.123568617030536,1.1540721654891968,0.2424420899944568,22.945550933275523
15.0,None,62.0,0,Sawdust,0.6277154746460176,51.72116305215851,None,None,Windrow,27.32884658064516,None,Swine manure,0.0,0,21.367158263005162,MgSO₄,6.0,DCD,0.0,0.0,2.092254206475332,2.0952942734506244,44.770484348387896,105.64203700000004,8.123568617030536,1.2472089529037476,0.18589473018113312,24.54082277262736
22.0,None,101.0,0,Husk,0.6277154746460176,55.53425710174498,None,Byproduct,Windrow,27.32884658064516,None,Swine manure,0.0,0,15.281404448990559,Inorganic acid,7.0,None,0.0,0.0,7.296493214999608,2.0952942734506244,32.01903923225281,106.85623500000004,8.405572758515747,1.1207826137542725,0.17827820865557334,21.550149306165533
5.0,None,37.0,0,Sawdust,0.6277154746460176,55.39197013302572,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,22.0,LB Culture,8.0,Gypsum,0.0,1.0,7.703103457029758,2.0952942734506244,46.09647401591374,107.14432,8.405572758515747,1.1579338312149048,0.2141386074174139,1000000.0
22.0,None,80.0,0,Woody peat,0.6277154746460176,55.18723144777995,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,22.0,Sodium phosphates,5.0,Organic acid,0.0,1.0,8.138884383387802,2.0952942734506244,46.09647401591374,106.83303800000004,8.123568617030536,1.1565260887145996,0.20827513599459765,1000000.0
24.0,None,97.0,0,Woody peat,0.6277154746460176,63.0,None,Byproduct,Trough,27.32884658064516,None,Swine manure,0.0,0,15.300306120999698,Inorganic acid,5.017051512529874,Organic acid,0.0,1.0,4.11953798119207,2.0952942734506244,32.05864379737221,106.52252300000004,8.405572758515747,1.1117687225341797,0.2006198090287628,24.114490085452687
3.0,None,62.0,0,Plastic tube pieces,0.6277154746460176,54.0,None,Byproduct,Trough,27.32884658064516,None,Swine manure,0.0,0,36.45833923377256,Sodium phosphates,5.0,Microbiological agent,0.0,0.0,4.892187693326213,2.0952942734506244,76.39094941604387,108.42634900000004,8.123568617030536,1.1910953521728516,0.1725168632715021,17.180607883442118
29.0,None,47.0,0,Sawdust,0.6277154746460176,54.42154343152143,None,Mature compost,Trough,27.32884658064516,None,Swine manure,0.0,0,18.652097040780564,MgSO₄,8.0,Potassium phosphate,0.0,0.0,8.526860472233302,2.0952942734506244,39.08163211739286,105.773573,8.123568617030536,1.1565260887145996,0.2260475146448565,28.54102351467072
2.0,None,118.0,0,Woody peat,0.6277154746460176,64.31457568649571,None,Byproduct,Reactor,27.328846580645166,None,Swine manure,0.0,0,23.0,Sodium salt,7.0,Potassium phosphate,0.0,1.0,9.78171731969142,2.0952942734506244,48.191768289364354,107.19673400000002,8.123568617030536,1.1910953521728516,0.20419089167416726,1000000.0
17.0,Continuous,48.0,0,Sawdust,0.6277154746460176,57.97207471246682,None,Mature compost,Trough,27.32884658064516,None,Swine manure,0.2205267256051313,0,38.00380031331758,Potassium phosphate,8.0,DCD,41.0,1.0,6.072000360843044,2.0952942734506244,79.62914516585538,105.12660299999996,4.94094326854178,0.6298543214797974,0.20724234773206196,29.00017332095172
