Material_2, Composting Method,M1_is Enclosed,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TC loss (%)
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,1.07,0.04,70.0,11,0.44,7,16.0,36.0
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,1.39,0.04,70.0,11,0.66,7,19.0,50.0
6,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,69.0,9,0.28,7,11.0,23.5
8,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,63.0,9,0.28,7,11.0,20.6
8,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,66.0,9,0.28,7,11.0,21.8
12,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,9,0.28,7,14.7,16.8
12,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,67.0,9,0.28,7,12.9,19.2
0,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,9,0.28,7,14.0,29.5
5,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,9,0.28,7,12.1,18.6
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,43.0
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,50.0
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,53.0
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,41.0
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,55.0
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,50.0
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,46.0
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,34.0
1,0,0.75,7,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,49.0
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,9,0.24,7,14.7,42.7
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,9,0.48,7,18.3,51.0
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,9,0.72,7,20.7,50.7
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,9,0.24,7,18.4,41.6
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,9,0.48,7,21.1,54.0
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,9,0.72,7,15.0,50.3
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,9,0.24,7,21.2,45.6
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,9,0.48,7,14.9,33.8
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,9,0.72,7,18.0,48.9
12,2,0.0,5,87.0,0.0,2,0.0,0.0,14.0,0.0,0.14,69.24,9,0.0,7,20.0,63.12
12,2,0.0,5,87.0,0.0,2,0.0,0.0,14.0,0.0,0.14,70.39,9,0.0,7,25.0,69.28
12,0,1.0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.16,66.03,9,0.81,7,21.96,52.9
12,0,1.0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.3,65.69,9,0.81,7,21.51,55.63
12,0,1.0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.57,66.14,9,0.81,7,21.64,55.11
1,1,0.0,7,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,9,0.0,7,17.4,63.64
1,1,1.0,7,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,9,0.0,7,17.4,63.16
1,1,0.0,7,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,9,0.0,7,17.4,63.33
1,1,1.0,7,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,9,0.0,7,17.4,62.73
1,1,0.0,7,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,9,0.0,7,17.4,52.88
1,1,1.0,7,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,9,0.0,7,17.4,51.81
1,0,1.0,6,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,9,0.2,7,11.37,50.26
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,0.0,1.2,67.6,9,0.0,7,18.98,66.0
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,3.3,1.2,67.6,11,0.0,7,18.98,59.5
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,6.6,1.2,67.6,11,0.0,7,18.98,60.5
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,9.9,1.2,67.6,11,0.0,7,18.98,55.3
