Initial pH,Material_Main,Additive_3,Initial Moisture Content (%),Initial GI (%),V3_Ventilation Duration (min),Material_2,V1_Ventilation Type, Composting Method,Additive_1,Period (d),Initial C/N (%),M1_is Enclosed,Additive_4,Material_3,V5_Ventilation rate (L/min/kg iniDW),Turning times,Additive_2,V2_Ventilation Interval (min),Compost volume (m3),V4_Ventilation Day,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
7.0,Swine manure,None,71.17071224902001,27.32884658064516,0.0,Green Waste,Continuous,Reactor,Forsterite,86.0,37.0,1.0,None,Mature compost,0.3142559783546477,19.0,DCD,0.0,0.6277154746460176,59.0,7.484690925298662,2.0952942734506244,27.603378899462776,113.179211,4.415496614246974,0.5183887481689453,0.2257770031969606,1000000.0
7.0,Swine manure,None,61.0,27.32884658064516,0.0,Straw,Continuous,Windrow,MgSO₄,92.0,43.716641173347845,1.0,None,Byproduct,1.132455735733734,9.0,Ca-superphosphate,0.0,0.6277154746460176,73.0,4.369927472838143,2.0952942734506244,91.59922790501152,110.90882400000002,4.307347527500702,0.4288850128650665,0.2049189306119132,26.709325928066388
8.0,Swine manure,None,67.0,27.32884658064516,0.0,Green waste,Continuous,Trough,Sodium salt,98.0,36.0,0.0,None,Poultry manure,1.2279944717678015,2.0,Biochar,0.0,0.6277154746460176,33.0,9.423229997123162,2.0952942734506244,55.07319381975849,110.98926100000004,5.085473368071333,1.2034167051315308,0.2010398907432129,1000000.0
9.98740927194618,Swine manure,None,64.0,27.32884658064516,50.93576706251155,Green Waste,Intermittent ,Reactor,Lime,69.0,16.0,1.0,None,Green waste,1.0149838449117548,26.0,Gypsum,1250.0,0.6277154746460176,43.0,5.73081940612925,2.0952942734506244,74.0958836042479,107.68923400000006,6.790331270326929,0.5455673933029175,0.1713677825471938,1000000.0
8.0,Swine manure,None,72.1982207576102,27.32884658064516,0.0,Plastic tube pieces,Continuous,Reactor,Forsterite,112.0,15.0,1.0,None,Straw,1.860199462585832,12.0,Biochar,0.0,0.6277154746460176,51.0,8.726449620388264,2.0952942734506244,51.38697619464539,112.75076,2.375196464697212,1.2076810598373413,0.2446584559277802,1000000.0
5.0,Swine manure,None,56.0,27.32884658064516,0.0,Husk,Continuous,Windrow,Mature compost,123.0,12.0,0.0,None,Green waste,0.9027745109653518,14.0,DCD,0.0,0.6277154746460176,76.0,4.112208034873822,2.0952942734506244,72.77069755364496,112.88017400000004,4.697500755732185,0.5183887481689453,0.1881561168500575,1000000.0
8.262923594782963,Swine manure,None,63.0,27.32884658064516,10.437523307015717,Plastic tube pieces,Intermittent ,Reactor,MgSO₄,94.0,16.0,1.0,None,Straw,1.9149585054608609,7.0,Calcium magnesium phosphate fertilizer,1000.0,0.6277154746460176,67.0,6.640578971803501,2.0952942734506244,38.9880237711091,110.862869,6.740752773166001,0.2710814774036407,0.1744964176840113,1000000.0
5.0,Swine manure,None,66.0,27.32884658064516,0.0,Green waste,Continuous,Trough,Lime,100.0,26.055641035992128,0.0,None,Poultry manure,0.482034861084839,19.0,Gypsum,0.0,0.6277154746460176,49.0,8.386969524205869,2.0952942734506244,27.8895531141959,110.72151700000002,4.415496614246974,0.5183887481689453,0.1902303500337685,1000000.0
5.0,Swine manure,None,61.0,27.32884658064516,4.148309732636362,Green waste,Intermittent ,Trough,K₂SO₄,132.0,28.0,1.0,None,Straw,0.8592000285694308,12.0,Gypsum,1304.0,0.6277154746460176,47.0,5.413342336494373,2.0952942734506244,60.6248990767756,110.13926000000004,7.242856794546014,0.2859937846660614,0.1773282388013813,1000000.0
8.036212453873254,Swine manure,None,59.0,27.32884658064516,0.0,Husk,Continuous,Windrow,Ca-superphosphate,83.0,12.0,1.0,None,Poultry manure,1.878202125169095,15.0,Calcium magnesium phosphate fertilizer,0.0,0.6277154746460176,62.0,2.0478624148383666,2.0952942734506244,25.89084381973864,112.82403000000002,4.933659844044848,0.4480698108673095,0.1993085031671932,1000000.0
10.120039630152672,Swine manure,None,55.0,27.32884658064516,48.14538125524667,None,Intermittent ,Windrow,Forsterite,99.0,41.85886810604922,1.0,None,Mature compost,1.7089591561723156,25.0,Calcium magnesium phosphate fertilizer,862.0,0.6277154746460176,27.0,2.082375380340132,2.0952942734506244,87.70664663572991,107.73437900000005,6.790331270326929,0.3445788621902466,0.1565180116658671,23.882640676801184
