Initial Moisture Content (%),Compost volume (m3),Initial C/N (%),Additive_1,V2_Ventilation Interval (min),Additive_3,V1_Ventilation Type,V4_Ventilation Day,Material_Main,Period (d),Additive_4,Initial pH,Initial GI (%),Turning times,V3_Ventilation Duration (min), Composting Method,M1_is Enclosed,Material_2,Additive_2,Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
64.0,0.045,11.0,Ferric salt,0.0,None,None,0.0,Sheep manure,51.0,None,4.992026140934707,27.32884658064516,27.0,0.0,Windrow,1.0,Byproduct,Inorganic acid,2.8084569447985026,0.0,None,1.97,29.526977352522856,92.13772399999998,9.055383979398227,0.7203237414360046,0.2029234820046892,1000000.0
77.6035440541693,0.045,13.0,Phosphogypsum,1277.0,None,Intermittent ,4.0,Sheep manure,123.0,None,10.12159152152498,27.32884658064516,14.0,6.218034911343624,Trough,1.0,Husk,DCD,6.509823039870659,1.8116671663669248,Straw,1.97,77.52851944852144,90.52257300000004,9.211711213623108,0.8621063828468323,0.1758228705742715,1000000.0
55.0,0.045,14.0,MgHPO₄,305.0,None,Intermittent ,3.0,Sheep manure,14.0,None,9.899551157533764,27.32884658064516,14.0,19.71367834871093,Reactor,1.0,Byproduct,Organic acid,6.260797175297112,0.6854686169715674,Byproduct,1.97,77.96131803831231,93.115685,7.466509026823439,0.6080147624015808,0.1670443482489705,1000000.0
70.0,0.045,44.268059757719584,Labile carbon source,0.0,None,None,0.0,Sheep manure,26.0,None,12.041835527250411,27.32884658064516,1.0,0.0,Windrow,0.0,Byproduct,MgO,4.04352648307097,0.0,Mature compost,1.97,87.20807772270759,91.26513199999997,11.0308016834133,0.7701603770256042,0.1893689165759735,21.322857392741906
70.06039669114809,0.045,29.0,Carbonatite,0.0,None,None,0.0,Sheep manure,123.0,None,11.65744880002418,27.32884658064516,21.0,0.0,Windrow,0.0,Byproduct,Microbiological agent,4.877013643273828,0.0,Poultry manure,1.97,25.989575091584967,91.76282199999996,11.0308016834133,0.7108971476554871,0.2046581428182227,1000000.0
80.82182072511904,0.045,24.0,Biochar,0.0,None,None,0.0,Sheep manure,104.0,None,11.586795475832208,27.32884658064516,13.0,0.0,Reactor,1.0,Byproduct,Gypsum,2.064869801660815,0.0,None,1.97,62.74773721884487,92.23272399999998,9.055383979398227,1.5311801433563232,0.2084956355376194,1000000.0
61.0,0.045,36.0,Mg(OH)₂,733.0,None,Intermittent ,0.0,Sheep manure,73.0,None,11.14150245362367,27.32884658064516,21.0,25.356604010086045,Windrow,1.0,Byproduct,Microbiological agent,2.933568376444798,1.719630912737829,Green waste,1.97,12.11985820688619,94.001452,6.879583653185211,0.7219793200492859,0.1526335265828102,1000000.0
80.3750358913933,0.045,25.0,Sulfur,860.0,None,Intermittent ,4.0,Sheep manure,53.0,None,6.571482953713006,27.32884658064516,12.0,59.41900255089013,Windrow,0.0,Green waste,Inorganic acid,3.06678943691694,1.863530020586492,Mature compost,1.97,28.79659720552709,91.88832300000004,10.106199094091668,0.8630849719047546,0.1442640409726683,1000000.0
81.33734499662233,0.045,25.0,Gypsum,626.0,None,Intermittent ,43.0,Sheep manure,77.0,None,8.565334365842636,27.32884658064516,0.0,16.067127240008666,Windrow,1.0,Green Waste,Ca-superphosphate,6.580031882329705,1.2403684986410997,Byproduct,1.97,23.37057616362957,92.02132100000004,12.45811755423244,0.8117793798446655,0.1376964036114038,1000000.0
62.0,0.045,37.0,Calcium magnesium phosphate fertilizer,0.0,None,None,0.0,Sheep manure,119.0,None,10.234015652378076,27.32884658064516,10.0,0.0,Reactor,1.0,Byproduct,MgSO₄,3.570658927862137,0.0,Straw,1.97,48.3468845408236,90.61067799999996,9.055383979398227,0.6223977208137512,0.204853003662653,1000000.0
