Title,Author,Location,Journal,Material_0,Material_Main,Material_2,Material_3,Additive Species,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Initial EC (ms/cm),Initial GI (%),Initial FW (kg),Initial DW (kg),Initial NH3-N (g/kg),Initial NO2-N (g/kg),Final Moisture Content (%),Final pH,Final TN (%),Final TC (%),Final C/N (%),Final EC (ms/cm),Final GI (%),Final FW (kg),Final DW (kg),Final NH3-N (g/kg),Final NO2-N (g/kg),TN loss (%),NH3-N (g),N2O-N (g),NH3-N loss (%),N2O-N loss (%),TC loss (%),CH4-C (g),CO2-C (g),CH4-C loss (%),CO2-C loss (%),Method,M1_isEnclosed,M2_isTurning,M3_isForce aeration,M4_isVessel,M5_isReactor,Period (d),Compost volume (m3),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V6_Extra,Turning times
Effect of adding biomass fly ash to co-composting of tree pruning waste and cow dung,"Somjai Karnchanawong et al.,2014",Thailand,Advanced Materials Research,Manure,Cow manure,Tree pruning waste,,Physical,Biomass fly ash,,,,8,65,7.2489,,,31.77966102,0.746667,,49.4,,,,,8.39,,,14.04,1.11,,,,,,1.46,,,,,56.55,,,,,Turning,0,1,0,1,0,150,0.12,0.411666667,None,,,,,,21
Effect of adding biomass fly ash to co-composting of tree pruning waste and cow dung,"Somjai Karnchanawong et al.,2014",Thailand,Advanced Materials Research,Manure,Cow manure,Tree pruning waste,,Physical,Biomass fly ash,,,,12,65,7.3212,,,31.5,0.791111,,51.2,,,,,8.53,,,13.67,1.21,,,,,,4.33,,,,,58.57,,,,,Turning,0,1,0,1,0,150,0.12,0.426666667,None,,,,,,21
Reducing nitrogen loss and salinity during 'struvite'food waste composting by zeolite amendment,"Man Ting Chan et al.,2016",China,Bioresource Technology,Food waste,Food waste,Sawdust,,None,,,,,0,55,6.39047,1.38461,44.33548912,32.0202,1.91765,6.17647,,,0.309409,,,4.76806,1.67418,44.89280186,26.8148,3.64706,39.7,,,1.28256,,,0.948769,,,,,,338.032,,,Reactor,1,0,1,1,1,56,0.02,0.5,Intermittent ,,,,,ventilation when temperature over 65℃,0
Reducing nitrogen loss and salinity during 'struvite'food waste composting by zeolite amendment,"Man Ting Chan et al.,2016",China,Bioresource Technology,Food waste,Food waste,Sawdust,,Chemical,MgO,K?HPO?,,,1.943259,55,6.50999,1.51479,46.05582664,30.4041,2.90588,4.70588,,,0.961339,,,8.49719,2.08247,36.06817215,17.3199,6.47059,85.6,,,0.619557,,,11.7648,,,,,,544.588,,,Reactor,1,0,1,1,1,56,0.02,0.5,Intermittent ,,,,,ventilation when temperature over 65℃,0
Reducing nitrogen loss and salinity during 'struvite'food waste composting by zeolite amendment,"Man Ting Chan et al.,2016",China,Bioresource Technology,Food waste,Food waste,Sawdust,,Mixture,MgO,K?HPO?,Zeolite,,6.943259,55,6.29485,1.44971,49.34870828,34.0404,2.69412,2.05882,,,0.497235,,,8.44938,1.99963,38.47108153,19.2391,3.24118,119.5,,,0.166485,,,12.1413,,,,,,620.821,,,Reactor,1,0,1,1,1,56,0.02,0.5,Intermittent ,,,,,ventilation when temperature over 65℃,0
Reducing nitrogen loss and salinity during 'struvite'food waste composting by zeolite amendment,"Man Ting Chan et al.,2016",China,Bioresource Technology,Food waste,Food waste,Sawdust,,Mixture,MgO,K?HPO?,Zeolite,,16.943259,55,6.19923,1.60948,46.73994299,29.0404,2.72941,3.52941,,,0.430937,,,8.42548,2.14756,38.49716056,17.926,2.83529,136.4,,,0.111237,,,9.04727,,,,,,592.54,,,Reactor,1,0,1,1,1,56,0.02,0.5,Intermittent ,,,,,ventilation when temperature over 65℃,0
Effects of phosphogypsum and superphosphate on compost maturity and gaseous emissions during kitchen waste composting,"Fan Yang et al.,2015",China,Waste Management,Food waste,Food waste,Corn stalk,,None,,,,,0,60,5.01,1.79,39.559,22.1,1.78,38.3,,,0.42,0.01,,8.04,2.32,29.928,12.9,1.76,122.9,,,0.12,0.56,47.4,,,13.3,1.97,54.1,,,0.33,51.5,Reactor,1,1,1,1,1,35,0.06,,Continuous,0,,35,0.2,,5
Effects of phosphogypsum and superphosphate on compost maturity and gaseous emissions during kitchen waste composting,"Fan Yang et al.,2015",China,Waste Management,Food waste,Food waste,Corn stalk,,Chemical,Phosphogypsum,,,,10,60,4.43,1.98,36.036,18.2,2.84,43.9,,,0.42,0.01,,7.63,2.23,29.213,13.1,2.09,103.3,,,0.37,0.63,30.7,,,8.4,2.06,63.9,,,0.06,59,Reactor,1,1,1,1,1,35,0.06,,Continuous,0,,35,0.2,,5
Effects of phosphogypsum and superphosphate on compost maturity and gaseous emissions during kitchen waste composting,"Fan Yang et al.,2015",China,Waste Management,Food waste,Food waste,Corn stalk,,Chemical,Superphosphate,,,,10,60,4.28,1.89,36.099,19.1,2.28,45.1,,,0.42,0.01,,7.79,2.37,28.203,11.9,2.4,94.5,,,0.25,0.6,37.5,,,10.5,2.16,64.2,,,0.09,60.2,Reactor,1,1,1,1,1,35,0.06,,Continuous,0,,35,0.2,,5
Use of potassium dihydrogen phosphate and sawdust as adsorbents of ammoniacal nitrogen in aerobic composting process,"TianJue Hu et al.,2007",China,Journal of Hazardous Materials,Lignin,OFMSW,,,None,,,,,0,63,7.5,1.23,39.44,32.06504065,,,,,,,,7.18536,,,4.66265,,,,,,,38,,,,,,,,,,Reactor,1,1,1,1,1,28,0.077715,,Intermittent ,720,30,28,,,9
