material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TC loss  (%)
4,9.586395962438479,46.96065893520656,66.34063832689438,23.33297870464441,9.667222050979083,5,54.21695102558407,0,[57.95270822]
1,0.5102949056366546,155.37950929865843,65.37931640862087,4.383183221968031,-0.5668958273481887,0,28.11772396194595,4,[53.40163485]
4,-0.44466746900271925,-0.5402393838125609,19.184705922685346,14.464487759092439,8.731038762191957,0,49.70731759121732,2,[57.56783572]
2,0.07697338649196661,162.50512328127994,43.549436920567175,8.863356859233146,9.7892375220959,0,56.880954731018896,0,[58.57917473]
4,-0.07436974873300894,167.50367054128876,18.94618690064417,10.126470052381114,0.13395638573092605,7,56.925568155995805,0,[52.31531436]
4,-0.29590821814098056,151.84811708115583,39.124909553733175,9.213028151361705,1.1303200437159115,0,49.20946196486119,0,[51.13277194]
3,2.965630427726228,75.5650105094794,69.18624145804127,9.067551658296793,8.21495949637869,3,48.108471530751224,0,[57.57065164]
2,2.7908264103690743,86.62064512235087,71.63714095854357,6.6537394171194455,-0.6103683117781884,6,48.38204595307589,0,[58.57776176]
2,-0.6894314911856276,173.9953268954527,73.88397437278115,8.66169162990633,4.793137205475178,3,37.16612104825828,0,[51.51285393]
2,1.8456325007722096,49.21837661331861,22.521326991468186,5.421354547360193,2.023671749410918,7,11.160301606673404,0,[54.44502957]
2,6.234298707579595,68.09404731227264,73.71791042785117,32.6351448432772,2.785335734648695,0,0.4658393624477315,0,[51.01016817]
1,2.534080146040567,47.60685315833852,11.828318166093176,2.4343596724284238,10.5880739571918,4,3.2164578213212773,0,[57.81394844]
2,2.545198379331426,145.28240737080318,26.357557004985058,3.231019531234236,0.6684362342010726,6,55.89869362505559,3,[55.63369229]
2,9.213531667274314,174.96391102506408,70.1026321551142,14.821278241085038,7.752076917737199,6,52.54557648283381,1,[59.56169841]
3,5.55287678490878,42.610465152786716,71.80383860846534,22.719485211299812,8.375294456930403,1,57.114467571458945,1,[60.72495906]
1,-0.5808136193328973,41.81903873869966,28.867023661387016,14.860033860332143,10.469298129192193,6,55.76843840280396,1,[53.76706221]
0,2.5594335215927444,169.54725793489374,35.364891025392005,16.46425771344475,7.91307010992798,5,57.69816315519528,0,[60.43698449]
2,2.853582460212777,80.84409013148795,66.10452785774912,27.540672918703095,3.888703618614035,0,42.535983380381424,1,[55.73119701]
4,0.11310813565224276,71.29185907585256,67.2494761579952,18.49280690884107,0.761800814917039,4,50.59655872890878,0,[55.41720548]
4,2.7252186829058145,126.77372102963845,45.41909083394269,16.453081727268795,1.6111317434116126,6,26.041416387098025,4,[55.14779694]
0,8.030218394721226,136.45327710371276,66.11461250662364,13.193769925615559,10.69644720495668,2,52.94557343367715,0,[54.21471034]
4,-0.9987219084099841,113.0739633047394,25.168886075572036,10.662358093400503,2.8979585746930883,7,52.774336423117056,0,[51.51135155]
4,0.27115386067243286,54.47920530856262,67.97796484667563,10.445843651547204,3.10005673150901,0,54.52101157728554,0,[57.60899651]
2,6.021864910090105,36.315110421107605,74.35190441938757,54.013474633651285,2.30203879148862,0,20.786440085483807,4,[54.82628108]
0,7.376361623639219,18.037006948260455,72.39339658639547,22.627039856546183,4.472877352434834,7,52.52776353499811,3,[54.63043224]
0,1.078966586321664,123.17336027863365,21.81283945562038,10.306600597180886,7.894702014358309,0,14.678437835784289,3,[55.50139841]
