Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,Compost volume (m3),V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Initial C/N (%),Initial pH,Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
0,5,4,27,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,1.92422,0.0,0.0,62.63,17.9,8.3,1.4,0.0,22.39929
0,5,4,12,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,2.19409,0.0,10.0,65.46,17.8,7.6,1.33,0.0,20.7
0,5,4,12,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,2.21016,0.0,17.8,64.61,18.9,7.6,1.32,0.0,17.09545
0,5,4,12,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,2.5076,0.0,26.9,65.46,18.5,7.4,1.29,0.0,24.38837
0,5,4,33,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,1.93464,0.0,9.9,64.12,20.1,8.4,1.29,0.0,12.70853
0,5,4,33,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,2.24278,0.0,20.7,61.07,17.1,8.6,1.12,0.0,15.03571
0,5,4,33,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,2.51123,0.0,30.6,63.73,18.9,8.7,1.23,0.0,21.34472
8,8,4,27,11,4,1,0,1.0,0.0,0.0,16.0,16.0,0.0,0.1,0.0,0.0,61.7,16.64286,5.7,2.8,0.233,22.49666
8,8,4,10,11,4,1,0,1.0,0.0,0.0,14.0,14.0,0.0,0.1,0.0,10.0,64.2,18.2,4.8,2.5,0.233,10.31193
10,8,4,27,11,4,1,0,1.0,0.0,2.0,18.0,18.0,0.0,0.012,0.0,0.0,63.74,14.6095,7.035,2.52,0.31,22.8
10,8,4,25,11,4,1,0,1.0,0.0,2.0,18.0,18.0,0.0,0.012,0.0,2.0,63.74,15.08085,7.055,2.54,0.31,17.6
0,13,4,27,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,0.0,70.5,26.0,8.8,1.59,0.2885,24.57547
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,3.62976,71.0,22.469,8.8,1.44,0.29038,15.09375
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,7.30994,71.5,22.364,8.6,1.55,0.2924,15.4871
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,9.97672,69.0,30.0,8.7,1.36,0.26605,12.09124
0,13,4,27,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,0.0,70.0,22.364,8.4,1.72,0.26377,15.91628
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,13.09719,71.8,22.61877,8.2,1.66,0.28166,16.07952
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,24.36647,69.6,26.564,8.3,1.58,0.26201,17.38228
0,13,4,16,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,37.59079,70.3,24.894,8.3,1.47,0.26947,21.42857
0,13,4,27,11,4,1,0,1.0,0.0,0.0,15.0,6.0,0.0,0.17,0.0,0.0,70.6,23.65943,8.6,1.59,0.28948,20.97044
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,6.0,0.0,0.17,0.0,3.10479,70.8,23.65943,8.6,1.57,0.28882,15.50064
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,6.0,0.0,0.17,0.0,3.43688,70.1,23.65943,8.6,1.55,0.28171,16.72387
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,6.0,0.0,0.17,0.0,3.68545,69.8,23.65943,8.9,1.55,0.27867,15.46387
0,13,4,27,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,0.0,71.5,22.50816,9.1,1.62,0.27765,20.20988
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,3.66885,72.3,24.14716,9.0,1.35,0.28276,17.13333
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,7.0174,71.3,23.181,8.7,1.31,0.27016,14.74046
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.17,0.0,10.35227,71.1,22.469,8.7,1.25,0.26561,16.0
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,1.2,0.0,0.0,68.67,18.89189,7.62171,2.08886,0.0,40.1
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,1.2,0.0,3.3,68.67,18.89189,7.62171,2.10186,0.0,36.4
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,1.2,0.0,6.6,68.67,18.89189,7.62171,2.10186,0.0,34.3
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,1.2,0.0,9.9,69.75,18.89189,7.62171,2.04778,0.0,28.1
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,1.2,0.0,13.2,70.11,18.89189,7.57137,2.02976,0.0,21.7
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,1.2,0.0,16.5,69.52549,18.89189,8.16136,1.99949,0.0,11.5
8,0,4,27,11,4,1,0,1.0,0.0,0.0,42.0,21.0,0.0,0.4,0.0,0.0,71.68,32.89157,8.49095,0.83,0.29677,40.7
8,0,4,2,11,4,1,0,1.0,0.0,0.0,42.0,21.0,0.0,0.4,0.0,3.5,61.878,33.86114,6.536,0.821,0.13008,38.3
8,0,4,2,11,4,1,0,1.0,0.0,0.0,42.0,21.0,0.0,0.4,0.0,10.6,63.778,35.56382,7.30208,0.807,0.07419,32.2
