Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),Application Rate (%DW),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial Moisture Content (%),Initial pH,Initial C/N (%),Initial TC (%),CO2-C loss (%)
10,13,4,28,11,4,1,1,0.0,0.0,7.0,54.0,0.13,6.0,2.0,0.0,0.0,0.0,2.862,73.33,8.23168,22.1,61.522,36.0
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.007,0.0,0.0,21.0,0.0,16.43192,0.356,71.66,9.19,126.63202,45.081,3.25563
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.007,0.0,0.0,21.0,0.0,15.49873,0.947,69.89,8.49,61.48258,58.224,3.86842
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,0.0,35.0,0.0,0.1,2.68,72.86,7.84398,11.37,30.45,41.0
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,0.0,35.0,0.0,0.2,2.68,72.86,7.7688,11.37,30.45,35.4
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,0.0,35.0,0.0,0.3,2.68,72.86,7.89098,11.37,30.45,37.1
0,5,4,27,11,4,1,2,0.0,0.0,0.0,133.0,0.11621,0.0,2.0,0.0,0.0,0.0,1.37,74.03481,7.8,22.53,47.23,6.19
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.11621,1.25,2.0,0.0,0.0,0.0,1.33,69.11,7.4,24.48,48.33,6.01
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.11621,1.25,2.0,0.0,0.0,0.0,1.38,69.11,7.4,24.48,48.33,8.49
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.11621,2.5,2.0,0.0,0.0,0.0,1.23,69.11,7.37,24.48,48.33,3.36
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.09021,0.95337,2.0,0.0,0.0,0.0,1.42,73.33,7.7,22.66,47.5,10.0
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.09021,2.53776,2.0,0.0,0.0,0.0,1.2,73.33,7.8,22.66,47.5,4.3
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.09021,2.53776,2.0,0.0,0.0,0.0,1.22,73.33,7.8,22.66,47.5,2.88
0,5,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.02069,0.0,2.0,0.0,0.0,0.0,2.838,73.33,7.9065,21.66,61.815,2.64
0,8,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.02069,0.0,2.0,0.0,0.0,0.0,2.838,73.33,7.9065,21.66,61.815,13.17
0,8,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.02069,0.0,2.0,0.0,0.0,0.0,2.838,73.33,7.9065,21.66,61.815,12.83
