Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,20.7,0.72,63.7,50.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,18.4,0.24,71.3,41.6
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,21.1,0.48,70.6,54.0
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,15.0,0.72,70.8,50.3
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,21.2,0.24,75.7,45.6
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,14.9,0.48,76.8,33.8
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,18.0,0.72,74.0,48.9
7,8,4,27,11,4,1,2,0.0,0.0,43.0,87.0,0.144,2.0,0.0,0.0,0.0,20.0,0.0,68.64,79.98
7,8,4,27,11,4,1,2,0.0,0.0,21.0,87.0,0.144,2.0,0.0,0.0,0.0,20.0,0.0,68.64,72.2
7,8,4,27,11,4,1,2,0.0,0.0,14.0,87.0,0.144,2.0,0.0,0.0,0.0,20.0,0.0,68.64,63.12
7,8,4,27,11,4,1,2,0.0,0.0,43.0,87.0,0.144,2.0,0.0,0.0,0.0,25.0,0.0,69.05,80.45
7,8,4,27,11,4,1,2,0.0,0.0,21.0,87.0,0.144,2.0,0.0,0.0,0.0,25.0,0.0,69.05,72.4
7,8,4,27,11,4,1,2,0.0,0.0,14.0,87.0,0.144,2.0,0.0,0.0,0.0,25.0,0.0,69.05,69.28
7,8,4,27,11,4,1,2,0.0,0.0,43.0,87.0,0.144,2.0,0.0,0.0,0.0,30.0,0.0,69.54,83.52
7,8,4,27,11,4,1,2,0.0,0.0,21.0,87.0,0.144,2.0,0.0,0.0,0.0,30.0,0.0,69.54,81.94
7,8,4,27,11,4,1,2,0.0,0.0,14.0,87.0,0.144,2.0,0.0,0.0,0.0,30.0,0.0,69.54,80.91
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.1559,0.0,35.0,0.0,0.0,21.96203,0.34,66.03,52.90177
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.2984,0.0,35.0,0.0,0.0,21.51131,0.34,65.69,55.63031
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.5697,0.0,35.0,0.0,0.0,21.64477,0.34,66.14,55.11272
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,63.64
10,13,4,27,11,4,1,1,1.0,0.0,10.0,70.0,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,63.16
10,13,4,27,11,4,1,1,0.0,0.0,5.0,70.0,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,63.33
