Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
8,13,4,2,11,4,1,0,1.0,60.0,7.0,50.0,50.0,1.0,20.0,0.288,0.31724,12.0,2.53,8.01,66.08,21.21,0.47
10,13,4,27,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,0.0,1.94767,7.25571,66.11478,17.57895,2.6
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,5.0,1.94767,6.60761,63.39748,26.64686,2.08
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,10.0,1.94767,6.57182,63.28348,25.54809,1.976
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,20.0,1.94767,6.38097,62.028,20.82237,1.976
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,1.0,1.94767,7.07281,63.89748,25.56959,2.132
10,14,4,27,11,4,1,0,1.0,0.0,4.0,28.0,28.0,0.0,0.0,0.06,0.36,0.0,1.95,7.79826,62.06,17.91,0.0025
10,14,4,4,11,4,1,0,1.0,0.0,4.0,28.0,28.0,0.0,0.0,0.06,0.36,10.0,1.96,7.89913,58.69,18.23,0.0149
10,13,4,27,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,1.2,0.0,0.0,1.69,7.56,65.0,22.46154,1.37
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,1.2,0.0,15.67944,1.51,8.03,65.0,24.96689,0.71
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,1.2,0.0,31.35889,1.41,8.17,65.0,26.48227,0.35
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,1.2,0.0,47.03833,1.35,8.33,65.0,29.88889,0.38
10,13,4,27,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.06,0.38,0.0,2.22446,7.779,67.6,17.4312,0.57
10,13,4,30,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.06,0.38,0.408,2.06768,6.76537,63.56609,14.83745,0.79
10,13,4,6,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.06,0.38,0.408,2.16937,8.01878,65.87,16.20429,0.41
10,13,4,30,2,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.06,0.38,0.408,2.27531,7.24492,66.632,13.97506,0.68
10,13,4,27,11,4,1,0,1.0,0.0,5.0,28.0,28.0,0.0,0.0,0.06,0.48,0.0,2.13,7.08396,57.54093,19.25,0.34
10,13,4,13,11,4,1,0,1.0,0.0,5.0,28.0,28.0,0.0,0.0,0.06,0.48,2.44988,2.14833,6.59564,63.81309,22.3966,0.38
10,13,4,13,11,4,1,0,1.0,0.0,5.0,28.0,28.0,0.0,0.0,0.06,0.48,2.45195,2.15,6.76549,64.85309,20.42849,0.47
10,13,4,31,11,4,1,0,1.0,0.0,5.0,28.0,28.0,0.0,0.0,0.06,0.48,4.35435,2.16833,8.34723,61.65,20.90765,0.39
8,13,4,27,11,4,1,0,1.0,0.0,6.0,34.0,34.0,0.0,0.0,0.06,0.27211,0.0,2.51312,7.58558,65.0,11.37,0.88
8,13,4,4,11,4,1,0,1.0,0.0,6.0,34.0,34.0,0.0,0.0,0.06,0.26291,10.0,2.32105,8.007,65.0,11.37,0.6
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,34.0,0.0,0.0,0.06,0.26265,10.28571,2.32105,8.007,65.0,11.37,0.25
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,34.0,0.0,0.0,0.06,0.2589,14.57143,2.50543,7.99841,65.0,11.37,0.13
10,13,4,27,11,4,1,0,1.0,0.0,6.0,35.0,35.0,0.0,0.0,0.06,0.25,0.0,2.03653,8.2,69.2,18.43351,1.5
10,13,4,13,8,4,1,0,1.0,0.0,6.0,35.0,35.0,0.0,0.0,0.06,0.25,4.43143,2.03653,8.0,66.915,18.43351,1.4
10,13,4,4,11,4,1,0,1.0,0.0,6.0,35.0,35.0,0.0,0.0,0.06,0.25,4.0,2.03653,7.25,65.91909,18.43351,1.4
10,13,4,13,11,4,1,0,1.0,0.0,6.0,35.0,35.0,0.0,0.0,0.06,0.25,1.99018,2.03653,6.75,65.50009,18.43351,2.0
7,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,20.6,0.0,4.0,0.1,0.62199,0.0,1.79342,6.53,60.0,31.0074,2.05
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,20.6,0.0,4.0,0.1,0.62199,2.0,1.79342,6.85,60.0,30.0553,2.01
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,17.6,0.0,4.0,0.1,0.60924,4.0,1.78217,6.46,60.0,30.3317,1.53
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,16.1,0.0,2.0,0.1,0.60924,6.0,1.78217,6.52,60.0,30.5467,1.42
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,17.8,0.0,4.0,0.1,0.60924,8.0,1.77332,6.5,60.0,31.0381,1.24
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,22.6,0.0,4.0,0.1,0.57399,10.0,1.71532,6.55,60.0,30.7924,0.75
10,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,0.1,0.3,0.0,2.084,7.74382,55.0,25.0,0.78311
10,13,4,2,11,4,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,0.1,0.3,10.0,2.34404,8.21499,63.247,18.29517,0.29833
10,13,4,2,15,4,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,0.1,0.3,20.0,2.35015,8.13921,65.877,18.06484,0.19711
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,0.1,0.3,20.5,2.35015,8.0173,65.877,18.06484,0.18645
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,0.1,0.3,21.0,2.35015,7.84926,65.877,18.06484,0.17047
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,0.1,0.3,22.0,2.22204,7.82949,65.587,18.76784,0.17047
10,5,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0.12,0.0,0.0,3.86,7.0,81.0,12.2,0.55
10,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0.12,0.0,0.0,3.18,7.1,75.8,15.3,0.57
1,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0.12,0.0,0.0,2.16,8.7,77.3,22.3,0.06
1,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0.12,0.0,0.0,2.25,8.8,77.0,20.1,0.03
1,0,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0.12,0.0,0.0,1.82,6.7,80.0,29.9,0.01
1,5,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0.12,0.0,22.28321,2.26,10.7,84.1,16.9,0.12
1,13,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0.12,0.0,9.53373,2.21,9.8,80.7,20.5,0.02
1,13,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.0,2.0,0.0,0.12,0.0,15.84383,2.03,10.0,81.5,21.3,0.07
1,5,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,0.0,3.7,7.31177,69.0,11.0,0.01619
1,6,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,0.0,3.7,7.05077,63.0,11.0,0.01181
1,6,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,0.0,3.7,7.05077,66.0,11.0,0.01812
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,0.0,2.85034,7.2053,65.0,14.7,0.02763
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,0.0,3.2093,7.55161,67.0,12.9,0.04223
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,25.0,2.93413,7.76529,65.0,16.7,0.01279
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,14.28571,3.24286,7.91188,67.0,14.0,0.01041
1,13,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,0.0,2.95714,7.21376,65.0,14.0,0.00707
1,2,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.01,0.28,0.0,3.34711,7.09196,65.0,12.1,0.00779
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.24,0.0,2.36,8.6,64.1,14.7,1.6
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.48,0.0,2.08,8.5,65.2,18.3,4.2
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.72,0.0,1.9,8.3,63.7,20.7,5.3
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.24,0.0,2.06,8.5,71.3,18.4,1.5
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.48,0.0,1.9,8.3,70.6,21.1,5.0
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.72,0.0,2.35,8.7,70.8,15.0,7.3
