Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V3_Ventilation Duration (min),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial pH,Initial TN (%),CH4-C loss (%)
10,13,4,2,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.1,10.0,0.0,26.366,62.24887,6.71157,1.57849,3.31
10,13,4,2,12,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.1,25.0,0.0,24.4799,68.41146,8.04204,1.71941,3.92
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.0,0.0,21.0,0.06,0.0,0.21,11.5,55.0,7.26,2.34,0.00012
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,0.0,0.0,21.0,0.06,20.0,0.21,14.7,55.0,7.36,2.52,4e-05
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,0.0,0.0,21.0,0.06,20.0,0.21,14.0,55.0,7.21,2.52,4e-05
0,13,4,27,11,4,1,0,1.0,0.0,2.0,31.0,0.0,0.0,31.0,0.06,0.0,0.09384,14.2,65.4,9.1,2.1,0.05
0,13,4,27,11,4,1,0,1.0,0.0,2.0,31.0,0.0,0.0,31.0,0.06,0.0,0.15639,14.2,65.4,9.1,2.1,0.04
0,13,4,27,11,4,1,0,1.0,20.0,2.0,31.0,10.0,1.0,31.0,0.06,0.0,0.28151,14.2,65.4,9.1,2.1,0.05
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,0.0,0.2,10.57997,72.1,7.82186,2.77826,1.5
8,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,10.0,0.2,11.30095,72.1,7.57287,2.59565,0.81
8,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,10.0,0.2,10.89254,72.1,7.78543,2.6837,0.62
8,13,4,30,3,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,12.5,0.2,11.19228,72.1,7.75506,2.68042,0.69
8,13,4,4,3,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,12.5,0.2,11.3794,72.1,7.69433,2.67717,0.62
10,13,4,27,11,4,1,0,1.0,0.0,1.0,21.0,0.0,0.0,21.0,1.2096,0.0,0.24,19.9,59.81,7.3,1.91,0.38
10,0,4,27,11,4,1,0,1.0,0.0,1.0,21.0,0.0,0.0,21.0,1.2096,0.0,0.24,19.9,60.21,7.86,1.79,0.43
7,8,4,27,11,4,1,0,1.0,0.0,15.0,15.0,0.0,0.0,15.0,0.018,0.0,0.9532,12.88,65.03,7.88046,2.16588,0.38776
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,0.0,0.0,15.0,0.018,29.0,0.90506,24.41,63.17,7.88046,1.92582,0.2855
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,0.0,0.0,15.0,0.018,29.0,0.88629,27.43,62.39,7.69614,1.84851,0.32892
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,0.0,0.0,15.0,0.018,29.0,0.89127,28.06,62.6,7.88046,1.81596,0.30074
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,0.0,0.0,15.0,0.018,29.0,0.8765,16.31,61.97,7.88046,2.06009,0.34662
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,0.0,0.0,15.0,0.018,29.0,0.91149,39.93,63.43,7.88046,1.86072,0.30362
5,13,4,27,11,4,1,0,0.0,0.0,7.0,45.0,0.0,2.0,0.0,0.06,0.0,0.0,23.8,70.79222,8.2,1.79,0.22
5,13,4,27,11,4,1,0,0.0,0.0,7.0,45.0,0.0,2.0,0.0,0.06,0.0,0.0,30.6,67.0005,8.4,1.45,0.19
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,0.0,2.0,0.0,1.2096,0.0,0.0,17.26269,63.6,8.11709,2.12625,0.24
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,0.0,0.0,70.0,1.2096,0.0,0.18,17.26269,63.6,8.11709,2.12625,0.32
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,0.0,0.0,70.0,1.2096,0.0,0.36,17.26269,63.6,8.11709,2.12625,0.09
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,0.0,0.0,70.0,1.2096,0.0,0.54,17.26269,63.6,8.11709,2.12625,0.01
10,13,4,27,11,4,1,0,1.0,20.0,4.0,70.0,40.0,1.0,70.0,1.2096,0.0,0.54,17.26269,63.6,8.11709,2.12625,0.03
