Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
10,14,4,4,11,4,1,0,1.0,0.0,4.0,28.0,28.0,0.0,0.0,10.0,0.06,0.36,58.69,1.96,18.23,7.89913,11.36
3,13,4,27,11,4,1,0,1.0,20.0,4.0,30.0,30.0,1.0,40.0,0.0,0.06,0.58662,53.59,1.1,32.46,7.72698,23.17
3,13,3,27,11,4,1,0,1.0,20.0,4.0,30.0,30.0,1.0,40.0,0.0,0.06,1.50942,59.43618,1.69475,22.83267,6.49706,14.5
3,13,4,16,11,4,1,0,1.0,20.0,4.0,30.0,30.0,1.0,40.0,2.54,0.06,0.5724,58.6187,1.72699,22.42524,6.82019,12.31
3,13,4,25,11,4,1,0,1.0,20.0,4.0,30.0,30.0,1.0,40.0,2.54,0.06,0.5724,58.6187,1.72699,22.42524,6.82019,20.84
10,13,4,27,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,0.0,1.2,0.0,65.0,1.69,22.46154,7.56,26.82
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,15.67944,1.2,0.0,65.0,1.51,24.96689,8.03,21.65
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,31.35889,1.2,0.0,65.0,1.41,26.48227,8.17,7.31
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,47.03833,1.2,0.0,65.0,1.35,29.88889,8.33,5.47
10,13,4,27,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.0,0.06,0.38,67.6,2.22446,17.4312,7.779,29.26
10,13,4,30,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.408,0.06,0.38,55.33,2.06768,14.83745,6.76537,16.11
10,13,4,6,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.408,0.06,0.38,57.52,2.16937,16.20429,8.01878,30.93
10,13,4,30,2,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.408,0.06,0.38,56.72,2.27531,13.97506,7.24492,16.12
10,13,4,27,11,4,1,0,1.0,0.0,5.0,28.0,28.0,0.0,0.0,0.0,0.06,0.48,57.54093,2.13,19.25,7.08396,24.95
