Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
1,14,1,0,9,34.0,34.0,1,30.0,8,8,0.0,0.06,60.0,41,0.0,15,20.87,7.36
1,14,1,0,9,34.0,34.0,1,30.0,8,8,7.5,0.06,60.0,56,0.0,15,19.98,7.06
1,14,1,0,9,34.0,34.0,1,30.0,8,8,7.5,0.06,60.0,51,0.0,15,20.24,7.42
1,14,1,0,9,34.0,34.0,1,30.0,8,8,7.5,0.06,60.0,28,0.0,5,20.3,7.38
1,14,0,1,9,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,34,0.79,15,20.46,6.9
3,14,0,1,9,112.0,0.0,2,0.0,0,12,0.0,1.24,64.9,41,0.0,15,15.75,8.0
3,14,0,1,9,112.0,0.0,2,0.0,0,12,2.82,1.63,64.5,34,0.0,15,13.04,7.6
1,6,1,0,8,21.0,21.0,1,1.0,2,2,0.0,0.05,61.72,41,0.17,15,12.7,8.21
1,6,1,0,8,21.0,21.0,1,1.0,2,2,1.05,0.05,61.81,56,0.17,15,12.41,7.92
1,6,1,0,8,21.0,21.0,1,1.0,2,2,0.03,0.05,58.87,13,0.17,15,13.88,7.86
1,14,1,1,9,42.08,23.1,0,3.77,0,8,4.81,1.42,64.26,41,0.79,15,20.46,7.71
1,14,1,1,9,56.0,28.0,0,0.0,0,8,8.48,0.4,65.0,6,0.0,15,23.17,7.87
1,14,1,1,9,56.0,28.0,0,0.0,0,8,16.95,0.4,65.0,6,0.0,15,24.28,8.26
1,14,1,1,9,56.0,28.0,0,0.0,0,8,25.43,0.4,65.0,6,0.0,15,23.31,8.4
1,14,1,1,9,56.0,28.0,0,0.0,0,8,9.04,0.4,65.0,6,0.0,0,23.17,7.88
1,14,1,1,9,56.0,28.0,0,0.0,0,8,9.61,0.4,65.0,6,0.0,0,23.17,8.51
1,14,1,1,9,56.0,28.0,0,0.0,0,8,10.17,0.4,65.0,6,0.0,0,23.07,7.82
1,14,1,0,3,35.0,35.0,0,0.0,0,9,2.25,0.02,65.15,25,0.5,15,29.01,8.56
1,14,1,0,3,35.0,35.0,0,0.0,0,9,2.57,0.02,65.1,25,0.5,11,30.34,8.77
1,14,1,0,3,35.0,35.0,0,0.0,0,9,3.32,0.02,64.81,25,0.5,11,26.95,9.13
1,14,1,0,3,35.0,35.0,0,0.0,0,9,4.07,0.02,65.15,25,0.5,11,29.05,9.11
1,25,1,0,9,40.0,30.0,1,30.0,9,6,0.0,0.11,64.55,41,7.69,15,16.54,8.51
1,25,1,0,9,40.0,30.0,1,30.0,9,6,6.0,0.11,63.56,51,7.32,15,16.4,8.2
1,25,1,0,9,40.0,30.0,1,30.0,9,6,15.0,0.05,62.07,48,6.82,15,15.97,8.4
1,25,1,0,9,40.0,30.0,1,30.0,9,6,1.46,0.11,65.17,55,7.79,15,16.35,8.31
1,5,1,0,3,24.0,24.0,0,0.0,0,20,2.56,0.03,63.5,36,0.76,15,20.5,9.16
1,5,1,0,3,24.0,24.0,0,0.0,0,20,0.0,0.03,63.5,41,0.77,15,20.5,8.61
1,25,1,0,8,56.0,56.0,1,0.0,0,11,6.0,0.13,55.0,6,1.11,15,23.99,7.56
1,25,1,0,8,56.0,56.0,1,0.0,0,11,8.0,0.13,55.0,6,1.11,15,22.32,8.31
1,25,1,0,8,56.0,56.0,1,0.0,0,11,12.0,0.13,55.0,6,1.11,15,21.14,8.62
1,25,1,0,8,56.0,56.0,1,0.0,0,11,18.0,0.13,55.0,6,1.11,15,20.4,8.95
1,1,1,0,9,35.0,35.0,0,0.0,0,4,0.0,0.06,69.2,41,0.3,15,18.4,7.89
1,1,1,0,9,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,20,0.3,10,18.4,8.05
1,1,1,0,9,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,21,0.3,12,18.4,7.78
1,1,1,0,9,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,8,0.3,12,18.4,8.13
1,1,1,0,9,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,20,0.3,12,18.4,7.23
3,14,0,2,9,82.0,0.0,2,0.0,0,15,1.38,5.46,63.7,32,0.0,15,15.4,7.93
3,14,0,2,9,82.0,0.0,2,0.0,0,15,9.64,5.46,63.7,6,0.0,13,17.51,8.11
1,12,1,0,9,50.0,50.0,1,10.0,7,8,2.39,0.18,58.1,32,5.97,15,27.91,7.35
1,12,1,0,9,35.0,35.0,1,10.0,7,5,2.5,0.18,60.0,56,6.25,13,27.0,7.97
1,12,1,0,9,35.0,35.0,1,10.0,7,5,9.23,0.18,60.0,56,6.25,13,26.0,7.78
1,12,1,0,9,35.0,35.0,1,10.0,7,5,16.92,0.18,60.0,56,6.25,13,26.3,7.71
