Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
1,11,1,0,7,35.0,35.0,1,10.0,8,6,26.25,0.19,58.1,49,5.97,10,26.0,0.04
1,11,1,0,7,42.08,23.1,1,3.77,8,6,4.81,1.42,64.26,49,0.79,10,20.46,0.04
3,6,0,1,8,35.0,0.0,2,0.0,0,7,3.02,1.0,66.85,28,0.0,11,18.23,0.49
3,6,0,1,8,35.0,0.0,2,0.0,0,7,6.06,1.0,67.02,12,0.0,12,18.23,1.04
3,6,0,1,8,35.0,0.0,2,0.0,0,7,8.87,1.0,66.18,12,0.0,12,20.05,1.13
3,6,0,1,8,35.0,0.0,2,0.0,0,7,11.88,1.0,66.32,12,0.0,12,19.55,1.26
1,13,1,0,7,34.0,34.0,1,30.0,9,8,0.0,0.06,60.0,34,0.0,11,20.87,1.24
1,13,1,0,7,34.0,34.0,1,30.0,9,8,7.5,0.06,60.0,49,0.0,11,19.98,1.4
1,13,1,0,7,34.0,34.0,1,30.0,9,8,7.5,0.06,60.0,44,0.0,11,20.24,2.74
1,13,1,0,7,34.0,34.0,1,30.0,9,8,7.5,0.06,60.0,24,0.0,2,20.3,1.76
1,13,0,1,7,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,34,0.79,11,20.46,0.03
1,13,0,1,7,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,29,0.79,11,20.46,0.02
3,13,0,1,7,112.0,0.0,2,0.0,0,12,0.0,1.24,64.9,34,0.0,11,15.75,1.29
3,13,0,1,7,112.0,0.0,2,0.0,0,12,2.82,1.63,64.5,29,0.0,11,13.04,1.39
1,12,1,0,4,54.0,54.0,0,0.0,0,7,0.0,0.08,65.0,34,0.05,11,25.0,2.92
1,12,1,0,4,54.0,54.0,0,0.0,0,7,5.0,0.08,65.0,1,0.05,11,25.0,2.5
1,5,1,0,6,21.0,21.0,1,1.0,3,2,0.0,0.05,61.72,34,0.17,11,12.7,0.51
1,5,1,0,6,21.0,21.0,1,1.0,3,2,1.05,0.05,61.81,49,0.17,11,12.41,1.62
1,5,1,0,6,21.0,21.0,1,1.0,3,2,0.03,0.05,58.87,10,0.17,11,13.88,1.35
1,22,1,0,7,40.0,30.0,1,30.0,10,6,0.0,0.11,64.55,34,7.69,11,16.54,0.4
1,22,1,0,7,40.0,30.0,1,30.0,10,6,6.0,0.11,63.56,44,7.32,11,16.4,3.11
1,22,1,0,7,40.0,30.0,1,30.0,10,6,15.0,0.05,62.07,40,6.82,11,15.97,0.46
1,22,1,0,7,40.0,30.0,1,30.0,10,6,1.46,0.11,65.17,48,7.79,11,16.35,1.12
1,22,1,0,6,56.0,56.0,1,0.0,0,11,0.0,0.13,55.0,34,1.11,11,25.02,2.23
1,22,1,0,6,56.0,56.0,1,0.0,0,11,2.0,0.13,55.0,5,1.11,11,25.09,1.84
1,22,1,0,6,56.0,56.0,1,0.0,0,11,4.0,0.13,55.0,5,1.11,11,25.0,0.37
1,22,1,0,6,56.0,56.0,1,0.0,0,11,6.0,0.13,55.0,5,1.11,11,23.99,0.22
1,22,1,0,6,56.0,56.0,1,0.0,0,11,8.0,0.13,55.0,5,1.11,11,22.32,0.01
1,22,1,0,6,56.0,56.0,1,0.0,0,11,12.0,0.13,55.0,5,1.11,11,21.14,0.08
1,22,1,0,6,56.0,56.0,1,0.0,0,11,18.0,0.13,55.0,5,1.11,11,20.4,0.18
1,1,1,0,7,35.0,35.0,0,0.0,0,4,0.0,0.06,69.2,34,0.3,11,18.4,1.33
1,1,1,0,7,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,16,0.3,7,18.4,2.01
1,1,1,0,7,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,17,0.3,9,18.4,3.45
1,1,1,0,7,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,6,0.3,9,18.4,3.08
1,1,1,0,7,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,16,0.3,9,18.4,4.98
1,15,1,0,6,50.0,50.0,1,20.0,6,7,0.0,0.29,67.71,34,0.11,11,21.24,0.02
1,15,1,0,6,50.0,50.0,1,20.0,6,7,12.0,0.29,66.08,5,0.23,11,21.21,0.06
3,13,0,2,7,82.0,0.0,2,0.0,0,15,1.38,5.46,63.7,28,0.0,11,15.4,1.61
3,13,0,2,7,82.0,0.0,2,0.0,0,15,9.64,5.46,63.7,5,0.0,10,17.51,1.32
1,11,1,0,7,50.0,50.0,1,10.0,8,8,2.39,0.18,58.1,28,5.97,11,27.91,0.63
1,11,1,0,7,50.0,50.0,1,10.0,8,7,2.5,0.18,60.0,28,6.25,11,24.0,0.48
1,11,1,0,7,50.0,50.0,1,10.0,8,7,2.5,0.18,60.0,28,6.25,11,32.4,0.36
1,11,1,0,7,50.0,50.0,1,10.0,8,7,2.5,0.18,60.0,28,6.25,11,40.3,0.23
1,11,1,0,7,50.0,50.0,1,10.0,8,7,2.5,0.18,60.0,44,6.25,10,24.0,0.58
1,11,1,0,7,50.0,50.0,1,10.0,8,7,5.0,0.18,60.0,44,6.25,10,24.4,1.41
1,11,1,0,7,50.0,50.0,1,10.0,8,7,7.5,0.18,60.0,44,6.25,10,24.1,1.59
1,11,1,0,7,50.0,50.0,1,10.0,8,7,10.0,0.18,60.0,44,6.25,10,24.1,1.54
1,11,1,0,7,35.0,35.0,1,10.0,8,5,2.5,0.18,60.0,49,6.25,10,27.0,0.02
