Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TC (%)
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,65.0,20,0.48,10,18.1,31.9
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,65.0,20,0.72,10,20.74,35.1
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,70.0,20,0.24,10,18.1,34.3
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,70.0,20,0.48,10,21.11,36.9
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,70.0,20,0.72,10,14.67,28.4
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,75.0,20,0.24,10,21.53,37.1
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,75.0,20,0.48,10,14.71,32.4
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,75.0,20,0.72,10,17.9,33.8
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,64.1,20,0.24,10,14.7,30.2
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,65.2,20,0.48,10,18.3,31.9
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,63.7,20,0.72,10,20.7,35.1
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,71.3,20,0.24,10,18.4,34.3
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,70.6,20,0.48,10,21.1,36.9
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,70.8,20,0.72,10,15.0,28.4
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,75.7,20,0.24,10,21.2,37.1
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,76.8,20,0.48,10,14.9,32.4
1,2,1,0,7,37.0,37.0,0,0.0,0,3,0.0,0.06,74.0,20,0.72,10,18.0,33.8
3,3,0,2,5,21.0,0.0,2,0.0,0,10,0.0,2.0,60.0,20,0.0,10,26.03,27.32
3,3,0,2,5,21.0,0.0,2,0.0,0,10,19.98,2.0,60.0,18,0.0,10,26.03,32.28
3,3,0,2,5,21.0,0.0,2,0.0,0,10,19.98,2.0,60.0,18,0.0,10,26.03,33.27
3,3,0,2,5,21.0,0.0,2,0.0,0,10,19.98,2.0,60.0,18,0.0,10,26.03,36.02
3,3,0,2,5,21.0,0.0,2,0.0,0,10,19.98,2.0,60.0,18,0.0,10,26.03,29.04
3,3,0,2,5,21.0,0.0,2,0.0,0,10,19.98,2.0,60.0,18,0.0,10,26.03,30.8
3,3,0,2,5,21.0,0.0,2,0.0,0,10,19.98,2.0,60.0,18,0.0,10,26.03,29.34
3,3,0,2,5,21.0,0.0,2,0.0,0,10,19.98,2.0,60.0,18,0.0,10,26.03,30.63
1,1,1,0,7,31.0,30.0,0,0.0,0,1,2.83,0.95,69.47,20,0.31,10,13.16,22.81
1,12,1,0,0,35.0,35.0,0,0.0,0,7,0.0,0.16,66.03,20,0.81,10,21.96,28.43
1,12,1,0,0,35.0,35.0,0,0.0,0,7,0.0,0.3,65.69,20,0.6,10,21.51,26.95
1,12,1,0,0,35.0,35.0,0,0.0,0,7,0.0,0.57,66.14,20,0.81,10,21.64,27.71
3,1,0,1,7,70.0,0.0,2,0.0,0,8,0.0,1.2,64.0,20,0.0,10,17.4,28.4
3,1,1,1,7,70.0,0.0,2,0.0,0,8,0.0,1.2,64.0,20,0.0,10,17.4,28.5
3,1,0,1,7,70.0,0.0,2,0.0,0,4,0.0,1.2,64.0,20,0.0,10,17.4,28.5
3,1,1,1,7,70.0,0.0,2,0.0,0,4,0.0,1.2,64.0,20,0.0,10,17.4,28.7
2,1,0,1,7,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,20,0.0,10,17.4,31.3
2,1,1,1,7,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,20,0.0,10,17.4,31.6
1,1,1,0,6,35.0,35.0,0,0.0,0,4,0.0,0.06,72.1,20,0.2,10,11.37,21.95
3,19,1,0,5,28.0,0.0,2,0.0,0,7,0.0,0.13,61.46,20,0.0,10,30.88,37.7
