Aeration method,Material_2,M1_is Enclosed,Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
1,1,1,0,3,30.0,30.0,1,40.0,2,3,0.0,0.06,58.78,22,0.77,11,23.95,101.86
1,1,1,0,3,30.0,30.0,1,40.0,2,3,0.0,0.06,58.07,25,0.78,11,23.5,103.33
1,1,1,0,3,30.0,30.0,1,40.0,2,3,0.0,0.06,58.07,20,0.78,11,23.5,87.77
1,1,1,0,6,35.0,35.0,1,30.0,3,1,0.0,0.06,67.6,22,0.38,11,17.43,139.53
1,1,1,0,6,35.0,35.0,1,30.0,3,1,0.41,0.06,66.1,23,0.38,1,13.98,136.4
1,11,1,0,6,50.0,50.0,0,0.0,0,4,0.0,0.1,58.0,22,3.97,11,25.0,93.06
1,11,1,0,6,50.0,50.0,0,0.0,0,4,10.0,0.1,61.73,4,5.07,11,26.25,99.34
1,11,1,0,6,50.0,50.0,0,0.0,0,4,10.0,0.1,61.73,29,5.07,11,26.25,98.21
1,11,1,0,6,50.0,50.0,0,0.0,0,4,20.0,0.1,61.72,4,2.39,13,16.26,102.41
1,1,1,0,5,34.0,34.0,0,0.0,0,5,0.0,0.06,65.0,22,0.27,11,11.37,103.21
1,1,1,0,5,34.0,34.0,0,0.0,0,5,10.0,0.06,65.0,27,0.26,11,11.37,97.4
1,1,1,0,5,34.0,34.0,0,0.0,0,5,10.29,0.06,65.0,27,0.26,2,11.37,120.31
1,1,1,0,5,34.0,34.0,0,0.0,0,5,14.57,0.06,65.0,27,0.26,2,11.37,111.0
1,1,1,0,6,35.0,0.0,0,0.0,0,5,0.0,0.06,69.2,22,0.25,11,18.43,98.34
1,1,1,0,6,35.0,0.0,0,0.0,0,5,8.87,0.06,63.46,11,0.25,8,18.43,108.14
1,1,1,0,6,35.0,0.0,0,0.0,0,5,4.0,0.06,65.48,27,0.25,11,18.43,100.55
1,1,1,0,6,35.0,0.0,0,0.0,0,5,8.87,0.06,63.46,11,0.25,11,18.43,78.42
1,11,1,0,4,50.0,15.7,0,1.02,0,8,0.0,0.1,60.0,22,0.62,11,31.01,120.71
1,11,1,0,4,50.0,16.3,0,0.03,0,8,2.0,0.1,60.0,8,0.0,11,30.06,127.02
1,11,1,0,4,50.0,10.7,0,0.03,0,8,4.0,0.1,60.0,8,0.6,11,30.33,137.88
