Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TN (%)
0,7,1,0,6,42.08,23.1,1,3.77,11,0,4.81,1.42,64.26,3,0.79,12,20.46,1.74
0,14,1,0,6,42.08,23.1,1,3.77,11,0,4.81,1.42,64.26,3,0.79,12,20.46,1.82
3,7,0,2,7,52.0,0.0,2,0.0,0,13,0.0,4.93,65.0,30,0.0,12,16.75,1.67
3,7,0,2,7,52.0,0.0,2,0.0,0,13,23.0,6.64,65.0,3,0.0,12,24.09,1.66
3,7,0,2,7,42.08,23.1,2,3.77,0,13,4.81,1.42,64.26,3,0.79,12,20.46,1.66
3,7,0,2,7,42.08,23.1,2,3.77,0,13,4.81,1.42,64.26,3,0.79,12,20.46,1.49
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,30,0.79,12,20.46,1.62
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,32,0.79,12,20.46,1.4
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,43,0.79,12,20.46,1.25
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,32,0.79,15,20.46,1.38
1,13,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,30,0.79,12,20.46,1.13
1,13,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,32,0.79,12,20.46,0.98
1,13,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,43,0.79,12,20.46,0.93
1,13,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,32,0.79,15,20.46,0.98
1,14,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,30,0.79,12,20.46,1.23
1,14,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,32,0.79,12,20.46,0.93
1,14,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,43,0.79,12,20.46,1.0
1,14,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,32,0.79,15,20.46,0.95
2,7,0,0,7,84.0,0.0,2,0.0,0,0,0.0,0.12,81.0,30,0.0,12,12.2,2.91
2,11,0,0,7,84.0,0.0,2,0.0,0,0,0.0,0.12,75.8,30,0.0,12,15.3,2.79
2,11,0,0,1,84.0,0.0,2,0.0,0,0,0.0,0.12,77.3,30,0.0,12,22.3,2.04
2,11,0,0,1,84.0,0.0,2,0.0,0,0,0.0,0.12,77.0,30,0.0,12,20.1,2.22
2,18,0,0,1,84.0,0.0,2,0.0,0,0,0.0,0.12,80.0,30,0.0,12,29.9,1.75
2,7,0,0,1,84.0,0.0,2,0.0,0,0,22.28,0.12,84.1,3,0.0,12,16.9,1.68
2,11,0,0,1,84.0,0.0,2,0.0,0,0,9.53,0.12,80.7,3,0.0,12,20.5,1.9
2,11,0,0,1,84.0,0.0,2,0.0,0,0,15.84,0.12,81.5,3,0.0,12,21.3,1.72
1,1,1,0,0,60.0,60.0,0,0.0,0,5,14.15,0.04,60.0,38,0.22,12,16.0,2.7
1,1,1,0,0,60.0,60.0,0,0.0,0,5,13.15,0.04,60.0,38,0.44,12,19.0,2.7
