Additive_2,Application Rate (%DW),Period (d),Material_2,V1_Ventilation Type,Initial Moisture Content (%),Compost volume (m3),Additive_3,Initial pH,Material_3,V2_Ventilation Interval (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),Turning times,Additive_1,Material_Main,Initial GI (%),M1_is Enclosed,Additive_4,V4_Ventilation Day, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
11.0,6.817234860313603,36.0,8.0,1.0,58.450535241381964,2.147162565177521,4.0,11.21563492066386,4.0,39.0,24.51060389572691,0.22912911331781746,29.20837022229785,10.0,23.0,0,27.32884658064516,1.0,1.0,35.0,1.0,1.596639959668374,39.1346096155209,100.58381500000002,4.628911741101467,1.2748818397521973,0.20816030346847866,26.517935667934005
5.0,7.580105221463732,57.0,5.0,1.0,64.7213425936334,2.147162565177521,4.0,9.931648731821644,4.0,510.0,8.777178507786044,1.5641253782954903,0.19651567334346476,18.0,22.0,0,27.328846580645163,1.0,1.0,42.0,2.0,1.596639959668374,14.013993938673629,103.74502000000001,4.703915335178141,1.5908217430114746,0.15353210498317438,26.845356091403392
6.0,4.19044283072031,45.0,6.0,1.0,70.69373647779003,2.147162565177521,4.0,9.52569462804268,4.0,1144.0,9.626171824833405,6.653383773255911,17.78421623826802,6.0,31.0,0,27.32884658064516,1.0,1.0,32.0,1.0,1.596639959668374,15.369530594162846,104.30041300000002,4.449893386263794,1.605299949645996,0.1743327174876562,26.389240274705706
8.0,6.506825049642942,119.0,12.0,1.0,72.12002656374933,2.147162565177521,4.0,8.351871374024412,9.0,1181.0,33.9929630086108,9.202475413475982,2.6652859153180475,29.0,36.0,0,27.32884658064516,1.0,1.0,34.0,0.0,1.596639959668374,54.27452308707688,100.87393,5.622387289512581,0.5329787135124207,0.16730348273253343,25.822499245332505
7.0,1.0845944901888516,68.0,6.0,1.0,46.15417332846093,2.147162565177521,4.0,7.850745643641593,9.0,759.0,27.19562811698008,1.0584345757501434,20.12078514131534,12.0,37.0,0,27.32884658064516,0.0,1.0,36.0,1.0,1.596639959668374,43.42162657985118,102.11156199999999,3.419495321458776,1.2767188549041748,0.17263744611594478,24.369136433887324
0.0,0.22612595189018697,55.0,0.0,1.0,80.14013931380802,2.147162565177521,4.0,7.463620224978994,0.0,1175.0,45.3032024546958,1.9932675875322903,57.797798528521014,13.0,19.0,0,27.328846580645163,1.0,1.0,38.0,0.0,1.596639959668374,72.33290334011369,102.232017,6.900052102328634,0.38355088233947754,0.18261667358961406,25.21729681681821
3.0,5.342984877129043,102.0,2.0,1.0,51.55885301445923,2.147162565177521,4.0,8.302904625836966,4.0,707.0,37.382243607675434,2.0093356679719743,25.770541118556963,23.0,14.0,0,27.32884658064516,1.0,1.0,72.0,0.0,1.596639959668374,59.68598392607224,102.833142,5.886578070747175,0.7112208008766174,0.16805595615279778,24.13796891673695
3.0,4.864787218878205,86.0,3.0,1.0,80.70608961209314,2.147162565177521,4.0,8.212249510754305,3.0,1083.0,21.89023279049783,1.8777796133697133,7.0698984911977565,29.0,22.0,0,27.32884658064516,1.0,1.0,66.0,0.0,1.596639959668374,34.95082039975178,102.40348499999999,4.4963006079392125,1.611793875694275,0.17989561104790563,24.244061036838623
6.0,7.9605346884806405,88.0,2.0,1.0,72.9439586237165,2.147162565177521,4.0,6.772499706298067,9.0,845.0,34.446310912004066,5.224343006373434,0.3215729071254114,16.0,24.0,0,27.328846580645163,0.0,1.0,40.0,1.0,1.596639959668374,54.99835646526644,104.18674900000003,2.7358000545577323,0.414533406496048,0.16667006747346674,23.128485837010608
0.0,0.6769628358759716,115.0,2.0,1.0,78.64677938205878,2.147162565177521,4.0,4.73060826046702,2.0,347.0,17.204668947072424,2.533501938535548,11.333510057697335,23.0,19.0,0,27.32884658064516,1.0,1.0,36.0,0.0,1.596639959668374,27.46966193376144,102.59072599999998,4.54291027124863,0.5902476906776428,0.21402917358332618,24.21467928669846
6.0,5.379010367207446,93.0,14.0,1.0,76.76589288612902,2.147162565177521,4.0,8.027619530077336,3.0,1257.0,12.677151633144861,3.056212984370524,42.808129025765524,23.0,14.0,0,27.32884658064516,0.0,1.0,66.0,2.0,1.596639959668374,20.240846872254274,102.645476,1.2457060105779445,1.6229074001312256,0.15783321057047991,24.038398935993882
1.0,3.119300712397415,123.0,3.0,1.0,59.37743551398165,2.147162565177521,4.0,6.443160749199367,3.0,1374.0,19.22803118174243,1.3700457453509896,39.34905782276409,11.0,25.0,0,27.32884658064516,0.0,1.0,47.0,1.0,1.596639959668374,30.700242930519472,102.70262499999998,1.7561390725336272,0.6786986589431763,0.18942668715898953,25.235534406325403
1.0,1.9215242336398501,40.0,13.0,1.0,66.63475429668998,2.147162565177521,4.0,10.922422274970723,5.0,834.0,36.44452540874118,4.210555231839399,59.753664941103104,29.0,34.0,0,27.32884658064516,0.0,1.0,34.0,1.0,1.596639959668374,58.188785578745545,103.28496300000002,6.288415587416566,0.388796865940094,0.15594822653815113,27.652433419639117
