Compost volume (m3),Initial pH,V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Material_2,Additive_1,Period (d),Additive_2,Turning times,V3_Ventilation Duration (min),V2_Ventilation Interval (min),M1_is Enclosed,Application Rate (%DW),Material_3,Material_Main,V4_Ventilation Day,Initial GI (%), Composting Method,Additive_3,Additive_4,Initial C/N (%),V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0996875,6.083065039771389,0.0,75.78885789094139,14.0,17.0,116.0,1.0,1.0,0.0,0.0,0.0,8.745008219344747,0.0,1,0.0,27.32884658064516,2.0,4.0,1.0,39.632210687483756,2.0,2.754411318174137,109.16340968186725,116.86361400000006,5.995188410455972,0.43453845381736755,0.13168279840987987,14.406721612094879
0.0996875,7.598713853473162,0.0,72.31416446461628,6.0,36.0,82.0,6.0,0.0,0.0,0.0,1.0,0.16733649990976462,4.0,1,0.0,27.32884658064516,0.0,4.0,1.0,35.25853286359184,2.0,2.754411318174137,97.11650198169212,113.75749100000003,4.670435450502605,0.30290156602859497,0.1332188214202037,12.209778425998037
0.0996875,6.553221138805485,0.0,58.26727894949469,3.0,18.0,44.0,8.0,0.0,0.0,0.0,0.0,5.875460735902419,9.0,1,0.0,27.32884658064516,2.0,4.0,1.0,41.97230104216574,2.0,2.754411318174137,115.60898104035343,113.53102200000004,5.962362532825956,0.4249187111854553,0.14201519654215075,1000000.0
0.0996875,6.907239522934624,9.859215659536748,64.70313201735114,13.0,15.0,56.0,3.0,3.0,38.123951267465706,317.0,1.0,4.867219768271998,5.0,1,5.0,27.32884658064516,2.0,4.0,1.0,44.20414224583376,1.0,2.754411318174137,121.75638971210401,113.39402400000004,6.809094813435912,0.3522016704082489,0.1966033003444752,20.903187582626153
0.0996875,5.7803022621992906,0.0,49.980182148102415,5.0,11.0,22.0,8.0,1.0,0.0,0.0,1.0,3.942899014466306,2.0,1,0.0,27.32884658064516,2.0,4.0,1.0,42.48782781846667,2.0,2.754411318174137,117.02895382781854,114.12560200000006,5.962362532825956,0.4249187111854553,0.13226433018164563,19.973945267830114
0.0996875,4.71139576961908,6.989190119783658,44.314916773337124,14.0,15.0,63.0,0.0,1.0,29.186320570767208,0.0,0.0,3.1009721343981402,5.0,1,44.0,27.32884658064516,2.0,4.0,1.0,45.101571354466664,0.0,2.754411318174137,124.22827860618142,114.62084200000007,5.197891471495482,0.4843808114528656,0.16149251352669627,22.399867328298946
0.0996875,6.4268217376075345,0.0,71.71199162096093,8.0,4.0,99.0,1.0,1.0,0.0,0.0,0.0,9.769418945102013,0.0,1,0.0,27.32884658064516,1.0,4.0,1.0,33.53002296832209,2.0,2.754411318174137,92.35547476258515,115.32153000000004,6.530878005329333,0.43453845381736755,0.09991145955026298,14.02202350403947
0.0996875,5.458057347540635,7.778382778147841,47.05304246951934,2.0,15.0,40.0,2.0,1.0,37.892060566424135,725.0,1.0,4.161944485500387,0.0,1,3.0,27.32884658064516,2.0,4.0,1.0,31.23640677921162,1.0,2.754411318174137,86.03791237175183,117.18903100000007,7.256578987558403,0.3859643042087555,0.15291741906908438,18.07651765044842
0.0996875,6.889878054551119,7.51429996330222,82.03842427997643,8.0,24.0,30.0,1.0,0.0,10.481641871104726,0.0,1.0,5.837627321166604,0.0,1,27.0,27.32884658064516,1.0,4.0,1.0,40.44930810638225,0.0,2.754411318174137,111.41403206053214,113.53184100000006,6.769581996365371,0.6147692203521729,0.157777554510502,20.537602523316316
0.0996875,4.4595979398144365,0.47185184320937434,46.373491872594165,14.0,30.0,23.0,5.0,0.0,0.0,0.0,1.0,8.244180040882032,0.0,1,0.0,27.32884658064516,2.0,4.0,1.0,33.21802396053279,2.0,2.754411318174137,91.49610116427118,116.91663400000004,5.585075801607998,0.4410916864871979,0.12460603148419386,24.633630585173563
0.0996875,9.78283188817522,0.0,80.5659277694256,2.0,6.0,86.0,1.0,0.0,0.0,0.0,0.0,0.7989076809845941,0.0,1,0.0,27.32884658064516,2.0,4.0,1.0,45.48694601800663,2.0,2.754411318174137,125.28975894117345,112.68212100000007,6.104001387465548,0.49243488907814026,0.10042206334634202,11.726149238878074
0.0996875,5.306128905823285,0.0,44.585389364328044,3.0,7.0,63.0,2.0,10.0,0.0,0.0,1.0,2.878569742147983,4.0,1,0.0,27.32884658064516,1.0,4.0,1.0,34.740689928792094,2.0,2.754411318174137,95.6901495410432,113.82928400000006,6.530878005329333,0.43453845381736755,0.1513212081423508,19.45882247331145
0.0996875,5.695965884905876,3.7997285610338407,44.89088747324403,13.0,13.0,71.0,0.0,5.0,50.46264784350344,346.0,0.0,6.911117249997966,9.0,1,39.0,27.32884658064516,2.0,4.0,1.0,37.382968402216385,1.0,2.754411318174137,102.96807127401094,112.79312500000007,6.126732539852023,0.47422492504119873,0.15046216239544907,20.286023586555746
0.0996875,4.805188345811842,0.0,56.57840763819146,12.0,4.0,112.0,0.0,6.0,0.0,0.0,1.0,4.01140417005737,2.0,1,0.0,27.32884658064516,0.0,4.0,1.0,39.87449592065373,2.0,2.5856240431131545,109.03623326767843,113.72283300000007,1000000.0,1000000.0,1000000.0,1000000.0
0.0996875,6.656434541719667,0.0,63.2374548947045,5.0,12.0,26.0,3.0,7.0,0.0,0.0,1.0,8.489163506677343,0.0,1,0.0,27.32884658064516,2.0,4.0,1.0,42.87820425891996,2.0,2.754411318174137,118.10421111375162,115.33275600000007,5.995188410455972,0.43453845381736755,0.1462596676323158,20.633827931293045
0.0996875,5.006435288557425,5.697257014239163,80.58023421256075,6.0,35.0,109.0,2.0,7.0,27.90632481681164,634.0,1.0,3.222298059950825,0.0,1,16.0,27.32884658064516,2.0,4.0,1.0,29.850650286676615,1.0,2.754411318174137,82.22096900448011,113.80490800000008,5.479895612980693,0.3360669016838074,0.153347827653832,20.25954308939844
0.0996875,4.9306512901929,0.0,65.80595181852728,4.0,2.0,76.0,8.0,18.0,0.0,0.0,1.0,0.574195267339519,4.0,1,0.0,27.328846580645163,0.0,4.0,1.0,36.193890064202,2.0,2.754411318174137,99.69286044158844,112.12487300000002,4.429081897893049,0.2984984219074249,0.2034325693567749,19.070717659828514
0.0996875,5.83638643890744,0.0,59.731298788670756,2.0,36.0,35.0,7.0,5.0,0.0,0.0,0.0,8.997744392380392,5.0,1,0.0,27.32884658064516,2.0,4.0,1.0,36.34192485085247,2.0,2.754411318174137,100.10060913342198,112.65011400000007,5.962362532825956,0.4249187111854553,0.1409349186295884,17.589937164480023
0.0996875,4.734201346777744,0.0,63.89428315747675,2.0,34.0,45.0,7.0,10.0,0.0,0.0,0.0,2.0069804040774395,0.0,1,0.0,27.32884658064516,1.0,4.0,1.0,43.93465612115884,2.0,2.754411318174137,121.01411408020853,113.18295400000007,6.124380387198515,0.4241209626197815,0.12045338096352642,24.758582907863882
0.0996875,4.927760692226245,0.05091709169400945,57.45687932889133,8.0,18.0,104.0,1.0,2.0,0.0,0.0,1.0,9.872691611001823,5.0,1,0.0,27.328846580645163,2.0,4.0,1.0,44.11188118567975,2.0,2.754411318174137,121.50226480378907,114.54510100000007,5.585075801607998,0.4337407052516937,0.1517274911653189,16.391050444225012
0.0996875,5.76748445892807,0.0,43.75626599645176,8.0,15.0,47.0,11.0,10.0,0.0,0.0,1.0,1.3948533621549342,3.0,1,0.0,27.32884658064516,2.0,4.0,1.0,36.99078013740238,2.0,2.754411318174137,101.88782347855218,113.54621800000007,5.962362532825956,0.4249187111854553,0.15725083390322261,22.440491816576895
0.0996875,5.691413223923151,1.8119330570177927,56.12098120122082,2.0,28.0,103.0,1.0,2.0,14.275474556562626,0.0,1.0,2.5374698193545844,3.0,1,78.0,27.32884658064516,2.0,4.0,1.0,34.42301985696649,0.0,2.754411318174137,94.81515549976156,113.03996400000005,6.126732539852023,0.4845946133136749,0.15308512765202556,20.57090563714916
0.0996875,5.600065183256034,7.848562296025097,83.51607849752563,6.0,36.0,121.0,3.0,1.0,42.64632121133834,0.0,1.0,8.715699409917661,4.0,1,21.0,27.32884658064516,0.0,4.0,1.0,30.99560012617875,0.0,2.754411318174137,85.37463180114646,114.31162550000005,4.034900790902877,0.2895163893699646,0.17067943804720698,18.245848534527955
0.0996875,5.371851033360983,0.0,58.45798628856929,4.0,34.0,130.0,1.0,27.0,0.0,0.0,1.0,1.7406906929431853,0.0,1,0.0,27.32884658064516,2.0,4.0,1.0,33.23367021665314,2.0,2.754411318174137,91.53919738921613,113.86441900000007,5.995188410455972,0.43453845381736755,0.16142930925553783,16.42226788414493
0.0996875,5.0921674696221535,0.0,63.997949553509784,13.0,37.0,59.0,8.0,5.0,1.4097553083496075,0.0,1.0,2.666485212498346,0.0,1,0.0,27.32884658064516,0.0,4.0,1.0,39.771161560067455,2.0,2.754411318174137,109.54613753798196,113.44143500000004,4.429081897893049,0.2979690134525299,0.16544533830011218,21.855880289127093
0.0996875,6.388086000667814,1.0069592191374774,77.13705937522417,14.0,22.0,14.0,5.0,4.0,0.0,0.0,1.0,8.149523050317015,3.0,1,0.0,27.32884658064516,0.0,4.0,1.0,44.29720464470956,2.0,2.754411318174137,122.01272183686396,113.11327400000006,4.799138647676691,0.3083864748477936,0.19946437775093817,23.156431980775483
0.0996875,5.314078283864648,0.0,69.51462410166073,2.0,2.0,101.0,8.0,0.0,0.0,0.0,0.0,5.789946225838741,3.0,1,0.0,27.32884658064516,2.0,4.0,1.0,41.083125436691645,2.0,2.754411318174137,113.15982568879126,114.14167200000006,5.962362532825956,0.4249187111854553,0.12652466677298785,12.955914575036637
0.0996875,6.931684424379148,1.8792483145157712,58.18452132905348,4.0,23.0,128.0,2.0,4.0,9.58883172481507,37.0,0.0,1.1371385483967622,5.0,1,69.0,27.328846580645163,2.0,4.0,1.0,33.162621180066495,1.0,2.754411318174137,91.34349911869651,112.02162100000005,6.478269354480771,0.5657764077186584,0.1547617936476733,19.467275958755955
0.0996875,6.505712994340435,2.043363084512664,71.77245736814622,3.0,13.0,13.0,1.0,3.0,44.38369442320297,0.0,1.0,2.952707218374382,5.0,1,6.0,27.32884658064516,0.0,4.0,1.0,30.98249623865282,0.0,2.754411318174137,85.81225278807743,114.26715700000003,4.2400692965255065,0.26439574360847473,0.19962147424962168,1000000.0
0.0996875,4.572739209405459,1.4478282733885828,54.49471983492615,8.0,38.0,34.0,1.0,7.0,24.901936534695583,0.0,0.0,3.8537290305730267,0.0,1,2.0,27.32884658064516,1.0,4.0,1.0,31.79666479784772,0.0,2.754411318174137,87.58109339938092,114.39576500000007,6.846364390918434,0.4943539798259735,0.1538818884618552,24.37141840375586
