Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
7,1,7.0,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,25.0,1.82,0,45.5,15,0.41667,3.65344
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,6,0.47575,2.32943
7,1,7.0,0,91.0,0,7.6,0.0,0.0,5,0.25,0.01275,60.0,30.0,1.67,0,50.1,6,0.4951,7.81575
7,1,7.0,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,6,0.43077,4.11289
7,1,7.0,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,15,0.43077,3.05309
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,6,0.47575,2.04637
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,6,0.47575,23.37209
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,38,0.47575,14.48837
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,51,0.47575,16.25581
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,38,0.47575,19.37209
