Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
3,1,2.11111,0,19.0,0,19.0,0.0,9.9,4,0.3946,10.0,70.0,26.34783,1.61,0,42.42,30,0.76493,18.9
10,1,5.83333,0,35.0,8,35.0,10.0,2.38663,4,0.187,5.96659,58.1,26.0,1.8681,1,48.57059,30,0.2139,33.01
10,1,5.83333,0,35.0,8,35.0,10.0,14.31981,4,0.187,5.96659,58.1,26.0,1.73697,1,45.16131,56,0.2139,28.94
10,1,5.83333,0,35.0,8,35.0,10.0,26.25298,4,0.187,5.96659,58.1,26.0,1.54555,1,40.18429,56,0.2139,21.28
10,1,5.83333,0,35.0,8,35.0,10.0,38.18616,4,0.187,5.96659,58.1,26.0,1.48859,1,38.70333,56,0.2139,17.39
5,0,5.0,1,35.0,0,0.0,0.0,3.01629,11,1.0,0.0,66.8467,25.6375,1.6298,0,38.39689,30,0.2,15.2
5,0,5.0,1,35.0,0,0.0,0.0,6.06463,11,1.0,0.0,67.0219,25.6375,1.62781,0,36.94362,13,0.2,10.5
5,0,5.0,1,35.0,0,0.0,0.0,8.86923,11,1.0,0.0,66.1752,24.30316,1.62185,0,37.14143,13,0.2,9.0
5,0,5.0,1,35.0,0,0.0,0.0,11.87687,11,1.0,0.0,66.3211,24.56283,1.62384,0,37.14143,13,0.2,4.2
10,0,9.33333,1,112.0,0,42.0,0.0,0.0,7,0.28,0.2569,65.4,25.0,1.4,0,43.93961,5,0.42092,42.8
10,0,9.33333,1,112.0,0,42.0,0.0,2.94985,7,0.28,0.26221,66.1,25.0,1.6,0,44.09714,32,0.42642,41.4
10,0,9.33333,1,112.0,0,0.0,0.0,0.0,7,1.0664,0.0,64.9,17.22075,3.4,0,38.19286,5,0.74535,46.54838
10,0,9.33333,1,112.0,0,0.0,0.0,2.8169,7,1.0664,0.0,64.5,18.53975,3.1,0,37.99286,32,0.7441,34.81425
7,1,7.71429,0,54.0,0,54.0,0.0,0.0,11,0.0938,0.05,65.0,25.0,1.97127,0,43.48908,5,0.57539,53.83
7,1,7.71429,0,54.0,0,54.0,0.0,5.0,11,0.0785,0.05,65.0,25.0,1.9161,0,43.48908,0,0.57539,47.08
10,1,7.0,1,56.0,0,28.0,0.0,0.0,7,0.4,5e-05,65.0,20.97153,1.87389,0,36.74975,5,0.285,36.8405
10,1,7.0,1,56.0,0,28.0,0.0,8.4771,7,0.4,5e-05,65.0,25.84374,1.52655,0,36.8634,5,0.29355,26.4139
10,1,7.0,1,56.0,0,28.0,0.0,16.95419,7,0.4,5e-05,65.0,22.71355,1.84576,0,39.6865,5,0.3021,16.5561
10,1,7.0,1,56.0,0,28.0,0.0,25.43129,7,0.4,4e-05,65.0,18.73096,2.04832,0,40.0574,5,0.31065,12.5751
10,1,7.0,1,56.0,0,28.0,0.0,9.04224,7,0.4,5e-05,65.0,25.84374,1.52655,0,36.8634,5,0.29412,12.7014
10,1,7.0,1,56.0,0,28.0,0.0,9.60738,7,0.4,5e-05,65.0,25.84374,1.52655,0,37.974,5,0.29469,9.85783
10,1,7.0,1,56.0,0,28.0,0.0,10.17252,7,0.4,5e-05,65.0,25.84374,1.52655,0,37.974,5,0.29526,18.3255
3,1,3.88889,0,35.0,0,35.0,0.0,2.25,7,0.02,0.5,66.647,29.0076,1.66134,0,41.4847,24,0.57359,44.2829
3,1,3.88889,0,35.0,0,35.0,0.0,1.8209,7,0.02,0.5,64.24035,32.0229,1.73107,0,41.8943,24,0.51128,0.2907
3,1,3.88889,0,35.0,0,35.0,0.0,2.5709,7,0.02,0.5,66.73435,30.3435,1.66134,0,41.5532,24,0.51435,19.0891
3,1,3.88889,0,35.0,0,35.0,0.0,3.3209,7,0.02,0.5,65.726,26.9466,1.74996,0,40.9596,24,0.55839,27.3256
