Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
8,1,5.55556,0,50.0,0,50.0,0.0,20.5,8,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,3,0.46474,11.2121
8,1,5.55556,0,50.0,0,50.0,0.0,21.0,8,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,3,0.46474,9.51515
8,1,5.55556,0,50.0,0,50.0,0.0,22.0,8,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,3,0.46474,9.18182
5,1,7.0,0,91.0,0,7.6,0.0,0.0,8,0.25,0.01275,60.0,20.0,1.99,0,39.8,3,0.46988,63.5179
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,57.0893
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,10,0.47575,59.3214
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,46.2857
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,63.4286
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,54.8571
5,1,7.0,0,91.0,0,30.0,0.0,12.5,8,0.25,0.41755,60.0,25.0,1.82,0,45.5,10,0.41667,57.9821
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,46.8214
5,1,7.0,0,91.0,0,7.6,0.0,0.0,8,0.25,0.01275,60.0,30.0,1.67,0,50.1,3,0.4951,65.3036
5,1,7.0,0,91.0,0,30.0,0.0,12.5,8,0.25,0.41755,60.0,30.0,1.63,0,48.9,3,0.43077,58.9643
5,1,7.0,0,91.0,0,30.0,0.0,12.5,8,0.25,0.41755,60.0,30.0,1.7,0,51.0,10,0.43077,57.625
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,51.1071
6,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,6.70897,75.32,17.96,2.2302,0,35.669,3,0.53992,22.82
6,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,1.00599,69.37,17.83,2.04406,0,33.9999,3,0.5,43.09
6,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.95037,66.06,19.19,2.48499,0,41.0879,3,0.48149,49.76
0,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,6.77337,76.28,21.77,2.00397,0,37.389,3,0.53267,23.45
0,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.80392,72.85,21.05,1.7652,0,31.363,3,0.52818,37.55
0,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.98111,63.45,22.43,2.23203,0,41.3478,3,0.57875,57.58
6,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,0.98586,67.86,12.13,3.13774,0,40.42,3,0.38503,32.63
0,1,0.0,0,32.0,0,32.0,0.0,0.0,8,0.1,6.77537,76.28,22.24,2.00397,0,37.389,3,0.53267,36.19
6,0,11.66667,2,70.0,0,0.0,0.0,0.0,2,22.5,0.0,68.32,23.01534,2.0896,0,41.74879,3,0.88889,34.44421
6,0,11.66667,2,70.0,0,0.0,0.0,0.6,2,22.5,0.0,68.32,22.51534,2.0896,0,41.42584,3,0.88889,28.30697
6,0,11.66667,2,70.0,0,0.0,0.0,1.0,2,22.5,0.0,68.32,22.51534,2.0896,0,41.42584,3,0.88889,29.97245
6,0,11.66667,2,70.0,0,0.0,0.0,1.7,2,22.5,0.0,68.32,23.01534,2.0896,0,41.74879,3,0.88889,30.68183
6,0,7.0,2,56.0,0,0.0,0.0,0.0,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19072,3,0.44444,46.88991
6,0,7.0,2,56.0,0,0.0,0.0,4.0,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19071,3,0.44444,34.85462
6,0,7.0,2,56.0,0,0.0,0.0,7.3,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19072,3,0.44444,33.33327
6,0,7.0,2,56.0,0,0.0,0.0,13.5,2,22.5,0.0,64.57171,20.19687,2.07544,0,37.1634,3,0.44444,23.79163
6,0,7.0,2,56.0,0,0.0,0.0,25.0,2,22.5,0.0,63.42216,21.36415,1.75006,0,36.08165,3,0.44444,13.35194
6,0,5.27176,2,45.0626,0,22.82844,3.65844,4.66667,2,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,21.21206
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,36.77
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.75724,56.2,40.0,2.2992,0,33.3763,3,0.78002,45.06
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.86928,58.8,35.0,2.00049,0,37.22423,3,0.75699,43.65
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.8932,60.9,30.0,1.8121,0,38.38823,3,0.75699,50.1
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.9429,61.9,25.0,2.12189,0,41.0651,3,0.47261,53.43
5,1,0.0,0,28.0,0,28.0,0.0,0.0,0,0.1,0.9429,61.9,20.0,2.35892,0,40.50493,3,0.47261,56.34
5,1,0.0,0,28.0,0,28.0,0.0,0.0,0,0.1,0.49312,64.5,15.0,3.07265,0,40.77503,3,0.30974,54.84
5,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.49312,65.3,11.7,2.95563,0,37.73054,3,0.30974,56.57
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,67.8621
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,19,0.47575,68.5241
