Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CO2-C loss (%)
1,1,0.0,0,28.0,0,28.0,0.0,14.28571,5,0.01,0.28,67.0,14.0,3.24286,0,45.4,0,0.26515,9.9976
1,1,0.0,0,28.0,0,28.0,0.0,0.0,5,0.01,0.28,65.0,14.0,2.95714,0,41.4,0,0.28571,12.09433
1,1,0.0,0,28.0,0,28.0,0.0,0.0,1,0.01,0.28,65.0,12.1,3.34711,0,40.5,0,0.28571,15.15254
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,64.1,14.7,2.36,0,34.8,0,0.44435,31.4
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,65.2,18.3,2.08,0,38.0,0,0.5477,42.9
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,63.7,20.7,1.9,0,39.4,0,0.63695,44.8
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,71.3,18.4,2.06,0,38.0,0,0.55159,32.1
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,70.6,21.1,1.9,0,40.1,0,0.58795,45.6
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,70.8,15.0,2.35,0,35.2,0,0.59114,42.4
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,75.7,21.2,1.93,0,40.9,0,0.49439,33.3
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,76.8,14.9,2.37,0,35.3,0,0.61559,23.9
6,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,74.0,18.0,2.09,0,37.6,0,0.55272,37.2
6,1,31.0,0,31.0,0,30.0,0.0,1.2324,5,0.95,0.312,69.47,13.16342,2.57,0,33.83,0,0.63,35.83
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,4,0.1559,0.45,66.03,21.96203,1.817,0,39.905,0,0.70071,30.98
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,4,0.2984,0.448,65.69,21.51131,1.813,0,39.0,0,0.72895,24.52
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,4,0.5697,0.45,66.14,21.64477,1.796,0,38.874,0,0.75396,20.7
5,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.1,11.37,2.68,0,30.45,0,0.667,45.38
5,1,0.0,0,50.0,0,50.0,0.0,0.0,4,0.03,0.22286,72.13,19.11,2.21,0,42.22,0,0.26833,11.79753
5,1,0.0,0,50.0,0,50.0,0.0,0.0,5,0.03,0.20526,69.74,13.27,2.93,0,38.84,0,0.26833,20.03979
5,1,0.0,0,50.0,0,50.0,0.0,0.0,2,0.03,0.21455,71.05,13.56,3.48,0,38.16,0,0.26833,13.3533
4,1,0.0,0,50.0,0,50.0,0.0,0.0,4,0.02,0.2,73.67,9.89,3.12,0,30.87,0,0.31884,15.25488
6,1,0.0,2,56.0,0,56.0,0.0,0.0,5,1.37,0.108,69.4,29.0,1.37255,0,40.19608,0,0.305,42.3
6,1,0.0,2,56.0,0,56.0,0.0,1.7301,5,1.37,0.108,71.1,24.7,1.6609,0,41.17647,10,0.305,44.8
6,1,0.0,2,56.0,0,56.0,0.0,1.38889,5,1.37,0.108,71.2,17.6,2.39583,0,42.01389,10,0.305,40.7
6,1,0.0,2,56.0,0,56.0,0.0,3.7037,5,1.37,0.108,67.6,19.0,2.19136,0,41.97531,10,0.305,38.8
6,1,0.0,2,56.0,0,56.0,0.0,0.32468,5,1.37,0.108,69.2,19.5,2.33766,0,45.77922,10,0.305,40.7
6,1,0.0,2,56.0,0,56.0,0.0,2.06897,4,1.37,0.108,71.0,21.2,2.31034,0,48.62069,10,0.305,36.4
6,1,0.0,2,56.0,0,56.0,0.0,0.0,5,1.37,0.108,70.3,19.6,2.22222,0,44.10774,8,0.305,42.6
6,1,0.0,2,56.0,0,56.0,0.0,2.83688,4,1.18,0.108,71.8,19.5,2.30496,0,45.03546,10,0.305,42.5
0,0,0.0,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,24.31619,2.04892,0,42.727,0,0.15591,5.167
0,1,0.0,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,24.31619,2.04892,0,42.727,0,0.15591,9.629
0,1,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,23.88538,2.04892,0,43.97284,0,0.15591,12.943
0,1,5.27176,1,45.0626,5,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,0,0.47575,13.648
4,1,7.5,0,30.0,4,30.0,10.0,0.0,5,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,0,0.5,13.9
4,1,7.5,0,30.0,4,30.0,10.0,10.0,5,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,1,0.5,13.9
4,1,7.5,0,30.0,4,30.0,10.0,10.0,5,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,0,0.5,13.7
0,1,0.0,0,20.0,0,20.0,0.0,0.0,5,0.06,0.21,60.22,29.35,1.45,0,42.38,0,0.66843,40.99
0,1,0.0,0,20.0,1,20.0,10.0,0.0,5,0.06,0.42,60.22,29.35,1.45,1,42.38,0,0.66843,36.4
0,1,0.0,0,20.0,2,20.0,5.0,0.0,5,0.06,0.84,60.22,29.35,1.45,1,42.38,0,0.66843,32.5
0,1,0.0,0,21.0,0,21.0,0.0,0.0,5,0.06,0.21,55.0,11.5,2.34,0,26.8,0,0.25926,28.58548
0,1,0.0,0,21.0,0,21.0,0.0,20.0,5,0.06,0.21,55.0,14.7,2.52,0,36.1,3,0.25926,18.60004
0,1,0.0,0,21.0,0,21.0,0.0,20.0,5,0.06,0.21,55.0,14.0,2.52,0,35.3,3,0.25926,16.72771
0,1,15.5,0,31.0,0,31.0,0.0,0.0,5,0.06,0.09384,65.4,14.2,2.1,0,29.7,0,0.51333,31.5
0,1,15.5,0,31.0,0,31.0,0.0,0.0,5,0.06,0.15639,65.4,14.2,2.1,0,29.7,0,0.51333,46.1
