Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
7,1.0,0,0,2,0.0,8,3,6,13,50.0,0,26.8,0.03,9.0,2.0,0.1,60.0,0.27,30.06,33.2
7,1.0,0,0,2,0.0,8,3,6,13,50.0,0,29.8,0.03,9.0,4.0,0.1,60.0,0.22,30.33,26.6
7,1.0,0,0,2,0.0,8,3,6,13,50.0,0,31.3,0.03,9.0,6.0,0.1,60.0,0.21,30.55,20.4
7,1.0,0,0,2,0.0,8,3,6,13,50.0,0,29.2,0.03,9.0,8.0,0.1,60.0,0.16,31.04,14.9
7,1.0,0,0,2,0.0,8,3,6,13,50.0,0,29.2,0.03,9.0,10.0,0.1,60.0,0.36,30.79,10.7
9,1.0,0,0,2,0.0,31,3,6,13,50.0,0,50.0,0.0,9.0,0.0,0.1,55.0,0.3,25.0,2.49
9,1.0,0,0,2,0.0,4,3,6,13,50.0,0,50.0,0.0,9.0,10.0,0.1,59.66,0.3,25.94,1.57
9,1.0,0,0,2,0.0,4,3,6,15,50.0,0,50.0,0.0,9.0,20.0,0.1,61.98,0.3,19.43,0.86
9,1.0,0,0,3,0.0,4,3,6,15,50.0,0,50.0,0.0,9.0,20.5,0.1,62.48,0.3,17.95,0.83
9,1.0,0,0,3,0.0,4,3,6,15,50.0,0,50.0,0.0,9.0,21.0,0.1,61.99,0.3,17.95,0.68
9,1.0,0,0,3,0.0,4,3,6,15,50.0,0,50.0,0.0,9.0,22.0,0.1,62.23,0.3,18.43,0.58
8,1.0,0,0,2,0.0,31,3,5,13,34.0,0,34.0,0.0,7.0,0.0,0.01,67.6,0.03,33.5,8.7
8,1.0,0,0,2,0.0,24,3,5,8,34.0,0,34.0,0.0,7.0,7.73,0.01,67.3,0.03,33.52,7.87
8,1.0,0,0,2,0.0,17,3,5,6,34.0,0,34.0,0.0,7.0,7.13,0.01,66.8,0.03,33.11,6.6
8,1.0,0,0,2,0.0,24,3,5,6,34.0,0,34.0,0.0,7.0,6.05,0.01,66.0,0.03,31.53,3.5
7,1.0,0,0,2,0.0,31,3,6,13,91.0,0,64.2,0.0,13.0,0.0,0.25,60.0,0.91,20.0,12.93
