Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
0.07427166,0.18170403,-0.07656837,0.0005708341,-0.0009572977,0.0,-0.0037836528,0.026738588,5.2483387e-07,0.0068302406,-0.0002906916,4.745465e-05,-0.0011510351,-0.00062627613,-0.028096784,-0.008184123,0.01809917,-0.025209798,-0.15289666,-0.09981175,-0.051869914,-0.017706864
0.12451028,0.07066126,-0.09480455,0.00039478712,0.009429728,0.0,-0.003443894,-0.0021955543,5.2483387e-07,0.016968947,-8.426016e-05,-0.012735411,0.0024050714,0.009709712,-0.017961616,-0.013577077,0.13438945,-0.009590298,-0.021320246,-0.08562038,0.026830584,-0.07283802
0.04845808,0.13967706,-0.058614578,9.029157e-05,0.0029595688,0.0,-0.0029700547,-0.10162315,5.2483387e-07,0.0076493984,-0.0001239722,-0.0056926953,-0.0038831537,0.013014634,-0.029209478,-0.009459603,0.037190884,-0.02293138,-0.16204295,-0.1477991,0.013308134,-0.036074486
0.08699189,0.13928358,-0.05921106,-5.4551972e-05,0.008674825,0.0,0.030122193,0.037505962,1.1079828e-06,0.007000916,-6.613586e-05,0.011798871,0.0011027145,0.01181114,-0.02523628,0.008279123,0.04927622,-0.016358651,-0.24283111,-0.057951566,0.03539001,-0.07479191
0.11805842,-0.07931925,-0.03568989,0.0018649054,-3.3743374e-05,0.0,-0.0004894175,-0.0018899844,5.2483387e-07,0.007303223,-9.919084e-05,0.039692555,0.0050626863,-0.031072348,-0.09060447,0.0016912816,-0.014831614,0.051558062,-0.3157053,-0.010719397,-0.039817482,0.005210644
0.13333623,-0.072745055,-0.022533903,0.0010732823,0.0054200054,0.0,-0.00062954443,0.05061102,5.2483387e-07,0.007149676,-0.0001167502,0.044520535,0.0017159451,-0.040293746,-0.10030264,0.008645687,-0.021881076,-0.0029189598,-0.33057085,-0.014351184,0.009118202,-0.0027319256
0.13927236,-0.06918433,-0.021101797,0.00034620395,0.003785985,0.0,-0.0006285599,0.052394975,5.2483387e-07,0.007469953,-6.233009e-05,0.041515514,0.0019404705,-0.03454975,-0.08872815,0.0043965406,-0.01811647,-0.009242044,-0.32065672,-0.012951185,0.033026893,0.031597402
0.12381982,-0.13156226,-0.0035109387,0.0017697139,0.009311911,0.0,-0.0022651518,-0.0034852212,5.2483387e-07,0.0035345322,-0.00022214233,0.042725425,0.022479167,-0.03643677,-0.09324695,0.0023478514,-0.03292279,-0.029925369,-0.23715717,0.01975726,0.0033682678,0.0028538906
0.13753605,-0.059941363,0.003589189,-0.0011572054,0.0018381306,0.0,0.0007979837,0.04674278,1.1079828e-06,0.007608182,0.0003264456,0.028398532,0.004907875,0.008648119,-0.03884339,-0.0011653368,0.058793284,0.040473286,-0.20131506,0.028504135,0.073639885,0.008932043
0.10088421,-0.025726598,9.180597e-05,-0.0018303923,0.00012919118,0.0,0.0018322237,-0.13663487,1.1079828e-06,0.0077389474,-0.00010204358,0.0066558896,0.0036407954,0.018353686,-0.050105087,0.0010206377,0.052575335,-0.047153484,-0.2914766,-0.08174222,0.008848857,-0.0065874583
0.09951063,-0.022157678,9.180597e-05,-0.0018271857,0.00012912504,0.0,0.00584403,-0.13784851,1.1079828e-06,0.0072254655,-9.664355e-05,0.006407486,0.0029394133,0.016740283,-0.05062516,-0.0009425914,0.07090068,-0.06092745,-0.3005499,-0.0775564,0.009462006,-0.045933187
0.09989111,-0.026323864,8.724214e-05,-0.0018531986,0.00018858594,0.0,-0.007268231,-0.1365535,1.1079828e-06,0.006004807,-0.00011307356,0.0039461954,0.0029057371,0.0024928686,-0.057350844,-0.0018919765,0.058318995,-0.09455902,-0.3146354,-0.08764699,0.007064766,-0.050871383
0.20021014,-0.069930404,-0.00091356656,0.00022565288,-2.4629462e-05,0.0,0.0001051401,0.012740836,5.2483387e-07,0.022932122,-0.00021228367,-0.014772956,0.026810402,0.019785723,-0.0004531109,0.0011525432,0.20575415,0.035959557,0.27778834,-0.013722802,-0.01843216,0.0350242
0.20549114,-0.051834736,0.0007173585,6.00113e-05,0.0033164881,0.0,-0.001801855,0.03485786,5.2483387e-07,0.022153584,-0.00012757404,-0.011527831,0.008511185,0.023317924,0.002226514,0.0039681164,0.20231165,-0.024540352,0.290169,-0.098045394,0.03689098,0.024262685
0.20060873,-0.024401471,-0.020539787,-0.00013439322,-0.00037196834,0.0,-0.0008763375,-0.029084425,5.2483387e-07,0.022926828,-0.00014276967,-0.011959562,0.002352737,0.033720173,-0.026694395,0.002314286,0.22950484,-0.074502654,0.31091213,0.014101717,0.017986406,0.025683988
0.22522427,-0.019783542,-0.019797591,0.00018728897,0.003431368,0.0,-0.0010414221,0.06588539,5.2483387e-07,0.02834852,-8.619998e-05,-0.009000157,-0.0015416862,0.032309994,-0.024474436,0.0040532714,0.24807192,0.2332211,0.29655293,0.12174865,0.03819515,0.048166763
0.21230105,-0.030959897,0.005680508,0.0009801667,0.0017188342,0.0,-0.0008884346,0.039536342,5.2483387e-07,0.018576417,-7.2926894e-05,-0.008761636,0.010195875,0.0192395,-0.008108676,0.019389769,0.18997371,0.11425913,0.38100412,0.18466376,-0.015312506,0.18745741
0.21481371,-0.01646118,0.006065209,0.0010543905,0.0022736527,0.0,-0.00088233326,-0.049433786,5.2483387e-07,0.021813171,-7.6315504e-05,-0.014002179,-0.0018841915,0.014379712,-0.0083459,0.018397968,0.17657389,0.28479138,0.36252114,0.13245983,-0.019113807,0.15618293
0.19409475,-0.029734606,0.0018824191,0.0007582663,0.0036904376,0.0,-0.00078694697,-0.040798612,5.2483387e-07,0.01646318,-7.792263e-05,-0.021659246,0.004180771,0.0063888226,-0.0031743653,0.0027545607,0.13856046,-0.038152713,0.3482234,0.13521029,-0.027556947,0.110108614
0.20827147,-0.031083802,0.002464734,0.0007564651,0.0020483905,0.0,-0.0007653453,-0.03800235,5.2483387e-07,0.018508835,7.1497285e-05,-0.022810485,0.0064209397,0.022836076,-0.0025091604,0.009116497,0.14151199,-0.10131222,0.33663708,0.09769851,-0.029988235,0.0705615
