Material_Main,Turning times,M1_is Enclosed, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
8,1.22727,0,1,81.0,0,0.0,0.0,8.8,3,16.0,0.0,65.0,15.14815,2.7,0,40.9,5,1.18519,116.847
8,5.0,1,0,30.0,0,30.0,0.0,0.0,5,0.12,2.56621,66.11478,17.57895,1.94767,0,33.4,5,0.575,97.5734
8,5.0,1,0,30.0,0,30.0,0.0,5.0,5,0.12,2.56621,67.19448,22.18489,1.94767,0,36.465,0,0.58474,114.509
8,5.0,1,0,30.0,0,30.0,0.0,10.0,5,0.12,2.56621,61.41148,17.07662,1.94767,0,36.7125,0,0.59448,127.95
8,5.0,1,0,30.0,0,30.0,0.0,1.0,5,0.12,2.56621,64.93448,26.11489,1.94767,0,36.45,8,0.57695,120.961
8,7.0,1,0,28.0,0,28.0,0.0,0.0,6,0.06,0.36,62.06,17.91,1.95,0,34.9245,5,0.7402,92.191
8,7.0,1,0,28.0,0,28.0,0.0,10.0,6,0.06,0.36,58.69,18.23,1.96,0,35.7308,33,0.78068,89.9438
6,5.09091,1,0,56.0,0,56.0,0.0,0.0,5,0.1,0.82267,56.03,25.17,1.86,0,46.82,5,0.5,64.17
6,5.09091,1,0,56.0,0,56.0,0.0,10.0,5,0.1,0.86778,55.0,25.17972,1.80701,0,45.5,35,0.5,105.63
6,5.09091,1,0,56.0,0,56.0,0.0,10.0,5,0.1,0.86778,55.0,25.67343,1.77226,0,45.5,17,0.5,98.2
6,5.09091,1,0,56.0,0,56.0,0.0,10.0,5,0.1,0.86778,55.0,25.43875,1.78861,0,45.5,3,0.5,101.85
3,7.5,1,0,30.0,4,30.0,40.0,0.0,5,0.06,0.3444,53.59,32.46,1.1,1,35.52,5,0.64438,86.0078
3,7.5,1,0,30.0,4,30.0,40.0,0.0,5,0.06,0.52357,59.14902,22.72871,1.73399,1,36.07717,5,0.58322,101.859
3,7.5,1,0,30.0,4,30.0,40.0,2.54,5,0.06,0.5724,58.6187,22.71149,1.72699,1,35.97951,29,0.57909,103.327
3,7.5,1,0,30.0,4,30.0,40.0,2.54,5,0.06,0.5724,58.6187,22.71149,1.72699,1,35.97951,23,0.57909,87.7691
8,10.0,1,0,50.0,0,50.0,0.0,0.0,5,0.1,0.60044,58.0,25.0,1.8,0,45.0,5,0.5,93.06
8,10.0,1,0,50.0,0,50.0,0.0,10.0,5,0.1,0.59944,59.3,27.29944,1.66964,0,46.74137,5,0.5,99.34
8,10.0,1,0,50.0,0,50.0,0.0,10.0,5,0.1,0.55433,59.3,27.29944,1.62118,0,46.21337,35,0.5,98.21
8,10.0,1,0,50.0,0,50.0,0.0,20.0,5,0.1,0.3,61.0,23.60843,1.53825,0,42.19588,5,0.5,102.41
6,5.66667,1,0,34.0,0,34.0,0.0,0.0,5,0.06,0.27211,65.0,11.37,2.216,0,37.144,5,0.58333,103.21
6,5.66667,1,0,34.0,0,34.0,0.0,10.0,5,0.06,0.26291,65.0,11.37,2.21292,0,36.997,33,0.60375,97.4
6,5.66667,1,0,34.0,0,34.0,0.0,10.28571,5,0.06,0.26265,65.0,11.37,2.21292,0,36.997,33,0.60433,120.31
6,5.66667,1,0,34.0,0,34.0,0.0,14.57143,5,0.06,0.2589,65.0,11.37,2.19768,0,37.2605,33,0.61308,111.0
8,5.83333,1,0,35.0,0,0.0,0.0,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,5,0.33641,98.3399
8,5.83333,1,0,35.0,0,0.0,0.0,8.24578,5,0.06,0.25,65.12895,18.43351,2.03653,0,37.5404,12,0.255,108.142
8,5.83333,1,0,35.0,0,0.0,0.0,4.0,5,0.06,0.25,66.63916,18.43351,2.03653,0,37.5404,33,0.33056,100.553
8,5.83333,1,0,35.0,0,0.0,0.0,8.24578,5,0.06,0.25,65.12895,18.43351,2.03653,0,37.5404,12,0.255,78.419
