Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
3,6,0.0,1,2,8,35.0,0.0,2,0.0,0.0,7.0,11.88,1.0,66.32,12,0.0,12,15.69,1.26
1,13,0.75,0,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,1.24
1,13,0.75,0,4,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,11,20.54,1.4
1,13,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,11,20.54,2.74
1,13,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,2,20.54,1.76
1,13,0.75,1,3,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.03
1,13,0.75,1,0,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,11,20.54,0.02
3,13,0.0,1,3,7,112.0,0.0,2,0.0,0.0,12.0,0.0,1.24,64.9,34,0.0,11,14.25,1.29
3,13,0.0,1,0,7,112.0,0.0,2,0.0,0.0,12.0,2.82,1.63,64.5,29,0.0,11,14.25,1.39
1,12,1.0,0,3,4,54.0,54.0,0,0.0,0.0,7.0,0.0,0.08,65.0,34,0.05,11,25.0,2.92
1,12,1.0,0,0,4,54.0,54.0,0,0.0,0.0,7.0,5.0,0.08,65.0,1,0.05,11,25.0,2.5
1,5,0.75,0,3,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.51
1,5,0.75,0,4,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,11,20.54,1.62
1,5,0.75,0,1,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,11,20.54,1.35
1,22,0.75,0,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.4
1,22,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,11,20.54,3.11
1,22,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,40,0.44,11,20.54,0.46
1,22,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,48,0.44,11,20.54,1.12
1,22,1.0,0,3,6,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,34,1.11,11,25.02,2.23
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,5,1.11,11,25.09,1.84
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,5,1.11,11,25.0,0.37
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,5,1.11,11,23.99,0.22
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,5,1.11,11,22.32,0.01
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,5,1.11,11,21.14,0.08
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,5,1.11,11,20.4,0.18
1,1,1.0,0,3,7,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,34,0.3,11,18.4,1.33
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,16,0.3,7,18.4,2.01
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,17,0.3,9,18.4,3.45
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,6,0.3,9,18.4,3.08
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,16,0.3,9,18.4,4.98
1,15,1.0,0,3,6,50.0,50.0,1,20.0,60.0,7.0,0.0,0.29,67.71,34,0.18,11,21.24,0.02
1,15,1.0,0,4,6,50.0,50.0,1,20.0,60.0,7.0,12.0,0.29,66.08,5,0.25,11,21.21,0.06
3,13,0.0,2,0,7,82.0,0.0,2,0.0,0.0,15.0,1.38,5.46,63.7,28,0.0,11,15.4,1.61
3,13,0.0,2,2,7,82.0,0.0,2,0.0,0.0,15.0,9.64,5.46,63.7,5,0.0,10,17.51,1.32
1,11,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,0.63
1,11,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,0.48
1,11,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,0.36
1,11,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,0.23
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,10,20.54,0.58
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,10,20.54,1.41
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,10,20.54,1.59
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,10,20.54,1.54
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,10,20.54,0.02
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,10,20.54,0.02
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,10,20.54,0.01
