Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
1,1,1.0,0,1,9,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,44,0.38,15,14.84,7.58
1,1,1.0,0,1,9,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,9,0.38,15,16.2,7.73
1,1,1.0,0,1,9,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,44,0.38,1,13.98,7.79
1,25,1.0,0,3,9,50.0,50.0,0,0.0,0.0,5.0,0.0,0.1,58.0,41,0.69,15,25.0,7.96
1,25,1.0,0,4,9,50.0,50.0,0,0.0,0.0,5.0,10.0,0.1,62.49,6,0.42,15,25.94,8.5
1,25,1.0,0,4,9,50.0,50.0,0,0.0,0.0,5.0,10.0,0.1,62.49,56,0.42,15,25.94,8.52
1,25,1.0,0,4,9,50.0,50.0,0,0.0,0.0,5.0,20.0,0.1,59.46,6,0.36,18,17.95,8.6
1,1,1.0,0,3,9,28.0,28.0,0,0.0,0.0,5.0,0.0,0.06,57.54,41,0.48,15,19.25,8.03
1,1,1.0,0,1,9,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,20,0.48,15,18.57,7.57
1,1,1.0,0,1,9,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,19,0.48,15,18.57,7.4
1,1,1.0,0,1,9,28.0,28.0,0,0.0,0.0,5.0,4.35,0.06,60.3,22,0.48,15,18.97,8.55
0,6,0.75,0,3,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,8.82
0,6,0.75,0,1,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,50,0.44,15,20.54,7.79
0,6,0.75,0,2,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,50,0.44,15,20.54,7.97
0,6,0.75,0,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,32,0.44,15,20.54,8.63
1,14,1.0,0,1,3,56.0,56.0,0,0.0,0.0,10.0,0.45,0.02,58.92,25,0.52,15,28.58,8.85
1,14,1.0,0,1,3,56.0,56.0,0,0.0,0.0,10.0,2.52,0.02,58.1,25,0.56,11,26.84,9.15
1,25,1.0,0,3,6,42.0,42.0,0,0.0,0.0,2.0,0.0,0.17,53.8,41,0.07,15,16.6,9.21
1,25,1.0,0,4,6,42.0,42.0,0,0.0,0.0,2.0,10.8,0.17,49.3,6,0.07,15,18.6,8.83
0,14,0.75,0,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,8.01
