Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
4.0,1.0,13.94938678837353,0.0,1.0,9.550413440972159,26.0,1.0,0.0,9.375769922454106,103.0,21.0,0.08,0.0,4.0,68.57480311847296,27.32884658064516,1.0,15.0,4,38.409405608614634,8.048158199671073,0.875,12.20571343982684,115.66893000000007,9.783943089714976,0.6497241258621216,0.1830647854636727,23.273554984181775
8.0,0.0,41.144060082501284,0.0,1.0,8.158171190808162,2.0,48.0,5.0,9.332060716232906,55.0,33.0,0.08,0.0,4.0,69.68335710585215,27.32884658064516,1.0,7.0,4,52.407045030734366,8.786803403046786,0.875,36.00105257218863,113.05975100000003,9.559124028667972,0.8710552453994751,0.1650718252373053,22.73989478659376
3.0,1.0,44.92601067791072,0.0,1.0,4.0851784885143285,4.0,1.0,2.0,9.269491089382907,28.0,16.0,0.08,0.0,4.0,76.8862461726406,27.328846580645163,1.0,8.0,4,50.73850103748784,7.950984797987095,0.875,39.31025934317188,116.56825700000003,8.342514648622059,0.6076719164848328,0.22031092608835945,21.057939769659615
6.0,0.0,37.56617717765423,0.0,1.0,1.3244264816973508,26.0,6.0,3.0,11.327529990702786,35.0,35.0,0.08,0.0,4.0,73.39856928516602,27.667551296951864,1.0,9.0,4,49.112061632098104,0.3123976496544458,0.875,32.87040503044745,116.48215300000005,7.0091659243902225,0.7981573939323425,0.18580944259763363,25.49896687248665
2.0,0.0,41.878686271402756,0.0,1.0,5.895710777399338,2.0,55.0,9.0,7.271933279671108,124.0,37.0,0.08,0.0,4.0,70.38033822703386,27.328846580645163,1.0,9.0,4,35.71471387060177,3.1890255639977494,0.875,36.64385048747741,111.52300200000005,8.239797928573791,0.8658192753791809,0.17888304069953898,21.462552710870323
6.0,0.0,45.066183540117144,0.0,2.0,0.19603507283448063,8.0,0.0,5.0,8.54881333498125,15.0,23.0,0.08,0.0,4.0,43.89098135086462,27.32884658064516,1.0,5.0,4,52.017622912184436,1.1390216587094992,0.875,39.4329105976025,117.28006000000005,6.304206541871844,0.5735892653465271,0.17049521850149424,27.863815383129715
8.0,1.0,17.60127865323392,0.0,2.0,0.9755875346181964,10.0,11.0,0.0,7.872021346939107,95.0,16.0,0.08,0.0,4.0,57.718104925483814,27.32884658064516,1.0,9.0,4,54.85773067718295,1.1311114412936107,0.875,15.40111882157968,114.06538400000005,8.180871419747243,0.7849143743515015,0.209774472242361,23.01369961209808
6.0,1.0,43.67712442676012,0.0,2.0,1.025692407273577,0.0,3.0,4.0,7.1069241153749605,74.0,16.0,0.08,0.0,4.0,82.92030177325654,27.328846580645163,1.0,13.0,4,48.67929862604022,3.3681723791539855,0.875,38.217483873415105,117.47488000000004,8.1628688335227,0.818087100982666,0.18586499361139536,18.03575191190168
12.0,1.0,26.403376637272167,0.0,2.0,0.4563228504025785,18.0,1.0,4.0,7.813457860727358,32.0,11.0,0.08,0.0,4.0,72.63795762431276,27.32884658064516,1.0,13.0,4,36.68371075097894,5.273627267153445,0.875,23.896511243828773,115.73382400000006,8.352759047963474,0.5629741549491882,0.22560279585734136,1000000.0
3.0,1.0,31.801734448652144,0.0,2.0,1.172123698727754,24.0,22.0,3.0,5.488184484905402,67.0,35.0,0.08,0.0,4.0,74.71517522965193,27.32884658064516,1.0,8.0,4,57.42787059898698,1.9982385978668196,0.875,27.826517642570625,114.51239900000004,11.499332190628524,1.0630093812942505,0.20044501100607473,21.441154766849063
2.0,1.0,42.006388854464824,0.0,2.0,5.168693555046109,3.0,4.0,3.0,8.683794891630441,17.0,6.0,0.08,0.0,4.0,81.81971869485119,27.328846580645163,1.0,9.0,4,32.00549285480476,9.837309727335612,0.875,36.75559024765672,115.73109400000003,7.962787790226959,0.787773847579956,0.18797102387854125,22.678977128914397
