material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,NH3-N loss (%)
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,40.1
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,25.3
Food waste,,,,,,,,,22.0
Food waste,,,,,Corn stalk,,,,20.0
Food waste,,,,,Sawdust ,,,,21.0
Food waste,,,,,Spend mush room residue,,,,22.0
Manure,,,,Swine manure,Cornstalks,2.17,38.76,,29.1
Manure,,,,Swine manure,Cornstalks,1.96,36.72,Chemical,22.8
Manure,,,,Swine manure,Cornstalks,2.06,36.53,Mixture,21.6
Manure,,,,Swine manure,Cornstalks,2.1,37.4,Mixture,24.6
Manure,14.7,64.1,,Swine manure,Cornstalk,2.36,34.8,,13.9
Manure,18.4,71.3,,Swine manure,Cornstalk,2.06,38.0,,12.7
Manure,21.2,75.7,,Swine manure,Cornstalk,1.93,40.9,,9.6
Manure,18.3,65.2,,Swine manure,Cornstalk,2.08,38.0,,18.7
Manure,21.1,70.6,,Swine manure,Cornstalk,1.9,40.1,,16.9
Manure,14.9,76.8,,Swine manure,Cornstalk,2.37,35.3,,27.7
Manure,20.7,63.7,,Swine manure,Cornstalk,1.9,39.4,,20.6
Manure,15.0,70.8,,Swine manure,Cornstalk,2.35,35.2,,32.4
Manure,18.0,74.0,,Swine manure,Cornstalk,2.09,37.6,,24.9
Manure,14.7,64.1,,Swine manure,Cornstalk,2.36,34.8,,13.9
Manure,18.4,71.3,,Swine manure,Cornstalk,2.06,38.0,,12.7
Manure,21.2,75.7,,Swine manure,Cornstalk,1.93,40.9,,9.6
Manure,18.3,65.2,,Swine manure,Cornstalk,2.08,38.0,,18.7
Manure,21.1,70.6,,Swine manure,Cornstalk,1.9,40.1,,16.9
Manure,14.9,76.8,,Swine manure,Cornstalk,2.37,35.3,,27.7
Manure,20.7,63.7,,Swine manure,Cornstalk,1.9,39.4,,20.6
Manure,15.0,70.8,,Swine manure,Cornstalk,2.35,35.2,,32.4
Manure,18.0,74.0,,Swine manure,Cornstalk,2.09,37.6,,24.9
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,,32.5
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,14.5
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,16.0
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,13.3
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,5.9
Manure,,,,Swine manure,Wheat straw,,,,11.4
Manure,,,,Swine manure,Wheat straw,,,Chemical,10.1
Manure,,,,Swine manure,Wheat straw,,,Chemical,9.0
Manure,,,,Swine manure,Wheat straw,,,,20.5
Manure,,,,Swine manure,Wheat straw,,,Biological,16.4
Manure,,,,Swine manure,Wheat straw,,,Biological,15.7
Manure,22.0062680470267,71.66,9.19,Cow manure,,,,,5.37
Manure,35.45,75.16,8.0,Cow manure,,,,,2.589
Manure,26.03,60.0,7.25,Poultry manure,糠醛渣,,,,21.77
Manure,20.0,65.7,8.6,Swine manure,玉米秸秆,,,,13.58
Manure,20.0,65.7,8.6,Swine manure,玉米秸秆,,,,12.93
Manure,20.0,65.7,8.6,Swine manure,玉米秸秆,,,,12.35
Manure,22.46,65.0,7.56,Swine manure,水稻秸秆,,,,26.82
Manure,13.16,69.47,7.13,Swine manure,玉米秸秆,,,,23.81
Manure,21.9,66.0,,Cow manure,锯末,,,,12.59
Manure,21.9,66.0,,Cow manure,锯末,,,,16.16
Manure,21.9,66.0,,Cow manure,锯末,,,,17.44
Manure,17.4,64.0,7.4,Swine manure,玉米秸秆,,,,29.5
Manure,17.4,64.0,7.4,Swine manure,玉米秸秆,,,,27.9
Manure,17.4,64.0,7.4,Swine manure,玉米秸秆,,,,12.8
Sewage sludge,11.37,65.0,7.8,,玉米秸秆,,,,31.52
Manure,15.39,60.0,6.54,Swine manure,蘑菇渣,,,,4.51
Manure,15.39,60.0,6.54,Swine manure,蘑菇渣,,,,2.502
Sewage sludge,7.73,64.83,8.25,,蘑菇渣,,,,4.44
Sewage sludge,8.54,57.48,8.22,,蘑菇渣,,,,2.18
Sewage sludge,11.37,72.1,7.78,,玉米秸秆,,,,21.16
Manure,29.3,60.0,7.82,Swine manure,锯末,,,,3.462
Manure,18.99,67.7,,Swine manure,玉米秸秆,,,,35.7
Manure,25.0,60.0,6.5,Poultry manure,小麦秸秆,,,,36.3
Sewage sludge,47.48,65.0,7.2,,小麦秸秆,,,,7.3
Manure,25.0,60.0,7.7,Swine manure,小麦秸秆,,,,2.48
Manure,,74.0,7.9,Cow manure,水稻秸秆,,,,8.12
Manure,,74.0,7.9,Cow manure,水稻秸秆,,,,16.56
Manure,,74.0,7.9,Cow manure,水稻秸秆,,,,22.51
Manure,,66.7,,Cow manure,水稻秸秆,,,,8.1
Manure,,66.7,,Cow manure,水稻秸秆,,,,9.88
Manure,20.0,65.0,7.1,Poultry manure,秸秆+草皮,,,,0.0354
Manure,20.0,65.0,7.1,Poultry manure,秸秆+草皮,,,,8.86
Manure,20.0,65.0,7.1,Poultry manure,秸秆+草皮,,,,16.48
Manure,6.53,77.53,6.2,Swine manure,,,,,2.6
Manure,6.81,66.71,7.01,Swine manure,蘑菇渣,,,,1.2
Manure,9.22,66.36,7.41,Swine manure,蘑菇渣,,,,0.55
Manure,7.35,67.68,7.59,Swine manure,蘑菇渣+沼渣,,,,0.15
Manure,7.24,66.26,8.04,Swine manure,蘑菇渣+沼渣+芦苇屑+烟梗,,,,0.25
Sewage sludge,19.11,72.13,5.67,,木屑,,,,18.97
Sewage sludge,13.27,69.74,7.56,,小麦秸秆,,,,13.82
Sewage sludge,13.56,71.05,8.08,,稻壳,,,,11.66
Sewage sludge,13.9,72.0,7.4,,稻壳,,,,0.612
Sewage sludge,13.56,71.05,8.08,,稻壳,,,,12.53
Sewage sludge,4.43,50.0,7.6,,,,,,1.447
Sewage sludge,4.43,60.0,7.9,,,,,,3.0045
Sewage sludge,4.43,70.0,5.1,,,,,,0.9396
Manure,17.8,63.0,8.55,Swine manure,玉米秸秆,,,,38.09
Manure,17.8,63.0,8.55,Swine manure,玉米秸秆,,,,36.38
Manure,17.8,63.0,8.55,Swine manure,玉米秸秆,,,,30.88
Manure,17.1,64.0,7.4,Swine manure,玉米秸秆,,,,26.19
Manure,17.1,64.0,7.4,Swine manure,玉米秸秆,,,,24.09
Manure,17.1,64.0,7.4,Swine manure,玉米秸秆,,,,15.77
Manure,14.0,61.43,6.62,Swine manure,水稻秸秆,,,,30.28
Manure,14.0,65.75,7.06,Swine manure,水稻秸秆,,,,28.22
Manure,14.93,65.59,8.48,Cow manure,水稻秸秆,,,,5.2
Manure,14.43,76.09,7.74,Cow manure,水稻秸秆,,,,2.24
Manure,15.0,40.0,6.72,Swine manure,玉米秸秆,,,,3.37
Manure,15.0,60.0,6.76,Swine manure,玉米秸秆,,,,3.17
Manure,15.0,80.0,6.63,Swine manure,玉米秸秆,,,,6.45
Manure,15.0,60.0,6.82,Swine manure,玉米秸秆,,,,3.13
Manure,15.0,60.0,,Swine manure,玉米秸秆,,,,18.35
Manure,20.0,60.0,,Swine manure,玉米秸秆,,,,20.72
