Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TC loss (%)
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,55,4,35.55
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,0,3,39.56
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,0,3,39.16
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,0,3,44.37
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,55,4,42.39
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,9,3,44.71
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,9,3,50.47
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,9,3,53.07
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,9,3,42.24
0.0,6,0.0,1,0.0,41,57.0,0.0,0.0,9,3,49.75
25.21,6,56.23,0,8.12,50,42.0,1.78,44.89,55,4,10.0
25.21,6,56.23,0,8.12,50,42.0,1.78,44.89,5,3,22.0
25.21,6,56.23,0,8.12,50,42.0,1.78,44.89,5,2,16.0
25.21,6,56.23,0,8.12,50,42.0,1.78,44.89,5,2,23.0
25.21,6,56.23,0,8.12,50,42.0,1.78,44.89,5,2,23.5
25.0,6,65.0,0,0.0,32,60.0,0.0,0.0,55,4,61.66
25.0,6,65.0,0,0.0,32,60.0,0.0,0.0,36,1,57.96
24.2,5,0.0,1,0.0,58,56.0,1.71074380165289,41.4,55,4,37.2
30.4,5,0.0,1,0.0,58,56.0,1.46052631578947,44.4,55,4,35.2
33.7,5,0.0,1,0.0,58,56.0,1.28189910979228,43.2,55,4,33.3
11.7,6,65.3,1,6.92,29,26.0,3.51498205326512,41.1252900232019,55,4,56.57
25.0,6,61.9,1,6.0,29,26.0,1.98236658932715,49.5591647331787,55,4,53.43
45.0,6,58.4,1,5.6,29,26.0,1.18316576437226,53.2424593967517,55,4,36.77
40.0,6,56.2,1,5.8,29,26.0,1.31206496519722,52.4825986078886,55,4,45.06
35.0,6,58.8,1,5.7,29,26.0,1.48442161087173,51.9547563805104,55,4,43.65
30.0,6,60.9,1,5.7,29,26.0,1.69276875483372,50.7830626450116,55,4,50.1
20.0,6,61.9,1,6.7,29,26.0,2.38950116009281,47.7900232018562,55,4,56.34
15.0,6,64.5,1,6.82,29,26.0,2.99729311678268,44.9593967517401,55,4,54.84
4.91691008445107,6,0.0,0,0.0,53,20.0,4.58960328317373,22.5666666666667,55,4,27.6
9.49286318724902,6,0.0,0,0.0,50,20.0,3.85123329474903,36.5592307692308,55,4,50.1
9.75771618789683,6,0.0,0,0.0,44,20.0,3.77507944859518,36.8361538461538,55,4,47.1
9.66825249108355,6,0.0,0,0.0,52,20.0,3.80046406397979,36.7438461538462,55,4,52.3
23.5,0,0.0,0,8.3,62,100.0,1.52,35.65,55,4,67.85
22.9,0,0.0,0,7.2,62,100.0,1.04,23.81,46,1,68.38
22.3,0,0.0,0,8.3,62,100.0,1.02,23.61,54,3,65.69
23.1,0,0.0,0,7.5,62,100.0,1.03,23.81,46,2,68.11
37.2,0,0.0,0,8.2,31,100.0,1.0,37.16,55,4,64.61
36.1,0,0.0,0,7.0,31,100.0,0.82,29.73,46,1,59.23
37.1,0,0.0,0,8.0,31,100.0,0.8,29.73,54,3,55.46
36.6,0,0.0,0,7.3,31,100.0,0.81,29.73,46,2,59.23
47.5,0,0.0,0,7.7,24,100.0,0.85,40.41,55,4,61.65
45.9,0,0.0,0,6.7,24,100.0,0.7,32.33,46,1,43.88
47.5,0,0.0,0,7.6,24,100.0,0.68,32.33,54,3,53.04
46.7,0,0.0,0,6.9,24,100.0,0.69,32.33,46,2,51.96
23.5,0,0.0,0,8.3,62,100.0,1.52,35.65,55,4,67.85
37.2,0,0.0,0,8.2,31,100.0,1.0,37.16,55,4,64.61
47.5,0,0.0,0,7.7,24,100.0,0.85,40.41,55,4,61.65
22.9,0,0.0,0,7.2,62,100.0,1.04,23.81,46,3,68.38
36.1,0,0.0,0,7.0,31,100.0,0.82,29.73,46,3,59.23
45.9,0,0.0,0,6.7,24,100.0,0.7,32.33,46,3,43.88
22.3,0,0.0,0,8.3,62,100.0,1.02,23.61,54,3,65.69
37.1,0,0.0,0,8.0,31,100.0,0.8,29.73,54,3,55.46
47.5,0,0.0,0,7.6,24,100.0,0.68,32.33,54,3,53.04
23.1,0,0.0,0,7.5,62,100.0,1.03,23.81,46,3,68.11
36.6,0,0.0,0,7.3,31,100.0,0.81,29.73,46,3,59.23
46.7,0,0.0,0,6.9,24,100.0,0.69,32.33,46,3,51.96
52.8865979381443,6,0.0,0,6.7,62,105.0,0.97,51.3,55,4,49.18
55.0,6,0.0,0,8.76,62,105.0,0.92,50.6,27,1,49.13
53.695652173913,6,0.0,0,9.33,62,105.0,0.92,49.4,27,1,44.24
52.0212765957447,6,0.0,0,9.35,62,105.0,0.94,48.9,27,1,43.93
