Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,N2O-N loss (%)
6.1,5,71.0,0,6.8,1,30.0,4.6,35.2,34,4,0.02552
6.1,5,71.0,0,6.8,1,30.0,4.61,35.2,34,4,0.0283
12.2,5,65.0,0,6.95,1,30.0,3.42,48.7,3,3,0.0275
12.2,5,65.0,0,6.95,1,30.0,3.42,48.7,3,3,0.0286
31.8,9,66.9,0,5.6,24,28.0,0.0,0.0,34,4,7.0
31.5,9,57.58,0,6.6,3,28.0,0.0,0.0,34,4,2.0
32.5,9,57.78,0,6.5,12,28.0,0.0,0.0,34,4,1.0
22.5,9,58.6,0,6.2,13,28.0,0.0,0.0,34,4,2.0
17.86,7,65.9,0,7.8,3,30.0,2.17,38.76,34,4,3.1
0.0,7,0.0,0,0.0,3,30.0,1.96,36.72,28,1,3.2
0.0,7,0.0,0,0.0,3,30.0,2.06,36.53,28,2,2.0
0.0,7,0.0,0,0.0,3,30.0,2.1,37.4,28,2,2.0
17.8,7,63.0,1,8.6,3,70.0,2.07,36.9,34,4,0.1884
17.8,7,63.0,1,8.6,3,70.0,2.07,36.9,34,4,0.1836
17.8,7,63.0,1,8.6,3,70.0,2.07,36.9,34,4,1.405
14.7,7,64.1,0,0.0,4,37.0,2.36,34.8,34,4,1.6
18.4,7,71.3,0,0.0,4,37.0,2.06,38.0,34,4,1.5
21.2,7,75.7,0,0.0,4,37.0,1.93,40.9,34,4,2.1
18.3,7,65.2,0,0.0,4,37.0,2.08,38.0,34,4,4.2
21.1,7,70.6,0,0.0,4,37.0,1.9,40.1,34,4,5.0
14.9,7,76.8,0,0.0,4,37.0,2.37,35.3,34,4,3.8
20.7,7,63.7,0,0.0,4,37.0,1.9,39.4,34,4,5.3
15.0,7,70.8,0,0.0,4,37.0,2.35,35.2,34,4,7.3
18.0,7,74.0,0,0.0,4,37.0,2.09,37.6,34,4,5.2
14.7,7,64.1,0,0.0,4,37.0,2.36,34.8,34,4,1.6
18.4,7,71.3,0,0.0,4,37.0,2.06,38.0,34,4,1.5
21.2,7,75.7,0,0.0,4,37.0,1.93,40.9,34,4,2.1
18.3,7,65.2,0,0.0,4,37.0,2.08,38.0,34,4,4.2
21.1,7,70.6,0,0.0,4,37.0,1.9,40.1,34,4,5.0
14.9,7,76.8,0,0.0,4,37.0,2.37,35.3,34,4,3.8
20.7,7,63.7,0,0.0,4,37.0,1.9,39.4,34,4,5.3
15.0,7,70.8,0,0.0,4,37.0,2.35,35.2,34,4,7.3
18.0,7,74.0,0,0.0,4,37.0,2.09,37.6,34,4,5.2
20.0,7,65.7,1,8.6,3,0.0,0.0,0.0,34,4,7.79
20.0,7,65.7,1,8.6,3,0.0,0.0,0.0,34,4,8.84
20.0,7,65.7,1,8.6,3,0.0,0.0,0.0,34,4,8.59
13.16,7,69.47,0,7.13,3,0.0,0.0,0.0,34,4,0.54
21.9,0,66.0,1,0.0,12,0.0,0.0,0.0,34,4,3.29
21.9,0,66.0,1,0.0,12,0.0,0.0,0.0,34,4,3.86
21.9,0,66.0,1,0.0,12,0.0,0.0,0.0,34,4,4.62
17.4,7,64.0,1,7.4,3,0.0,0.0,0.0,34,4,0.81
17.4,7,64.0,1,7.4,3,0.0,0.0,0.0,34,4,1.05
17.4,7,64.0,1,7.4,3,0.0,0.0,0.0,34,4,3.93
25.38,9,68.07,0,7.57,3,0.0,0.0,0.0,34,4,1.11
24.32,9,68.53,0,6.95,12,0.0,0.0,0.0,34,4,1.37
15.39,7,60.0,1,6.54,6,0.0,0.0,0.0,34,4,0.0397
15.39,7,60.0,1,6.54,6,0.0,0.0,0.0,34,4,0.0169
7.73,9,64.83,1,8.25,6,0.0,0.0,0.0,34,4,0.018
8.54,9,57.48,1,8.22,6,0.0,0.0,0.0,34,4,0.0066
11.37,9,72.1,0,7.78,3,0.0,0.0,0.0,34,4,0.5
18.99,7,67.7,1,0.0,3,0.0,0.0,0.0,34,4,1.0
25.0,5,60.0,0,6.5,19,0.0,0.0,0.0,34,4,2.05
47.48,9,65.0,0,7.2,19,0.0,0.0,0.0,34,4,1.92
25.0,7,60.0,0,7.7,19,0.0,0.0,0.0,34,4,0.79
0.0,0,74.0,1,7.9,11,0.0,0.0,0.0,34,4,0.1
0.0,0,74.0,1,7.9,11,0.0,0.0,0.0,34,4,0.06
0.0,0,74.0,1,7.9,11,0.0,0.0,0.0,34,4,0.06
0.0,0,66.7,1,0.0,11,0.0,0.0,0.0,34,4,0.09
0.0,0,66.7,1,0.0,11,0.0,0.0,0.0,34,4,0.07
20.0,5,65.0,0,7.1,16,0.0,0.0,0.0,34,4,1.105
