Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,NH3-N loss (%)
0.0,11,65.0,4,0.0,4,0.0,0.0,0.0,59,3,21.26
18.3725490196078,9,69.2,4,8.2,40,0.0,2.04,37.48,69,4,32.5
0.0,9,0.0,4,8.0,40,0.0,0.0,0.0,14,1,14.5
0.0,9,0.0,4,7.25,40,0.0,0.0,0.0,59,3,20.3
0.0,9,0.0,4,6.75,40,0.0,0.0,0.0,12,1,12.4
30.0,6,60.0,0,6.53,30,50.0,0.0,0.0,69,4,36.3
30.0,6,60.0,0,6.85,30,50.0,0.0,0.0,7,3,33.2
30.0,6,60.0,0,6.46,30,50.0,0.0,0.0,7,3,26.6
30.0,6,60.0,0,6.52,30,50.0,0.0,0.0,7,3,20.4
30.0,6,60.0,0,6.5,30,50.0,0.0,0.0,7,3,14.9
30.0,6,60.0,0,6.55,30,50.0,0.0,0.0,7,3,10.7
25.0,9,55.0,4,7.75,40,0.0,2.084,52.1,69,4,2.5
0.0,9,0.0,4,8.2,40,0.0,0.0,0.0,40,3,1.55
0.0,9,0.0,4,0.0,40,0.0,0.0,0.0,41,3,0.87
33.5,11,67.6,4,6.1,16,0.0,1.46,42.91,69,4,8.7
33.5245901639344,11,67.3,4,7.65,16,0.0,1.22,40.9,27,1,7.87
33.1129032258065,11,66.8,4,6.7,16,0.0,1.24,41.06,17,1,6.6
31.530303030303,11,66.0,4,6.43,16,0.0,1.32,41.62,28,1,3.5
26.7620561738209,6,60.0,0,7.8,3,30.0,1.2,32.1144674085851,69,4,8.8
2.90159278923324,6,60.0,0,7.8,3,30.0,10.4,30.1765650080257,6,3,8.6
2.53674592815391,6,60.0,0,7.8,3,30.0,13.4,33.9923954372624,4,3,6.4
0.0,0,0.0,0,7.6,4,50.0,0.0,0.0,69,4,44.47
0.0,0,0.0,0,7.6,4,50.0,0.0,0.0,34,3,16.74
0.0,0,0.0,0,7.6,4,50.0,0.0,0.0,0,3,10.03
0.0,9,0.0,0,0.0,30,56.0,0.0,0.0,69,4,20.65
0.0,9,0.0,0,0.0,30,56.0,0.0,0.0,2,0,28.11
0.0,9,0.0,0,0.0,30,56.0,0.0,0.0,4,3,13.86
0.0,9,0.0,0,0.0,30,56.0,0.0,0.0,3,2,19.21
11.3619402985075,11,72.1,0,7.72,4,35.0,2.68,30.45,69,4,29.52
11.3619402985075,11,72.1,0,7.72,4,35.0,2.68,30.45,54,1,24.68
11.3619402985075,11,72.1,0,7.72,4,35.0,2.68,30.45,59,1,21.16
11.3619402985075,11,72.1,0,7.72,4,35.0,2.68,30.45,54,2,32.03
11.3619402985075,11,72.1,0,7.72,4,35.0,2.68,30.45,59,2,22.91
19.9,9,59.81,0,7.3,4,21.0,1.91,38.1,69,4,17.13
19.9,9,60.21,0,7.89,27,21.0,1.79,35.6,69,4,11.11
0.0,11,0.0,0,0.0,16,22.0,0.0,0.0,69,4,13.6
0.0,11,0.0,0,0.0,16,22.0,0.0,0.0,46,0,18.06
0.0,11,0.0,0,0.0,16,22.0,0.0,0.0,46,0,13.51
0.0,11,0.0,0,0.0,16,22.0,0.0,0.0,46,0,14.29
23.5,0,0.0,0,8.3,40,100.0,1.52,35.65,69,4,23.3720930232558
22.9,0,0.0,0,7.2,40,100.0,1.04,23.81,54,1,14.4883720930233
22.3,0,0.0,0,8.3,40,100.0,1.02,23.61,64,3,16.2558139534884
12.88,3,65.03,0,7.88,16,15.0,2.18,28.0,69,4,23.3759
24.41,3,63.17,0,7.88,16,15.0,1.9,0.0,9,3,17.5215
27.43,3,62.39,0,7.7,16,15.0,1.8,0.0,1,3,21.2503
28.06,3,62.6,0,7.88,16,15.0,1.8,0.0,36,3,18.7578
16.31,3,61.97,0,7.88,16,15.0,2.05,0.0,23,3,19.4581
39.93,3,63.43,0,7.88,16,15.0,1.8,0.0,8,3,20.6637
23.8,11,0.0,0,8.2,28,45.0,1.79,42.59,69,4,29.8
30.6,11,0.0,0,8.4,28,45.0,4.45,44.38,69,4,22.8
17.3,9,0.0,0,0.0,4,51.0,2.12,36.7,69,4,18.5
17.3,9,0.0,0,0.0,4,51.0,2.12,36.7,69,4,20.0
17.3,9,0.0,0,0.0,4,51.0,2.12,36.7,69,4,31.5
17.3,9,0.0,0,0.0,4,51.0,2.12,36.7,69,4,40.1
