Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,CH4-C loss (%)
30.0,7,65.0,0,7.31,18,0.0,0.0,0.0,27,4,0.194
24.0,7,65.0,0,7.07,18,0.0,0.0,0.0,27,4,0.377
30.0,7,65.0,0,7.41,10,0.0,0.0,0.0,27,4,0.166
24.0,7,65.0,0,7.05,10,0.0,0.0,0.0,27,4,0.561
30.0,7,65.0,0,7.23,6,0.0,0.0,0.0,27,4,0.113
24.0,7,65.0,0,6.94,6,0.0,0.0,0.0,27,4,0.396
25.0,9,66.9,0,5.75,26,0.0,0.0,0.0,27,4,0.34
20.9,9,58.6,0,5.36,0,0.0,0.0,0.0,27,4,0.27
18.7,9,53.1,0,5.13,0,0.0,0.0,0.0,27,4,0.2
16.8,9,47.5,0,5.04,0,0.0,0.0,0.0,27,4,0.12
30.0,7,60.0,0,7.2,14,0.0,0.0,0.0,27,4,0.016
18.1518282988871,0,81.0,1,7.47,26,60.432307692307695,3.0886300333884225,60.37320351299986,27,4,24.04
16.1618374558304,0,81.0,1,7.42,26,60.432307692307695,3.0886300333884225,60.37320351299986,27,4,35.87
19.0,9,50.0,0,0.0,7,0.0,0.0,0.0,27,4,0.0123
14.86,7,47.8,1,7.27,7,53.0,0.0,0.0,27,4,1.51
11.37,9,72.1,0,7.78,3,35.0,0.0,0.0,27,4,0.8
11.37,9,72.1,0,7.78,3,35.0,0.0,0.0,27,4,0.6
11.37,9,72.1,0,7.78,3,35.0,0.0,0.0,27,4,0.4
25.0,9,55.0,0,7.3,21,0.0,0.0,0.0,27,4,0.041
13.0,7,62.0,0,8.4,13,0.0,0.0,0.0,27,4,0.8
7.0,7,62.0,0,8.4,13,0.0,0.0,0.0,27,4,25.2
0.0,7,68.0,1,8.1,14,0.0,0.0,0.0,27,4,0.1734
0.0,7,68.0,1,8.1,14,0.0,0.0,0.0,27,4,0.32946
11.0,7,63.8,1,8.6,13,0.0,0.0,0.0,27,4,0.8
38.58,9,56.22,1,5.76,5,0.0,0.0,0.0,27,4,3.324
37.83,9,53.42,1,5.68,5,0.0,0.0,0.0,27,4,1.103
0.0,0,0.0,1,7.8,26,0.0,0.0,0.0,27,4,0.002
18.0,7,65.0,0,8.5,3,0.0,0.0,0.0,27,4,4.01
18.0,7,65.0,0,6.6,7,0.0,0.0,0.0,27,4,4.347
18.0,7,65.0,0,8.6,14,0.0,0.0,0.0,27,4,1.084
14.2,0,65.4,0,9.1,21,0.0,0.0,0.0,27,4,0.05
14.2,0,65.4,0,9.1,21,0.0,0.0,0.0,27,4,0.04
14.2,0,65.4,0,9.1,21,0.0,0.0,0.0,27,4,0.05
33.85,7,75.0,0,7.6,3,0.0,0.0,0.0,27,4,0.01
33.85,7,85.0,0,6.9,3,0.0,0.0,0.0,27,4,0.77
30.0,0,60.0,1,6.9,3,0.0,0.0,0.0,27,4,8.409
30.0,0,60.0,1,6.9,3,0.0,0.0,0.0,27,4,1.0563
30.0,0,60.0,1,6.9,3,0.0,0.0,0.0,27,4,0.6656
30.0,0,60.0,1,5.0,3,0.0,0.0,0.0,27,4,0.3179
14.57,7,66.16,0,0.0,21,0.0,0.0,0.0,27,4,0.003016
13.95,7,66.77,0,0.0,21,0.0,0.0,0.0,27,4,0.002336
14.26,7,64.71,0,0.0,21,0.0,0.0,0.0,27,4,0.001337
13.74,7,64.71,0,0.0,21,0.0,0.0,0.0,27,4,0.001166
6.975,5,63.1,1,0.0,3,0.0,0.0,0.0,27,4,0.07365
6.975,5,63.1,1,0.0,3,0.0,0.0,0.0,27,4,0.05538
6.975,5,63.1,1,0.0,3,0.0,0.0,0.0,27,4,0.0368
12.76,7,76.4,1,0.0,13,0.0,0.0,0.0,27,4,0.2
16.27,7,64.90980517639383,1,0.0,13,0.0,0.0,0.0,27,4,0.1
27.0,0,60.0,0,0.0,21,0.0,0.0,0.0,27,4,0.4
25.0,9,55.0,0,7.4,21,0.0,0.0,0.0,27,4,2.5
13.67,7,61.0,0,7.8,3,0.0,0.0,0.0,27,4,0.15
19.3,4,0.0,4,0.0,26,67.0,0.0,0.0,27,4,0.293
16.5,4,0.0,4,0.0,26,76.0,0.0,0.0,27,4,0.243
9.7,6,0.0,4,0.0,26,31.0,0.0,0.0,27,4,0.37
1.1,6,0.0,4,0.0,26,49.0,0.0,0.0,27,4,0.45
27.6,8,0.0,4,0.0,26,29.0,0.0,0.0,27,4,0.49
15.9,8,0.0,4,0.0,26,133.0,0.0,0.0,27,4,0.64
14.0,3,71.7,4,7.55,26,10.0,0.0,0.0,27,4,0.142
16.0,3,77.9,4,8.7,26,10.0,0.0,0.0,27,4,0.692
14.0,3,79.6,4,7.43,26,10.0,0.0,0.0,27,4,0.1354
15.0,3,78.8,4,8.2,26,10.0,0.0,0.0,27,4,0.512
14.0,3,71.7,4,7.55,26,80.0,0.0,0.0,27,4,0.177143
16.0,4,77.9,4,8.7,26,80.0,0.0,0.0,27,4,0.864643
45.73283859,8,61.1196911,4,0.0,26,60.432307692307695,0.0,0.0,27,4,0.24
45.73283859,8,61.1196911,4,0.0,26,60.432307692307695,0.0,0.0,27,4,0.166667
45.73283859,8,61.1196911,4,0.0,26,60.432307692307695,0.0,0.0,27,4,0.533333
0.0,4,57.0,4,5.9,26,126.0,0.0,0.0,27,4,0.763
0.0,1,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.5837184
0.0,2,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.81
0.0,4,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.34
0.0,4,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.168
0.0,4,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.437
0.0,1,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.239
0.0,4,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.33
0.0,4,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.178
0.0,3,68.0,4,8.1,26,92.0,0.0,0.0,27,4,0.1
0.0,3,68.0,4,8.1,26,92.0,0.0,0.0,27,4,0.19
27.21518987,8,70.0,4,0.0,26,60.0,0.0,0.0,27,4,0.227271
26.1,4,71.6689404,4,6.5,26,66.0,0.0,0.0,27,4,0.487
0.0,4,0.0,4,0.0,26,56.0,0.0,0.0,27,4,0.112
0.0,4,0.0,4,0.0,26,56.0,0.0,0.0,27,4,0.94
15.0,3,64.1,4,8.6,26,37.0,0.0,0.0,27,4,1.24932
18.0,3,65.2,4,8.5,26,37.0,0.0,0.0,27,4,0.652384
21.0,3,63.7,4,8.3,26,37.0,0.0,0.0,27,4,0.1525568
18.0,3,71.3,4,8.5,26,37.0,0.0,0.0,27,4,1.46976
21.0,3,70.6,4,8.3,26,37.0,0.0,0.0,27,4,0.2672264
15.0,3,70.8,4,8.7,26,37.0,0.0,0.0,27,4,0.575594
21.0,3,75.7,4,8.4,26,37.0,0.0,0.0,27,4,0.848124
15.0,3,76.8,4,8.6,26,37.0,0.0,0.0,27,4,0.622496
18.0,3,74.0,4,8.6,26,37.0,0.0,0.0,27,4,0.4953173
21.0,1,65.0,4,7.1,26,28.0,0.0,0.0,27,4,0.1168
21.7,1,65.0,4,7.3,26,28.0,0.0,0.0,27,4,0.348
22.8,1,65.0,4,7.4,26,28.0,0.0,0.0,27,4,0.348
20.5,3,65.0,4,7.2,26,28.0,0.0,0.0,27,4,0.376
