material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,TN loss (%)
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,44.1
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,33.6
Manure,,,,Swine manure,Wheat straw,,,,19.8
Manure,,,,Swine manure,Wheat straw,,,Biological,19.8
Manure,,,,Swine manure,Wheat straw,,,Biological,36.1
Manure,,,,Swine manure,Wheat straw,,,Biological,21.2
Manure,,,,Swine manure,Wheat straw,,,Biological,14.6
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,14.0
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,15.0
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,12.0
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,11.0
Manure,12.9390243902439,,6.5,Swine manure,Wheat straw,2.46,31.83,,58.0
Manure,11.1533546325879,,6.1,Swine manure,Wheat straw,3.13,34.91,Biological,44.1
Manure,10.9563636363636,,7.2,Swine manure,Wheat straw,2.75,30.13,Physical,50.3
Manure,9.83606557377049,,6.2,Swine manure,Wheat straw,3.05,30.0,Chemical,34.1
Digestate,16.9583333333333,69.0,,,Food waste,2.4,40.7,,17.7
Digestate,16.9583333333333,63.0,,,Food waste,2.4,40.7,Physical,13.5
Digestate,22.4064171122995,63.0,,,Food waste,1.87,41.9,Physical,3.1
Digestate,24.8730964467005,58.0,,,Food waste,1.97,49.0,Physical,12.8
Digestate,20.8040201005025,70.0,,,Food waste,1.99,41.4,Physical,13.2
Digestate,16.9583333333333,62.0,,,Food waste,2.4,40.7,Physical,10.2
Digestate,19.8086124401914,61.0,,,Food waste,2.09,41.4,Physical,13.1
Digestate,21.1162790697674,57.0,,,Food waste,2.15,45.4,Physical,14.0
Digestate,17.0886075949367,64.0,,,Food waste,2.37,40.5,Physical,8.7
Manure,16.5,83.0,8.45,Cow manure,Barley straw,1.65,43.0,,0.3
Manure,16.5,83.0,8.45,Cow manure,Barley straw,1.65,43.0,,17.3
Manure,6.1,71.0,6.8,Poultry manure,Barley straw,4.6,35.2,,48.0
Manure,6.1,71.0,6.8,Poultry manure,Barley straw,4.61,35.2,,58.0
Manure,12.2,65.0,6.95,Poultry manure,Barley straw,3.42,48.7,Physical,42.0
Manure,12.2,65.0,6.95,Poultry manure,Barley straw,3.42,48.7,Physical,48.0
Food waste,,,,,,,,,29.0
Food waste,,,,,Corn stalk,,,,25.0
Food waste,,,,,Sawdust ,,,,23.0
Food waste,,,,,Spend mush room residue,,,,27.0
Manure,,,,Swine manure,Cornstalks,2.17,38.76,,40.4
Manure,,,,Swine manure,Cornstalks,1.96,36.72,Chemical,32.7
Manure,,,,Swine manure,Cornstalks,2.06,36.53,Mixture,31.6
Manure,,,,Swine manure,Cornstalks,2.1,37.4,Mixture,34.2
Manure,17.8,63.0,8.6,Swine manure,Cornstalks,2.07,36.9,,0.28
Manure,17.8,63.0,8.6,Swine manure,Cornstalks,2.07,36.9,,0.38
Manure,17.8,63.0,8.6,Swine manure,Cornstalks,2.07,36.9,,0.39
Manure,17.8,63.0,8.6,Swine manure,Cornstalks,2.07,36.9,,0.2
Manure,17.8,63.0,8.6,Swine manure,Cornstalks,2.07,36.9,,0.37
Manure,17.8,63.0,8.6,Swine manure,Cornstalks,2.07,36.9,,0.34
Lignin,19.5,,8.3,,Poultry manure,2.02,39.66,,43.1
Lignin,19.5,,7.97,,Poultry manure,2.06,40.31,Chemical,31.9
Lignin,18.7,,8.02,,Poultry manure,2.11,39.32,Chemical,31.6
Lignin,13.5,,8.88,,Sheep manure,1.86,25.19,,32.4
Lignin,14.2,,8.52,,Sheep manure,1.92,27.23,Chemical,29.4
Lignin,15.0,,8.35,,Sheep manure,3.103822807137219,28.84,Chemical,20.9
Manure,15.0,65.0,,Swine manure,Corn stalks ,2.4,34.8,,21.0
Manure,15.0,70.0,,Swine manure,Corn stalks ,2.4,35.2,,46.0
Manure,15.0,75.0,,Swine manure,Corn stalks ,2.4,35.3,,40.0
Manure,21.0,75.0,,Swine manure,Corn stalks ,1.9,40.9,,18.0
Manure,21.0,70.0,,Swine manure,Corn stalks ,1.9,40.1,,28.0
Manure,21.0,65.0,,Swine manure,Corn stalks ,1.9,39.4,,31.0
Manure,18.0,70.0,,Swine manure,Corn stalks ,2.1,38.0,,22.0
Manure,18.0,65.0,,Swine manure,Corn stalks ,2.1,38.0,,27.0
Manure,18.0,75.0,,Swine manure,Corn stalks ,2.1,37.6,,35.0
Manure,15.0,65.0,,Swine manure,Corn stalks ,2.4,34.8,,21.0
Manure,21.0,75.0,,Swine manure,Corn stalks ,1.9,40.9,,18.0
Manure,18.0,70.0,,Swine manure,Corn stalks ,2.1,38.0,,22.0
Manure,15.0,75.0,,Swine manure,Corn stalks ,2.4,35.3,,40.0
Manure,21.0,70.0,,Swine manure,Corn stalks ,1.9,40.1,,28.0
Manure,18.0,65.0,,Swine manure,Corn stalks ,2.1,38.0,,27.0
Manure,15.0,70.0,,Swine manure,Corn stalks ,2.4,35.2,,46.0
Manure,21.0,65.0,,Swine manure,Corn stalks ,1.9,39.4,,31.0
Manure,18.0,75.0,,Swine manure,Corn stalks ,2.1,37.6,,35.0
Manure,20.0,65.0,,Poultry manure,Corn stalk + Dry grass,,,,1.74
Manure,20.0,65.0,,Poultry manure,Corn stalk + Dry grass,,,,14.65
Manure,20.0,65.0,,Poultry manure,Corn stalk + Dry grass,,,,24.93
Manure,32.0,49.6,7.84,Poultry manure,Sawdust,1.15,37.3,,7.61
Manure,32.0,49.6,7.84,Poultry manure,Sawdust,1.15,37.3,,15.2
Manure,32.0,49.6,7.84,Poultry manure,Sawdust,1.15,37.3,,10.9
Manure,32.0,49.6,7.84,Poultry manure,Sawdust,1.15,37.3,,1.74
Manure,32.0,49.6,7.84,Poultry manure,Sawdust,1.15,37.3,,13.1
Manure,32.0,49.6,7.84,Poultry manure,Sawdust,1.15,37.3,,3.38
Sewage sludge,22.0,62.0,,,Munciple waste,2.1,46.0,,45.0
Sewage sludge,19.0,65.0,,,Munciple waste,2.4,46.0,,60.0
Sewage sludge,26.0,58.0,,,Munciple waste,1.8,47.0,,63.0
Sewage sludge,23.0,59.0,,,Munciple waste,1.9,43.0,,52.0
Sewage sludge,28.0,59.0,,,Munciple waste,1.7,47.0,,30.0
Sewage sludge,30.0,56.0,,,Munciple waste,1.4,42.0,,52.0
Manure,14.7,64.1,,Swine manure,Cornstalk,2.36,34.8,,21.3
Manure,18.4,71.3,,Swine manure,Cornstalk,2.06,38.0,,22.0
Manure,21.2,75.7,,Swine manure,Cornstalk,1.93,40.9,,18.4
Manure,18.3,65.2,,Swine manure,Cornstalk,2.08,38.0,,26.6
Manure,21.1,70.6,,Swine manure,Cornstalk,1.9,40.1,,28.4
Manure,14.9,76.8,,Swine manure,Cornstalk,2.37,35.3,,40.3
Manure,20.7,63.7,,Swine manure,Cornstalk,1.9,39.4,,30.6
Manure,15.0,70.8,,Swine manure,Cornstalk,2.35,35.2,,45.9
Manure,18.0,74.0,,Swine manure,Cornstalk,2.09,37.6,,35.3
Manure,14.7,64.1,,Swine manure,Cornstalk,2.36,34.8,,21.3
Manure,18.4,71.3,,Swine manure,Cornstalk,2.06,38.0,,22.0
Manure,21.2,75.7,,Swine manure,Cornstalk,1.93,40.9,,18.4
Manure,18.3,65.2,,Swine manure,Cornstalk,2.08,38.0,,26.6
Manure,21.1,70.6,,Swine manure,Cornstalk,1.9,40.1,,28.4
Manure,14.9,76.8,,Swine manure,Cornstalk,2.37,35.3,,40.3
Manure,20.7,63.7,,Swine manure,Cornstalk,1.9,39.4,,30.6
Manure,15.0,70.8,,Swine manure,Cornstalk,2.35,35.2,,45.9
Manure,18.0,74.0,,Swine manure,Cornstalk,2.09,37.6,,35.3
Manure,26.6666666666667,76.0,,Cow manure,,1.8,48.0,,8.0
Manure,26.6666666666667,76.0,,Cow manure,,1.8,48.0,,10.0
Manure,15.0,65.0,7.6,Swine manure,Cornstalk,2.25,,,35.0
Manure,15.0,65.0,7.4,Swine manure,Cornstalk,2.25,,Chemical,12.0
Manure,15.0,65.0,6.6,Swine manure,Cornstalk,2.25,,Chemical,5.0
Manure,15.0,65.0,6.4,Swine manure,Cornstalk,2.25,,Chemical,1.0
Lignin,10.13,60.0,7.0,,Sewage sludge,3.87,39.2031,,35.0
Lignin,41.7,60.0,6.7,,Sewage sludge,1.26,52.542,,51.0
Lignin,14.67,60.0,6.9,,Sewage sludge,2.98,43.7166,,27.0
Lignin,11.92,60.0,7.0,,Sewage sludge,3.42,40.7664,,20.0
Manure,,,,Poultry manure,wood chip,,,,90.5
Manure,,,,Poultry manure,wood chip + straw,,,,78.6
Manure,,,,Poultry manure,wood chip + straw,,,,76.5
Manure,20.0,,,Poultry manure,Sawdust,,,,88.17
Manure,20.0,,,Poultry manure,Sawdust,,,,82.72
Manure,20.0,,,Poultry manure,Sawdust,,,,86.8
Manure,25.0,,,Poultry manure,Sawdust,,,,82.85
Manure,25.0,,,Poultry manure,Sawdust,,,,70.73
Manure,25.0,,,Poultry manure,Sawdust,,,,87.42
Manure,30.0,,,Poultry manure,Sawdust,,,,87.12
Manure,30.0,,,Poultry manure,Sawdust,,,,83.93
Manure,30.0,,,Poultry manure,Sawdust,,,,81.34
Manure,20.0,,,Poultry manure,Sawdust,,,,88.17
Manure,25.0,,,Poultry manure,Sawdust,,,,82.85
Manure,30.0,,,Poultry manure,Sawdust,,,,87.12
Manure,20.0,,,Poultry manure,Sawdust,,,,82.72
Manure,25.0,,,Poultry manure,Sawdust,,,,70.73
Manure,30.0,,,Poultry manure,Sawdust,,,,83.93
Manure,20.0,,,Poultry manure,Sawdust,,,,86.8
Manure,25.0,,,Poultry manure,Sawdust,,,,87.42
Manure,30.0,,,Poultry manure,Sawdust,,,,81.34
Manure,20.0,,,Poultry manure,Sawdust,,,,82.72
Manure,25.0,,,Poultry manure,Sawdust,,,,70.73
Manure,30.0,,,Poultry manure,Sawdust,,,,83.93
Manure,,,,Cow manure,Wood,,,,19.0
Manure,,,,Cow manure,Straw,,,,33.5
Lignin,30.0,61.7,,,,1.46,39.6,,3.4
Lignin,30.0,61.1,,,Muncipal compost,1.44,38.9,,3.5
Lignin,30.0,60.6,,,Muncipal compost,1.41,36.8,,5.7
Lignin,30.0,61.0,,,Muncipal compost,1.37,35.8,,6.6
Lignin,30.0,61.1,,,Muncipal compost,1.34,30.9,,20.2
Lignin,30.0,60.9,,,Muncipal compost,1.3,28.0,,25.4
Manure,17.9,62.63,8.3,Cow manure,,1.4,25.04,,21.4285714285714
Manure,17.8,65.46,7.6,Cow manure,,1.33,23.63,Chemical,20.5479452054795
Manure,18.9,64.61,7.6,Cow manure,,1.32,24.89,Chemical,19.3548387096774
Manure,18.5,65.46,7.4,Cow manure,,1.29,23.82,Chemical,26.8292682926829
Manure,20.1,64.12,8.4,Cow manure,,1.29,25.93,Physical,11.9718309859155
Manure,17.1,61.07,8.6,Cow manure,,1.12,19.14,Physical,5.18518518518518
Manure,18.9,63.73,8.7,Cow manure,,1.23,23.12,Physical,13.0434782608696
Manure,14.4,71.9,7.9,Poultry manure,Corn bare cob + shavings + sawdust,2.9,40.4,,82.0
Manure,23.5,72.4,8.3,Poultry manure,Corn bare cob + shavings + sawdust,1.6,36.9,,63.0
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,,37.5
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,18.8
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,20.8
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,17.6
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,9.8
Manure,,,,Swine manure,Wheat straw,,,,40.8
Manure,,,,Swine manure,Wheat straw,,,Chemical,36.2
Manure,,,,Swine manure,Wheat straw,,,Chemical,35.2
Manure,,,,Swine manure,Wheat straw,,,,49.8
Manure,,,,Swine manure,Wheat straw,,,Biological,45.7
Manure,,,,Swine manure,Wheat straw,,,Biological,43.7
Manure,17.91,62.06,,Swine manure,woody peat,1.95,34.92,,20.29
Manure,18.23,58.95,,Swine manure,woody peat,1.93,35.68,Chemical,13.03
